,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2017,,,,,,
2017,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
1,Star Wars: Episode VIII - The Last Jedi,"$517,218,368 ","4,232","$620,181,382 ",15-Dec,Walt Disney Studios Motion Pictures
2,Beauty and the Beast,"$504,014,165 ","4,210","$504,014,165 ",17-Mar,Walt Disney Studios Motion Pictures
3,Wonder Woman,"$412,563,408 ","4,165","$412,563,408 ",2-Jun,Warner Bros.
4,Guardians of the Galaxy: Vol. 2,"$389,813,101 ","4,347","$389,813,101 ",5-May,Walt Disney Studios Motion Pictures
5,Spider-Man: Homecoming,"$334,201,140 ","4,348","$334,201,140 ",7-Jul,Sony Pictures Releasing
6,It,"$327,481,748 ","4,148","$327,481,748 ",8-Sep,Warner Bros.
7,Thor: Ragnarok,"$311,225,150 ","4,080","$315,058,289 ",3-Nov,Walt Disney Studios Motion Pictures
8,Despicable Me 3,"$264,624,300 ","4,535","$264,624,300 ",30-Jun,Universal Pictures
9,Logan,"$226,277,068 ","4,071","$226,277,068 ",3-Mar,20th Century Fox
10,The Fate of the Furious,"$226,008,385 ","4,329","$226,008,385 ",14-Apr,Universal Pictures
11,Justice League,"$225,546,295 ","4,051","$229,024,295 ",17-Nov,Warner Bros.
12,Dunkirk,"$188,045,546 ","4,014","$188,045,546 ",21-Jul,Warner Bros.
13,Coco,"$179,834,199 ","3,987","$210,460,015 ",22-Nov,Walt Disney Studios Motion Pictures
14,The Lego Batman Movie,"$175,750,384 ","4,088","$175,750,384 ",10-Feb,Warner Bros.
15,Get Out,"$175,686,870 ","3,143","$176,040,665 ",24-Feb,Universal Pictures
16,The Boss Baby,"$175,003,033 ","3,829","$175,003,033 ",31-Mar,20th Century Fox
17,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876 ","4,276","$172,558,876 ",26-May,Walt Disney Studios Motion Pictures
18,Jumanji: Welcome to the Jungle,"$170,863,915 ","3,849","$404,515,480 ",20-Dec,Sony Pictures Releasing
19,Kong: Skull Island,"$168,052,812 ","3,846","$168,052,812 ",10-Mar,Warner Bros.
20,Hidden Figures,"$167,620,331 ","3,416","$169,607,287 ",25-Dec,20th Century Fox
21,Cars 3,"$152,901,115 ","4,256","$152,901,115 ",16-Jun,Walt Disney Studios Motion Pictures
22,War for the Planet of the Apes,"$146,880,162 ","4,100","$146,880,162 ",14-Jul,20th Century Fox
23,Split,"$138,291,365 ","3,373","$138,291,365 ",20-Jan,Universal Pictures
24,Transformers: The Last Knight,"$130,168,683 ","4,132","$130,168,683 ",21-Jun,Paramount Pictures
25,Rogue One: A Star Wars Story,"$123,941,474 ","4,157","$532,177,324 ",16-Dec,Walt Disney Studios Motion Pictures
26,Wonder,"$121,559,294 ","3,519","$132,422,809 ",17-Nov,Lionsgate
27,La La Land,"$120,121,532 ","3,236","$151,101,803 ",9-Dec,Lionsgate
28,Sing,"$117,541,430 ","4,029","$270,395,425 ",21-Dec,Universal Pictures
29,Girls Trip,"$115,171,585 ","2,648","$115,171,585 ",21-Jul,Universal Pictures
30,Fifty Shades Darker,"$114,581,250 ","3,714","$114,581,250 ",10-Feb,Universal Pictures
31,Baby Driver,"$107,825,862 ","3,226","$107,825,862 ",28-Jun,TriStar Pictures
32,Annabelle: Creation,"$102,092,201 ","3,565","$102,092,201 ",11-Aug,Warner Bros.
33,Daddy's Home 2,"$101,791,381 ","3,575","$104,029,443 ",10-Nov,Paramount Pictures
34,Murder on the Orient Express,"$100,619,624 ","3,354","$102,826,543 ",10-Nov,20th Century Fox
35,Kingsman: The Golden Circle,"$100,225,686 ","4,038","$100,229,647 ",22-Sep,20th Century Fox
36,John Wick: Chapter 2,"$92,029,184 ","3,113","$92,029,184 ",10-Feb,Lionsgate
37,Blade Runner 2049,"$91,654,512 ","4,058","$92,054,159 ",6-Oct,Warner Bros.
38,The Emoji Movie,"$86,089,513 ","4,075","$86,089,513 ",28-Jul,Sony Pictures Releasing
39,Power Rangers,"$85,364,450 ","3,693","$85,364,450 ",24-Mar,Lionsgate
40,The Mummy,"$80,227,895 ","4,035","$80,227,895 ",9-Jun,Universal Pictures
41,The Hitman's Bodyguard,"$75,468,583 ","3,377","$75,468,583 ",18-Aug,Lionsgate
42,Alien: Covenant,"$74,262,031 ","3,772","$74,262,031 ",19-May,20th Century Fox
43,Captain Underpants: The First Epic Movie,"$73,921,000 ","3,529","$73,921,000 ",2-Jun,20th Century Fox
44,A Bad Moms Christmas,"$71,891,988 ","3,615","$72,110,659 ",1-Nov,STX Entertainment
45,A Dog's Purpose,"$64,508,620 ","3,178","$64,508,620 ",27-Jan,Universal Pictures
46,Pitch Perfect 3,"$63,300,605 ","3,468","$104,897,530 ",22-Dec,Universal Pictures
47,The Lego Ninjago Movie,"$59,281,555 ","4,047","$59,281,555 ",22-Sep,Warner Bros.
48,Baywatch,"$58,060,186 ","3,647","$58,060,186 ",25-May,Paramount Pictures
49,The Shack,"$57,386,418 ","2,888","$57,386,418 ",3-Mar,Lionsgate
50,Happy Death Day,"$55,683,845 ","3,535","$55,683,845 ",13-Oct,Universal Pictures
51,Ferdinand,"$53,546,717 ","3,630","$84,410,380 ",15-Dec,20th Century Fox
52,Atomic Blonde,"$51,687,870 ","3,326","$51,687,870 ",28-Jul,Focus Features
53,American Made,"$51,342,000 ","3,098","$51,342,000 ",29-Sep,Universal Pictures
54,The Dark Tower,"$50,701,325 ","3,451","$50,701,325 ",4-Aug,Sony Pictures Releasing
55,The Greatest Showman,"$49,036,718 ","3,342","$174,340,174 ",20-Dec,20th Century Fox
56,Boo 2! A Madea Halloween,"$47,319,572 ","2,388","$47,319,572 ",20-Oct,Lionsgate
57,Lion,"$46,435,205 ","1,802","$51,738,905 ",25-Nov,The Weinstein Company
58,Snatched,"$45,852,178 ","3,511","$45,852,178 ",12-May,20th Century Fox
59,The Great Wall,"$45,540,830 ","3,328","$45,540,830 ",17-Feb,Universal Pictures
60,Smurfs: The Lost Village,"$45,020,282 ","3,610","$45,020,282 ",7-Apr,Sony Pictures Releasing
61,Going in Style,"$45,018,541 ","3,076","$45,018,541 ",7-Apr,Warner Bros.
62,All Eyez on Me,"$44,922,302 ","2,471","$44,922,302 ",16-Jun,Lionsgate
63,xXx: Return of Xander Cage,"$44,898,413 ","3,651","$44,898,413 ",20-Jan,Paramount Pictures
64,Passengers,"$44,634,490 ","3,478","$100,014,699 ",21-Dec,Sony Pictures Releasing
65,47 Meters Down,"$44,307,191 ","2,471","$44,307,191 ",16-Jun,Entertainment Studios Motion Pictures
66,The Big Sick,"$42,873,127 ","2,597","$42,873,127 ",23-Jun,Lionsgate
67,Moana,"$42,279,566 ","3,875","$248,757,044 ",23-Nov,Walt Disney Studios Motion Pictures
68,Ghost in the Shell,"$40,563,557 ","3,440","$40,563,557 ",31-Mar,Paramount Pictures
69,Valerian and the City of a Thousand Planets,"$40,479,370 ","3,553","$41,189,488 ",21-Jul,STX Entertainment
70,The Star,"$39,963,949 ","2,976","$40,852,824 ",17-Nov,Sony Pictures Releasing
71,King Arthur: Legend of the Sword,"$39,175,066 ","3,702","$39,175,066 ",12-May,Warner Bros.
72,Jigsaw,"$38,052,832 ","2,941","$38,052,832 ",27-Oct,Lionsgate
73,American Assassin,"$36,249,674 ","3,154","$36,249,674 ",15-Sep,Lionsgate
74,The Foreigner,"$34,393,507 ","2,515","$34,393,507 ",13-Oct,STX Entertainment
75,"Everything, Everything","$34,121,140 ","2,801","$34,121,140 ",19-May,Warner Bros.
76,Wind River,"$33,800,859 ","2,890","$33,800,859 ",4-Aug,The Weinstein Company
