,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2025,,,,,,
2025,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
1,A Minecraft Movie,"$423,949,195 ","4,289","$424,087,780 ",4-Apr,Warner Bros.
2,Lilo & Stitch,"$423,778,855 ","4,410","$423,778,855 ",23-May,Walt Disney Studios Motion Pictures
3,Superman,"$354,184,465 ","4,275","$354,223,803 ",11-Jul,Warner Bros.
4,Jurassic World: Rebirth,"$339,640,400 ","4,324","$339,640,400 ",2-Jul,Universal Pictures
5,Zootopia 2,"$337,903,155 ","4,000","$428,130,160 ",26-Nov,Walt Disney Studios Motion Pictures
6,Wicked: For Good,"$335,438,675 ","4,115","$342,915,090 ",17-Nov,Universal Pictures
7,Sinners,"$279,653,537 ","3,518","$279,989,632 ",18-Apr,Warner Bros.
8,The Fantastic Four: First Steps,"$274,286,610 ","4,125","$274,286,610 ",25-Jul,Walt Disney Studios Motion Pictures
9,How to Train Your Dragon,"$262,958,100 ","4,373","$262,958,100 ",13-Jun,Universal Pictures
10,Avatar: Fire and Ash,"$250,353,869 ","3,835","$404,340,010 ",19-Dec,20th Century Studios
11,Captain America: Brave New World,"$200,500,001 ","4,105","$200,500,001 ",14-Feb,Walt Disney Studios Motion Pictures
12,Mission: Impossible - The Final Reckoning,"$197,413,515 ","3,861","$197,413,515 ",23-May,Paramount Pictures
13,Thunderbolts*,"$190,274,328 ","4,330","$190,274,328 ",2-May,Walt Disney Studios Motion Pictures
14,F1: The Movie,"$189,527,111 ","3,732","$189,642,436 ",27-Jun,Warner Bros.
15,The Conjuring: Last Rites,"$177,753,512 ","3,802","$177,756,445 ",5-Sep,Warner Bros.
16,Weapons,"$151,550,044 ","3,631","$151,572,492 ",8-Aug,Warner Bros.
17,Final Destination: Bloodlines,"$138,130,814 ","3,523","$138,254,739 ",16-May,Warner Bros.
18,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$134,487,320 ","3,342","$136,950,340 ",12-Sep,Sony Pictures Releasing
19,Mufasa: The Lion King,"$126,423,748 ","4,100","$254,567,693 ",20-Dec,Walt Disney Studios Motion Pictures
20,Five Nights at Freddy's 2,"$121,680,315 ","3,579","$127,730,290 ",5-Dec,Universal Pictures
21,Dog Man,"$97,970,355 ","3,887","$97,970,355 ",31-Jan,Universal Pictures
