,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2023,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2023,,,,,,,,
"Data as of Apr 24, 17:15 PDT",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
31-Dec,Sunday,365,"$23,078,184 ",-17.50%,-52.60%,43,Wonka,"$5,208,897 "
New Year's Eve,,,,,,,,
30-Dec,Saturday,364,"$40,050,370 ",7.20%,38%,44,Wonka,"$8,637,841 "
29-Dec,Friday,363,"$37,348,409 ",12.30%,-6.40%,44,Wonka,"$8,630,268 "
28-Dec,Thursday,362,"$33,261,609 ",-1.90%,258.30%,46,Wonka,"$7,988,504 "
27-Dec,Wednesday,361,"$33,892,628 ",-18.90%,251.50%,45,Wonka,"$8,135,639 "
26-Dec,Tuesday,360,"$41,788,862 ",-28.60%,259.90%,45,Wonka,"$8,970,413 "
25-Dec,Monday,359,"$58,545,776 ",244%,607.50%,44,The Color Purple,"$18,151,050 "
Christmas Day,,,,,,,,
24-Dec,Sunday,358,"$17,021,324 ",-41.30%,-15.90%,40,Aquaman and the Lost Kingdom,"$5,001,421 "
23-Dec,Saturday,357,"$29,021,089 ",-27.20%,10.60%,41,Aquaman and the Lost Kingdom,"$9,003,036 "
22-Dec,Friday,356,"$39,891,139 ",329.70%,77%,42,Aquaman and the Lost Kingdom,"$13,681,754 "
21-Dec,Thursday,355,"$9,282,692 ",-3.70%,101.30%,40,Wonka,"$4,201,613 "
20-Dec,Wednesday,354,"$9,643,216 ",-16.90%,79.50%,40,Wonka,"$4,387,803 "
19-Dec,Tuesday,353,"$11,609,957 ",40.30%,70.50%,39,Wonka,"$5,904,173 "
18-Dec,Monday,352,"$8,274,749 ",-59.10%,50.50%,39,Wonka,"$4,003,328 "
17-Dec,Sunday,351,"$20,231,817 ",-22.90%,15.30%,40,Wonka,"$10,567,353 "
16-Dec,Saturday,350,"$26,232,063 ",16.40%,10.40%,40,Wonka,"$14,025,741 "
15-Dec,Friday,349,"$22,535,134 ",388.80%,25%,39,Wonka,"$14,412,706 "
14-Dec,Thursday,348,"$4,610,227 ",-14.20%,-33.40%,39,The Boy and the Heron,"$979,407 "
13-Dec,Wednesday,347,"$5,373,144 ",-21.10%,-13.10%,37,The Boy and the Heron,"$1,310,644 "
12-Dec,Tuesday,346,"$6,811,328 ",23.90%,-18%,36,The Boy and the Heron,"$1,473,215 "
11-Dec,Monday,345,"$5,496,743 ",-68.70%,-8.60%,36,The Boy and the Heron,"$1,195,695 "
10-Dec,Sunday,344,"$17,552,859 ",-26.10%,-22.20%,40,The Boy and the Heron,"$3,366,239 "
9-Dec,Saturday,343,"$23,761,939 ",31.80%,-25.40%,39,The Boy and the Heron,"$4,042,880 "
8-Dec,Friday,342,"$18,025,028 ",160.20%,-44.20%,39,The Boy and the Heron,"$5,602,603 "
7-Dec,Thursday,341,"$6,926,918 ",12%,31.20%,34,Godzilla Minus One,"$1,279,834 "
6-Dec,Wednesday,340,"$6,186,390 ",-25.60%,5%,31,Godzilla Minus One,"$1,361,343 "
5-Dec,Tuesday,339,"$8,310,039 ",38.10%,-4.80%,32,The Hunger Games: The Ballad of Songbirds & Snakes,"$1,798,922 "
4-Dec,Monday,338,"$6,016,211 ",-73.30%,-3.90%,32,Godzilla Minus One,"$1,225,396 "
3-Dec,Sunday,337,"$22,571,008 ",-29.10%,-9.70%,33,Renaissance: A Film by Beyoncé,"$4,156,694 "
2-Dec,Saturday,336,"$31,833,495 ",-1.40%,-22.10%,32,The Hunger Games: The Ballad of Songbirds & Snakes,"$6,045,644 "
1-Dec,Friday,335,"$32,294,447 ",511.50%,-25.70%,32,Renaissance: A Film by Beyoncé,"$11,619,984 "
30-Nov,Thursday,334,"$5,281,445 ",-10.40%,-75.50%,29,The Hunger Games: The Ballad of Songbirds & Snakes,"$1,699,994 "
29-Nov,Wednesday,333,"$5,893,355 ",-32.50%,-82.50%,29,The Hunger Games: The Ballad of Songbirds & Snakes,"$1,846,120 "
28-Nov,Tuesday,332,"$8,731,447 ",39.50%,-47.40%,28,The Hunger Games: The Ballad of Songbirds & Snakes,"$2,682,723 "
27-Nov,Monday,331,"$6,261,293 ",-75%,-51.70%,28,The Hunger Games: The Ballad of Songbirds & Snakes,"$1,913,274 "
26-Nov,Sunday,330,"$24,998,606 ",-38.80%,-14.80%,32,The Hunger Games: The Ballad of Songbirds & Snakes,"$6,607,330 "
25-Nov,Saturday,329,"$40,847,716 ",-6.10%,-2.10%,32,The Hunger Games: The Ballad of Songbirds & Snakes,"$11,099,872 "
24-Nov,Friday,328,"$43,491,965 ",102%,9.30%,32,The Hunger Games: The Ballad of Songbirds & Snakes,"$11,335,315 "
23-Nov,Thursday,327,"$21,534,631 ",-36%,545.10%,33,The Hunger Games: The Ballad of Songbirds & Snakes,"$5,882,381 "
Thanksgiving,,,,,,,,
22-Nov,Wednesday,326,"$33,657,377 ",102.90%,678.70%,36,Wish,"$8,117,419 "
21-Nov,Tuesday,325,"$16,590,091 ",28%,140.40%,33,The Hunger Games: The Ballad of Songbirds & Snakes,"$6,521,266 "
20-Nov,Monday,324,"$12,965,366 ",-55.80%,142.50%,36,The Hunger Games: The Ballad of Songbirds & Snakes,"$5,266,808 "
19-Nov,Sunday,323,"$29,342,997 ",-29.70%,54.10%,37,The Hunger Games: The Ballad of Songbirds & Snakes,"$10,907,171 "
18-Nov,Saturday,322,"$41,719,271 ",4.80%,42.10%,37,The Hunger Games: The Ballad of Songbirds & Snakes,"$14,651,228 "
17-Nov,Friday,321,"$39,790,137 ",1092%,19.30%,34,The Hunger Games: The Ballad of Songbirds & Snakes,"$19,048,744 "
16-Nov,Thursday,320,"$3,338,082 ",-22.80%,-16.40%,37,The Marvels,"$1,251,387 "
15-Nov,Wednesday,319,"$4,322,195 ",-37.40%,29.40%,36,The Marvels,"$1,789,239 "
14-Nov,Tuesday,318,"$6,900,944 ",29.10%,25.90%,37,The Marvels,"$3,300,946 "
13-Nov,Monday,317,"$5,345,747 ",-71.90%,49.70%,38,The Marvels,"$2,372,375 "
12-Nov,Sunday,316,"$19,037,549 ",-35.20%,21%,40,The Marvels,"$9,247,703 "
11-Nov,Saturday,315,"$29,363,735 ",-11.90%,22.80%,39,The Marvels,"$15,260,052 "
10-Nov,Friday,314,"$33,339,728 ",735.20%,102.20%,39,The Marvels,"$21,603,104 "
9-Nov,Thursday,313,"$3,991,999 ",19.50%,-34.50%,37,Five Nights at Freddy's,"$1,085,005 "
8-Nov,Wednesday,312,"$3,339,247 ",-39.10%,-41.90%,35,Five Nights at Freddy's,"$947,635 "
7-Nov,Tuesday,311,"$5,481,390 ",53.50%,-44.20%,35,Five Nights at Freddy's,"$1,766,660 "
6-Nov,Monday,310,"$3,569,940 ",-77.30%,-49.60%,34,Five Nights at Freddy's,"$1,199,770 "
5-Nov,Sunday,309,"$15,739,734 ",-34.20%,-45.60%,39,Five Nights at Freddy's,"$4,891,830 "
4-Nov,Saturday,308,"$23,910,746 ",45%,-40.80%,39,Five Nights at Freddy's,"$8,636,870 "
3-Nov,Friday,307,"$16,491,868 ",170.50%,-69%,39,Five Nights at Freddy's,"$5,473,170 "
2-Nov,Thursday,306,"$6,095,840 ",6.10%,5.90%,38,Five Nights at Freddy's,"$2,118,180 "
1-Nov,Wednesday,305,"$5,744,728 ",-41.50%,42.10%,36,Five Nights at Freddy's,"$2,739,750 "
31-Oct,Tuesday,304,"$9,819,392 ",38.70%,61.70%,36,Five Nights at Freddy's,"$5,249,255 "
Halloween,,,,,,,,
30-Oct,Monday,303,"$7,078,085 ",-75.50%,73.30%,35,Five Nights at Freddy's,"$4,095,455 "
29-Oct,Sunday,302,"$28,929,985 ",-28.40%,32.50%,40,Five Nights at Freddy's,"$16,076,235 "
28-Oct,Saturday,301,"$40,387,023 ",-24.10%,28%,39,Five Nights at Freddy's,"$24,279,905 "
27-Oct,Friday,300,"$53,212,742 ",824.70%,98.30%,39,Five Nights at Freddy's,"$39,645,580 "
26-Oct,Thursday,299,"$5,754,616 ",42.30%,-33.70%,39,Taylor Swift: The Eras Tour,"$2,657,691 "
25-Oct,Wednesday,298,"$4,042,699 ",-33.40%,33.60%,39,Killers of the Flower Moon,"$1,953,479 "
24-Oct,Tuesday,297,"$6,070,863 ",48.60%,39.60%,39,Killers of the Flower Moon,"$2,902,013 "
23-Oct,Monday,296,"$4,085,224 ",-81.30%,22.50%,38,Killers of the Flower Moon,"$2,048,670 "
22-Oct,Sunday,295,"$21,833,959 ",-30.80%,-33.20%,43,Taylor Swift: The Eras Tour,"$9,552,559 "
21-Oct,Saturday,294,"$31,549,173 ",17.60%,-33.80%,43,Taylor Swift: The Eras Tour,"$13,251,871 "
20-Oct,Friday,293,"$26,831,527 ",209%,-44.30%,41,Taylor Swift: The Eras Tour,"$10,418,191 "
19-Oct,Thursday,292,"$8,684,081 ",187%,93.50%,42,Taylor Swift: The Eras Tour,"$5,958,555 "
18-Oct,Wednesday,291,"$3,026,278 ",-30.40%,-34.70%,39,The Exorcist: Believer,"$815,460 "
17-Oct,Tuesday,290,"$4,347,527 ",30.30%,-37.10%,40,The Exorcist: Believer,"$1,203,200 "
16-Oct,Monday,289,"$3,335,561 ",-89.80%,-62.10%,40,The Exorcist: Believer,"$930,150 "
15-Oct,Sunday,288,"$32,681,165 ",-31.40%,92.90%,41,Taylor Swift: The Eras Tour,"$23,323,840 "
14-Oct,Saturday,287,"$47,653,696 ",-1.10%,84.10%,42,Taylor Swift: The Eras Tour,"$32,226,846 "
13-Oct,Friday,286,"$48,186,961 ",973.50%,108.20%,41,Taylor Swift: The Eras Tour,"$37,674,069 "
12-Oct,Thursday,285,"$4,488,580 ",-3.10%,-12.90%,43,The Exorcist: Believer,"$1,295,440 "
11-Oct,Wednesday,284,"$4,634,363 ",-32.90%,-11.60%,42,The Exorcist: Believer,"$1,430,935 "
10-Oct,Tuesday,283,"$6,908,918 ",-21.50%,-16.60%,45,The Exorcist: Believer,"$2,321,770 "
9-Oct,Monday,282,"$8,805,622 ",11.40%,-35.50%,45,The Exorcist: Believer,"$2,381,205 "
Indig. Peoples' Day,,,,,,,,
