,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2025,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2025,,,,,,,,
"Data as of Apr 24, 17:15 PDT",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
31-Dec,Wednesday,365,"$27,569,945 ",-9.70%,-23.90%,35,Avatar: Fire and Ash,"$8,158,615 "
New Year's Eve,,,,,,,,
30-Dec,Tuesday,364,"$44,801,186 ",26.20%,18.60%,35,Avatar: Fire and Ash,"$14,208,802 "
29-Dec,Monday,363,"$35,489,714 ",-27.30%,14.40%,35,Avatar: Fire and Ash,"$11,071,662 "
28-Dec,Sunday,362,"$48,836,650 ",-19.30%,-1.20%,34,Avatar: Fire and Ash,"$18,003,855 "
27-Dec,Saturday,361,"$60,518,504 ",-1.70%,5.10%,35,Avatar: Fire and Ash,"$22,366,963 "
26-Dec,Friday,360,"$61,576,716 ",-6.70%,-10.80%,35,Avatar: Fire and Ash,"$22,716,849 "
25-Dec,Thursday,359,"$65,993,923 ",182.70%,1180%,34,Avatar: Fire and Ash,"$24,096,415 "
Christmas Day,,,,,,,,
24-Dec,Wednesday,358,"$23,344,857 ",-38.20%,244.90%,31,Avatar: Fire and Ash,"$10,737,243 "
23-Dec,Tuesday,357,"$37,779,890 ",21.70%,319.50%,29,Avatar: Fire and Ash,"$16,510,288 "
22-Dec,Monday,356,"$31,032,318 ",-37.20%,419.10%,28,Avatar: Fire and Ash,"$13,322,317 "
21-Dec,Sunday,355,"$49,442,083 ",-14.10%,153.90%,33,Avatar: Fire and Ash,"$24,261,028 "
20-Dec,Saturday,354,"$57,582,780 ",-16.60%,98.50%,33,Avatar: Fire and Ash,"$28,413,107 "
19-Dec,Friday,353,"$69,006,367 ",1238.50%,264%,35,Avatar: Fire and Ash,"$36,486,725 "
18-Dec,Thursday,352,"$5,155,617 ",-23.80%,-36.30%,39,Zootopia 2,"$2,086,145 "
17-Dec,Wednesday,351,"$6,768,045 ",-24.80%,-24.10%,40,Zootopia 2,"$2,373,621 "
16-Dec,Tuesday,350,"$9,005,538 ",50.60%,-31.90%,42,Zootopia 2,"$3,255,783 "
15-Dec,Monday,349,"$5,977,958 ",-69.30%,-34.90%,41,Zootopia 2,"$2,044,258 "
14-Dec,Sunday,348,"$19,473,499 ",-32.90%,-50.20%,43,Zootopia 2,"$7,869,569 "
13-Dec,Saturday,347,"$29,009,690 ",53%,-48.70%,42,Zootopia 2,"$11,750,365 "
12-Dec,Friday,346,"$18,958,877 ",134.10%,-65.50%,44,Zootopia 2,"$6,260,184 "
11-Dec,Thursday,345,"$8,097,224 ",-9.20%,9.90%,40,Zootopia 2,"$2,508,510 "
10-Dec,Wednesday,344,"$8,922,368 ",-32.50%,4.80%,35,Zootopia 2,"$2,615,107 "
9-Dec,Tuesday,343,"$13,218,323 ",44%,-0.20%,39,Zootopia 2,"$4,130,648 "
8-Dec,Monday,342,"$9,182,498 ",-76.50%,2.60%,36,Five Nights at Freddy's 2,"$3,030,480 "
7-Dec,Sunday,341,"$39,099,630 ",-30.90%,-12.20%,39,Zootopia 2,"$13,914,795 "
6-Dec,Saturday,340,"$56,590,989 ",2.90%,-15.40%,39,Five Nights at Freddy's 2,"$20,801,885 "
5-Dec,Friday,339,"$54,980,764 ",646.40%,-25.80%,36,Five Nights at Freddy's 2,"$29,957,030 "
4-Dec,Thursday,338,"$7,366,214 ",-13.40%,-80.80%,36,Zootopia 2,"$3,620,010 "
3-Dec,Wednesday,337,"$8,510,785 ",-35.70%,-86.20%,33,Zootopia 2,"$3,977,397 "
2-Dec,Tuesday,336,"$13,241,413 ",48%,-36.70%,33,Zootopia 2,"$6,687,449 "
1-Dec,Monday,335,"$8,948,120 ",-79.90%,-53%,34,Zootopia 2,"$4,385,120 "
30-Nov,Sunday,334,"$44,555,530 ",-33.40%,2.90%,39,Zootopia 2,"$24,977,946 "
29-Nov,Saturday,333,"$66,908,196 ",-9.70%,18.50%,38,Zootopia 2,"$36,224,262 "
28-Nov,Friday,332,"$74,134,256 ",92.80%,-6%,40,Zootopia 2,"$39,060,332 "
27-Nov,Thursday,331,"$38,454,871 ",-32%,-4%,41,Zootopia 2,"$20,043,787 "
Thanksgiving,,,,,,,,
26-Nov,Wednesday,330,"$61,821,204 ",195.80%,1115.90%,39,Zootopia 2,"$38,497,734 "
25-Nov,Tuesday,329,"$20,903,084 ",9.70%,157.50%,36,Wicked: For Good,"$15,734,865 "
24-Nov,Monday,328,"$19,055,980 ",-56%,294.70%,35,Wicked: For Good,"$14,701,415 "
23-Nov,Sunday,327,"$43,318,413 ",-23.30%,161.20%,38,Wicked: For Good,"$34,471,585 "
22-Nov,Saturday,326,"$56,464,675 ",-28.40%,112.60%,39,Wicked: For Good,"$43,415,440 "
21-Nov,Friday,325,"$78,856,453 ",1808.70%,231.10%,39,Wicked: For Good,"$69,117,615 "
20-Nov,Thursday,324,"$4,131,461 ",-18.70%,0.50%,46,Now You See Me: Now You Don't,"$1,254,859 "
19-Nov,Wednesday,323,"$5,084,591 ",-37.40%,-4.70%,49,Now You See Me: Now You Don't,"$1,429,974 "
18-Nov,Tuesday,322,"$8,116,880 ",68.10%,-34.40%,47,Now You See Me: Now You Don't,"$2,554,095 "
17-Nov,Monday,321,"$4,827,567 ",-70.90%,-34.50%,48,Now You See Me: Now You Don't,"$1,456,399 "
16-Nov,Sunday,320,"$16,581,919 ",-37.60%,-8.90%,49,Now You See Me: Now You Don't,"$4,929,624 "
15-Nov,Saturday,319,"$26,555,611 ",11.50%,-5.70%,49,Now You See Me: Now You Don't,"$7,697,023 "
14-Nov,Friday,318,"$23,813,555 ",479.10%,-12.70%,48,Now You See Me: Now You Don't,"$8,387,146 "
13-Nov,Thursday,317,"$4,112,185 ",-22.90%,9.90%,46,Predator: Badlands,"$1,712,829 "
12-Nov,Wednesday,316,"$5,332,842 ",-56.90%,13.10%,45,Predator: Badlands,"$2,310,364 "
11-Nov,Tuesday,315,"$12,379,271 ",68.10%,74.50%,44,Predator: Badlands,"$5,784,091 "
10-Nov,Monday,314,"$7,365,009 ",-59.50%,50.10%,46,Predator: Badlands,"$3,480,723 "
9-Nov,Sunday,313,"$18,200,591 ",-35.40%,14.50%,45,Predator: Badlands,"$9,587,542 "
8-Nov,Saturday,312,"$28,169,763 ",3.30%,32.50%,45,Predator: Badlands,"$14,530,856 "
7-Nov,Friday,311,"$27,263,029 ",628.80%,142.80%,46,Predator: Badlands,"$15,898,455 "
6-Nov,Thursday,310,"$3,740,900 ",-20.70%,-39.60%,49,Regretting You,"$875,226 "
5-Nov,Wednesday,309,"$4,716,244 ",-33.50%,-38.50%,48,Regretting You,"$886,557 "
4-Nov,Tuesday,308,"$7,095,177 ",44.60%,-19.40%,46,Regretting You,"$1,401,780 "
3-Nov,Monday,307,"$4,906,568 ",-69.10%,-22.90%,46,Regretting You,"$1,054,887 "
2-Nov,Sunday,306,"$15,893,297 ",-25.30%,-11.80%,51,Regretting You,"$2,807,961 "
1-Nov,Saturday,305,"$21,267,836 ",89.40%,-14.70%,51,Regretting You,"$3,769,072 "
31-Oct,Friday,304,"$11,226,731 ",38.40%,1.80%,53,Black Phone 2,"$2,421,575 "
Halloween,,,,,,,,
30-Oct,Thursday,303,"$6,189,401 ",-19.20%,47.40%,48,Chainsaw Man - The Movie: Reze Arc,"$1,335,039 "
29-Oct,Wednesday,302,"$7,664,052 ",-12.90%,44%,47,Chainsaw Man - The Movie: Reze Arc,"$1,622,216 "
28-Oct,Tuesday,301,"$8,803,568 ",38.30%,12.60%,41,Chainsaw Man - The Movie: Reze Arc,"$2,072,684 "
27-Oct,Monday,300,"$6,365,529 ",-64.70%,20%,42,Chainsaw Man - The Movie: Reze Arc,"$1,708,625 "
26-Oct,Sunday,299,"$18,013,349 ",-27.80%,13.50%,44,Chainsaw Man - The Movie: Reze Arc,"$4,193,308 "
25-Oct,Saturday,298,"$24,939,286 ",-4.80%,6.60%,43,Black Phone 2,"$5,462,570 "
24-Oct,Friday,297,"$26,193,961 ",523.80%,19.60%,44,Chainsaw Man - The Movie: Reze Arc,"$8,520,755 "
23-Oct,Thursday,296,"$4,198,803 ",-21.10%,11.90%,45,Black Phone 2,"$1,658,850 "
22-Oct,Wednesday,295,"$5,322,464 ",-31.90%,10.90%,46,Black Phone 2,"$1,864,075 "
21-Oct,Tuesday,294,"$7,815,377 ",47.30%,2.50%,43,Black Phone 2,"$3,064,305 "
20-Oct,Monday,293,"$5,305,930 ",-66.60%,-40.80%,44,Black Phone 2,"$2,134,125 "
19-Oct,Sunday,292,"$15,866,399 ",-32.20%,-6.70%,44,Black Phone 2,"$6,632,890 "
18-Oct,Saturday,291,"$23,389,905 ",6.80%,1.90%,44,Black Phone 2,"$9,673,145 "
17-Oct,Friday,290,"$21,902,090 ",483.90%,-11.30%,44,Black Phone 2,"$11,026,005 "
16-Oct,Thursday,289,"$3,751,151 ",-21.80%,15.40%,40,Tron: Ares,"$1,501,319 "
15-Oct,Wednesday,288,"$4,799,880 ",-37.10%,12.50%,39,Tron: Ares,"$1,857,994 "
14-Oct,Tuesday,287,"$7,625,389 ",-14.90%,25.70%,38,Tron: Ares,"$3,224,133 "
13-Oct,Monday,286,"$8,964,266 ",-21.20%,-63.20%,43,Tron: Ares,"$3,613,933 "
Indig. Peoples' Day,,,,,,,,
12-Oct,Sunday,285,"$17,004,990 ",-25.90%,-12.60%,39,Tron: Ares,"$7,913,287 "
11-Oct,Saturday,284,"$22,946,328 ",-7.10%,-11.80%,39,Tron: Ares,"$10,923,092 "
10-Oct,Friday,283,"$24,700,680 ",660.20%,-13.70%,40,Tron: Ares,"$14,405,054 "
9-Oct,Thursday,282,"$3,249,409 ",-23.90%,-37.50%,33,One Battle After Another,"$992,876 "
8-Oct,Wednesday,281,"$4,268,384 ",-29.60%,-26.30%,35,One Battle After Another,"$1,278,628 "
7-Oct,Tuesday,280,"$6,064,146 ",51.60%,-32%,35,One Battle After Another,"$1,788,795 "
6-Oct,Monday,279,"$4,001,363 ",-79.40%,-33.10%,36,One Battle After Another,"$1,139,412 "
5-Oct,Sunday,278,"$19,457,224 ",-25.20%,10.40%,38,Taylor Swift: The Official Release Party of a Showgirl,"$8,334,596 "
4-Oct,Saturday,277,"$26,013,973 ",-9.10%,-5.50%,38,Taylor Swift: The Official Release Party of a Showgirl,"$9,922,644 "
3-Oct,Friday,276,"$28,628,478 ",450.70%,19.10%,39,Taylor Swift: The Official Release Party of a Showgirl,"$15,805,534 "
2-Oct,Thursday,275,"$5,198,281 ",-10.20%,15.70%,37,One Battle After Another,"$1,704,776 "
1-Oct,Wednesday,274,"$5,789,869 ",-35%,0.30%,36,One Battle After Another,"$2,172,084 "
30-Sep,Tuesday,273,"$8,911,653 ",49%,<0.1%,37,One Battle After Another,"$3,457,182 "
29-Sep,Monday,272,"$5,982,819 ",-66.10%,1.30%,37,One Battle After Another,"$2,291,717 "
28-Sep,Sunday,271,"$17,623,172 ",-36%,3.70%,40,One Battle After Another,"$5,150,105 "
27-Sep,Saturday,270,"$27,527,210 ",14.60%,5.40%,41,One Battle After Another,"$7,850,050 "
26-Sep,Friday,269,"$24,030,510 ",434.80%,7.80%,39,One Battle After Another,"$9,000,232 "
25-Sep,Thursday,268,"$4,493,345 ",-22.20%,-39.10%,35,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$1,101,749 "
24-Sep,Wednesday,267,"$5,774,291 ",-35.20%,-38.10%,36,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$1,487,283 "
23-Sep,Tuesday,266,"$8,906,274 ",50.80%,-34.70%,36,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$2,186,164 "
22-Sep,Monday,265,"$5,904,361 ",-65.30%,-45.60%,36,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$1,566,910 "
21-Sep,Sunday,264,"$16,999,204 ",-34.90%,-49.80%,37,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$5,370,352 "
20-Sep,Saturday,263,"$26,118,871 ",17.20%,-44.60%,38,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$7,326,408 "
19-Sep,Friday,262,"$22,285,180 ",201.80%,-62.40%,38,Him,"$6,486,440 "
18-Sep,Thursday,261,"$7,383,628 ",-20.80%,42.40%,37,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$2,637,292 "
17-Sep,Wednesday,260,"$9,327,608 ",-31.60%,31.70%,36,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$3,688,264 "
16-Sep,Tuesday,259,"$13,642,374 ",25.70%,19.40%,37,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$5,445,821 "
15-Sep,Monday,258,"$10,850,608 ",-67.90%,32.30%,36,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$5,047,559 "
14-Sep,Sunday,257,"$33,845,891 ",-28.10%,20.20%,39,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$16,015,917 "
13-Sep,Saturday,256,"$47,104,895 ",-20.50%,4.60%,40,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$21,610,856 "
12-Sep,Friday,255,"$59,234,011 ",1042.20%,31.70%,40,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$32,984,325 "
11-Sep,Thursday,254,"$5,186,060 ",-26.80%,90.80%,38,The Conjuring: Last Rites,"$3,351,858 "
10-Sep,Wednesday,253,"$7,084,852 ",-38%,87.20%,38,The Conjuring: Last Rites,"$4,348,265 "
9-Sep,Tuesday,252,"$11,427,031 ",39.30%,103.30%,39,The Conjuring: Last Rites,"$7,498,287 "
8-Sep,Monday,251,"$8,203,322 ",-70.90%,-43.30%,38,The Conjuring: Last Rites,"$5,748,553 "
7-Sep,Sunday,250,"$28,149,894 ",-37.50%,47.20%,40,The Conjuring: Last Rites,"$18,951,381 "
6-Sep,Saturday,249,"$45,012,423 ",<0.1%,131.30%,41,The Conjuring: Last Rites,"$30,402,215 "
5-Sep,Friday,248,"$44,987,822 ",1554.70%,160.30%,40,The Conjuring: Last Rites,"$34,652,525 "
4-Sep,Thursday,247,"$2,718,720 ",-28.20%,-39.40%,39,Weapons,"$534,514 "
3-Sep,Wednesday,246,"$3,784,354 ",-32.70%,-22.60%,38,Weapons,"$784,217 "
2-Sep,Tuesday,245,"$5,620,111 ",-61.20%,-28.40%,39,Weapons,"$1,073,573 "
1-Sep,Monday,244,"$14,468,693 ",-24.30%,189.40%,38,Weapons,"$2,622,989 "
Labor Day,,,,,,,,
31-Aug,Sunday,243,"$19,122,334 ",-1.80%,-14.90%,40,Weapons,"$3,890,283 "
30-Aug,Saturday,242,"$19,463,663 ",12.60%,-36.90%,40,Weapons,"$3,865,945 "
29-Aug,Friday,241,"$17,285,753 ",285.10%,5%,40,Caught Stealing,"$3,221,978 "
28-Aug,Thursday,240,"$4,488,189 ",-8.20%,-44%,38,Weapons,"$1,334,704 "
