rank,movie,num_theaters,tot_gross,release_date,distrib,release_qtr,release_month,release_year,period,rpt,LN_RPT,RPT,QTR,Distrib,Period
46,Skyscraper,3822,68420120,2018-07-13,Universal Pictures,3,7,2018,prepan,17901.65358451073,9.792648366585112,0.02,3,U,Pre-Pandemic
38,Smallfoot,4131,83240103,2018-09-28,Warner Bros.,3,9,2018,prepan,20150.109658678288,9.91096500947805,0.02,3,W,Pre-Pandemic
16,Smile,3659,105935048,2022-09-30,Paramount Pictures,3,9,2022,postpan,28951.91254441104,10.273391544529256,0.03,3,P,Post-Pandemic
31,Smile 2,3624,69012586,2024-10-18,Paramount Pictures,4,10,2024,postpan,19043.208057395143,9.85446578456185,0.02,4,P,Post-Pandemic
60,Smurfs: The Lost Village,3610,45020282,2017-04-07,Sony Pictures Releasing,2,4,2017,prepan,12470.992243767312,9.431160605979034,0.01,2,S,Pre-Pandemic
24,Snow White,4200,87203963,2025-03-21,Walt Disney Studios Motion Pictures,1,3,2025,postpan,20762.84833333333,9.94092053082276,0.02,1,D,Post-Pandemic
10,Solo: A Star Wars Story,4381,213767512,2018-05-25,Walt Disney Studios Motion Pictures,2,5,2018,prepan,48794.22780187172,10.795367302096752,0.05,2,D,Pre-Pandemic
10,Sonic the Hedgehog 2,4258,190872904,2022-04-08,Paramount Pictures,2,4,2022,postpan,44826.89149835604,10.71056349498084,0.04,2,P,Post-Pandemic
14,Sonic the Hedgehog 3,3769,236115100,2024-12-20,Paramount Pictures,4,12,2024,postpan,62646.617139824884,11.045264962694379,0.06,4,P,Post-Pandemic
46,Speak No Evil,3375,36931420,2024-09-13,Universal Pictures,3,9,2024,postpan,10942.642962962964,9.300422633906638,0.01,3,U,Post-Pandemic
7,Spider-Man: Far from Home,4634,390532085,2019-07-02,Sony Pictures Releasing,3,7,2019,prepan,84275.37440656021,11.34184498276887,0.08,3,S,Pre-Pandemic
5,Spider-Man: Homecoming,4348,334201140,2017-07-07,Sony Pictures Releasing,3,7,2017,prepan,76863.1876724931,11.249782337009709,0.08,3,S,Pre-Pandemic
