,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2016,,,,,,
2016,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
1,Finding Dory,"$486,295,561 ","4,305","$486,295,561 ",17-Jun,Walt Disney Studios Motion Pictures
2,Rogue One: A Star Wars Story,"$408,235,850 ","4,157","$532,177,324 ",16-Dec,Walt Disney Studios Motion Pictures
3,Captain America: Civil War,"$408,084,349 ","4,226","$408,084,349 ",6-May,Walt Disney Studios Motion Pictures
4,The Secret Life of Pets,"$368,384,330 ","4,381","$368,623,860 ",8-Jul,Universal Pictures
5,The Jungle Book,"$364,001,123 ","4,144","$364,001,123 ",15-Apr,Walt Disney Studios Motion Pictures
6,Deadpool,"$363,070,709 ","3,856","$363,070,709 ",12-Feb,20th Century Fox
7,Zootopia,"$341,268,248 ","3,959","$341,268,248 ",4-Mar,Walt Disney Studios Motion Pictures
8,Batman v Superman: Dawn of Justice,"$330,360,194 ","4,256","$330,360,194 ",25-Mar,Warner Bros.
9,Suicide Squad,"$325,100,054 ","4,255","$325,100,054 ",5-Aug,Warner Bros.
10,Star Wars: Episode VII - The Force Awakens,"$284,694,956 ","4,134","$936,662,225 ",18-Dec,Walt Disney Studios Motion Pictures
11,Doctor Strange,"$229,876,337 ","3,882","$232,641,920 ",4-Nov,Walt Disney Studios Motion Pictures
12,Fantastic Beasts and Where to Find Them,"$222,675,573 ","4,144","$234,037,575 ",18-Nov,Warner Bros.
13,Moana,"$206,477,478 ","3,875","$248,757,044 ",23-Nov,Walt Disney Studios Motion Pictures
14,The Revenant,"$182,765,375 ","3,711","$183,637,894 ",25-Dec,20th Century Fox
15,Jason Bourne,"$162,434,410 ","4,039","$162,434,410 ",29-Jul,Universal Pictures
16,Star Trek Beyond,"$158,848,340 ","3,928","$158,848,340 ",22-Jul,Paramount Pictures
