,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2022,,,,,,
2022,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
1,Top Gun: Maverick,"$718,318,561 ","4,751","$718,732,821 ",27-May,Paramount Pictures
2,Black Panther: Wakanda Forever,"$436,499,646 ","4,396","$453,829,060 ",11-Nov,Walt Disney Studios Motion Pictures
3,Doctor Strange in the Multiverse of Madness,"$411,331,607 ","4,534","$411,331,607 ",6-May,Walt Disney Studios Motion Pictures
4,Avatar: The Way of Water,"$401,007,908 ","4,340","$684,075,767 ",16-Dec,20th Century Studios
5,Jurassic World: Dominion,"$376,851,080 ","4,697","$376,851,080 ",10-Jun,Universal Pictures
6,Minions: The Rise of Gru,"$369,695,210 ","4,427","$370,549,695 ",1-Jul,Universal Pictures
7,The Batman,"$369,345,583 ","4,417","$369,345,583 ",4-Mar,Warner Bros.
8,Thor: Love and Thunder,"$343,256,830 ","4,375","$343,256,830 ",8-Jul,Walt Disney Studios Motion Pictures
9,Spider-Man: No Way Home,"$231,808,708 ","4,336","$804,793,477 ",17-Dec,Sony Pictures Releasing
10,Sonic the Hedgehog 2,"$190,872,904 ","4,258","$190,872,904 ",8-Apr,Paramount Pictures
11,Black Adam,"$168,054,237 ","4,402","$168,152,111 ",21-Oct,Warner Bros.
12,Elvis,"$151,040,048 ","3,932","$151,040,048 ",24-Jun,Warner Bros.
13,Uncharted,"$148,649,929 ","4,275","$148,648,820 ",18-Feb,Sony Pictures Releasing
14,Nope,"$123,277,080 ","3,807","$123,277,080 ",22-Jul,Universal Pictures
15,Lightyear,"$118,307,188 ","4,255","$118,307,188 ",17-Jun,Walt Disney Studios Motion Pictures
16,Smile,"$105,935,048 ","3,659","$105,935,048 ",30-Sep,Paramount Pictures
17,The Lost City,"$105,344,029 ","4,283","$105,344,029 ",25-Mar,Paramount Pictures
18,Bullet Train,"$103,368,602 ","4,357","$103,368,602 ",5-Aug,Sony Pictures Releasing
19,The Bad Guys,"$97,233,630 ","4,042","$97,459,240 ",22-Apr,Universal Pictures
20,Fantastic Beasts: The Secrets of Dumbledore,"$95,850,844 ","4,245","$95,850,844 ",15-Apr,Warner Bros.
