,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2022,,,,,,
2022,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
21,DC League of Super-Pets,"$93,657,117 ","4,332","$93,657,117 ",29-Jul,Warner Bros.
22,Where the Crawdads Sing,"$90,230,760 ","3,650","$90,230,760 ",15-Jul,Sony Pictures Releasing
23,The Black Phone,"$90,123,230 ","3,156","$90,123,230 ",24-Jun,Universal Pictures
24,Sing 2,"$86,307,835 ","3,892","$162,790,990 ",22-Dec,Universal Pictures
25,Scream,"$81,641,405 ","3,666","$81,641,405 ",14-Jan,Paramount Pictures
26,Morbius,"$73,865,530 ","4,268","$73,865,530 ",1-Apr,Columbia Pictures
27,Everything Everywhere All at Once,"$68,649,964 ","2,220","$77,191,785 ",25-Mar,A24
28,Ticket to Paradise,"$68,205,760 ","4,066","$68,275,985 ",21-Oct,Universal Pictures
29,The Woman King,"$67,178,268 ","3,765","$67,328,130 ",16-Sep,TriStar Pictures
30,Halloween Ends,"$64,079,860 ","3,901","$64,079,860 ",14-Oct,Universal Pictures
31,Dog,"$61,778,069 ","3,827","$61,778,069 ",18-Feb,United Artists Releasing
32,Jackass Forever,"$57,743,451 ","3,653","$57,743,451 ",4-Feb,Paramount Pictures
33,Puss in Boots: The Last Wish,"$55,665,155 ","4,121","$186,090,535 ",21-Dec,Universal Pictures
34,Violent Night,"$46,778,450 ","3,723","$50,057,405 ",2-Dec,Universal Pictures
35,"Lyle, Lyle, Crocodile","$46,703,141 ","4,350","$46,888,441 ",7-Oct,Sony Pictures Releasing
36,Death on the Nile,"$45,630,104 ","3,420","$45,630,104 ",11-Feb,20th Century Studios
37,Don't Worry Darling,"$45,309,403 ","4,121","$45,309,403 ",23-Sep,Warner Bros.
38,Downton Abbey: A New Era,"$44,141,550 ","3,830","$44,141,550 ",20-May,Focus Features
39,Barbarian,"$40,842,944 ","2,890","$40,842,944 ",9-Sep,20th Century Studios
40,Dragon Ball Super: Super Hero,"$38,112,140 ","3,018","$38,112,140 ",19-Aug,Crunchyroll
41,Strange World,"$36,848,924 ","4,174","$37,968,963 ",23-Nov,Walt Disney Studios Motion Pictures
42,The Menu,"$35,721,551 ","3,228","$38,501,125 ",18-Nov,Searchlight Pictures
43,Jujutsu Kaisen 0,"$34,542,754 ","2,418","$34,542,754 ",18-Mar,Crunchyroll
44,The Northman,"$34,233,110 ","3,284","$34,233,110 ",22-Apr,Focus Features
45,The Bob's Burgers Movie,"$31,933,830 ","3,425","$31,933,830 ",27-May,20th Century Studios
46,Beast,"$31,846,530 ","3,754","$31,846,530 ",19-Aug,Universal Pictures
47,The Invitation,"$25,100,080 ","3,117","$25,100,080 ",26-Aug,Sony Pictures Releasing
48,Avatar,"$24,714,024 ","2,040","$24,714,024 ",23-Sep,Walt Disney Pictures
,2022 Re-release,,,,,
49,Ambulance,"$22,781,115 ","3,412","$22,781,115 ",8-Apr,Universal Pictures
50,Marry Me,"$22,438,180 ","3,643","$22,438,180 ",11-Feb,Universal Pictures
51,The King's Man,"$20,917,649 ","3,180","$37,176,373 ",22-Dec,20th Century Studios
52,Father Stu,"$20,884,796 ","2,705","$20,884,796 ",13-Apr,Sony Pictures Releasing
53,The Unbearable Weight of Massive Talent,"$20,300,157 ","3,036","$20,300,157 ",22-Apr,Lionsgate
54,Devotion,"$19,837,942 ","3,458","$20,511,938 ",23-Nov,Columbia Pictures
55,Prey for the Devil,"$19,802,293 ","2,980","$19,802,293 ",28-Oct,Lionsgate
56,Moonfall,"$19,060,660 ","3,446","$19,060,660 ",4-Feb,Lionsgate
57,Paws of Fury: The Legend of Hank,"$17,811,382 ","3,481","$17,811,382 ",15-Jul,Paramount Pictures
58,Amsterdam,"$14,947,969 ","3,005","$14,947,969 ",7-Oct,20th Century Studios
59,The Chosen Season 3: Episode 1 & 2,"$14,612,089 ","2,021","$14,612,089 ",18-Nov,Fathom Events
60,The 355,"$14,570,455 ","3,145","$14,570,455 ",7-Jan,Universal Pictures
61,American Underdog,"$14,301,214 ","2,813","$26,514,814 ",25-Dec,Lionsgate
62,Glass Onion,"$13,280,000 ",696,"$13,280,000 ",23-Nov,Netflix
63,Whitney Houston: I Wanna Dance with Somebody,"$13,256,913 ","3,625","$23,708,080 ",23-Dec,TriStar Pictures
64,Easter Sunday,"$13,013,690 ","3,176","$13,013,690 ",5-Aug,Universal Pictures
65,One Piece Film: Red,"$12,775,324 ","2,367","$12,775,324 ",4-Nov,Crunchyroll
66,Licorice Pizza,"$11,873,858 ","1,977","$17,318,007 ",26-Nov,United Artists Releasing
67,The Fabelmans,"$11,807,395 ","1,962","$17,348,945 ",11-Nov,Universal Pictures
68,X,"$11,769,469 ","2,920","$11,769,469 ",18-Mar,A24
69,Bros,"$11,628,165 ","3,356","$11,628,165 ",30-Sep,Universal Pictures
70,Bodies Bodies Bodies,"$11,446,602 ","2,541","$11,446,602 ",5-Aug,A24
71,RRR,"$11,113,000 ","1,200","$14,500,000 ",25-Mar,Sarigama Cinemas
72,Terrifier 2,"$10,640,105 ","1,550","$10,640,105 ",6-Oct,Cinedigm Entertainment Group
73,Mrs. Harris Goes to Paris,"$10,433,915 ","1,001","$10,433,915 ",15-Jul,Focus Features
74,West Side Story,"$10,361,074 ","2,820","$38,530,322 ",10-Dec,20th Century Studios
75,Firestarter,"$9,739,250 ","3,413","$9,739,250 ",13-May,Universal Pictures
76,Blacklight,"$9,591,094 ","2,772","$9,591,094 ",11-Feb,Briarcliff Entertainment
77,See How They Run,"$9,586,237 ","2,502","$9,586,237 ",16-Sep,Walt Disney Studios Motion Pictures
78,The Matrix Resurrections,"$9,552,171 ","3,552","$37,686,805 ",22-Dec,Warner Bros.
79,Pearl,"$9,423,445 ","2,982","$9,423,445 ",16-Sep,A24
80,Spider-Man: No Way Home,"$9,321,593 ","3,935","$9,321,593 ",2-Sep,Sony Pictures Releasing
,2022 Re-release,,,,,
81,Redeeming Love,"$9,214,020 ","1,963","$9,214,020 ",21-Jan,Universal Pictures
82,Babylon,"$9,082,897 ","3,351","$15,658,225 ",23-Dec,Paramount Pictures
83,The Banshees of Inisherin,"$9,026,965 ","1,205","$10,582,266 ",21-Oct,Searchlight Pictures
84,Till,"$9,000,202 ","2,136","$9,000,202 ",14-Oct,United Artists Releasing
85,Three Thousand Years of Longing,"$8,286,741 ","2,436","$8,286,741 ",26-Aug,United Artists Releasing
86,Brahmastra Part One: Shiva,"$7,839,108 ",810,"$7,839,108 ",9-Sep,Walt Disney Studios Motion Pictures
87,Bones and All,"$7,834,907 ","2,727","$7,834,907 ",23-Nov,United Artists Releasing
88,Memory,"$7,329,043 ","2,555","$7,329,043 ",29-Apr,Open Road Films (II)
89,Fall,"$7,240,521 ","1,548","$7,240,521 ",12-Aug,Lionsgate
90,Men,"$7,018,995 ","2,212","$7,587,853 ",20-May,A24
91,Ghostbusters: Afterlife,"$6,981,615 ","4,315","$129,360,575 ",19-Nov,Sony Pictures Releasing
92,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$6,840,000 ",803,"$6,840,000 ",12-Mar,Trafalgar Releasing
93,Marcel the Shell with Shoes On,"$6,333,702 ",821,"$6,333,702 ",24-Jun,A24
94,She Said,"$5,825,995 ","2,023","$5,825,995 ",18-Nov,Universal Pictures
95,Tár,"$5,579,775 ","1,090","$6,773,650 ",7-Oct,Focus Features
96,I Heard the Bells,"$5,563,323 ","1,204","$5,644,104 ",1-Dec,Fathom Events
97,Encanto,"$5,465,293 ","3,980","$96,093,622 ",24-Nov,Walt Disney Studios Motion Pictures
98,Orphan: First Kill,"$5,413,227 ",557,"$5,413,227 ",19-Aug,Paramount Pictures
99,House of Gucci,"$5,392,076 ","3,477","$53,809,574 ",24-Nov,United Artists Releasing
100,The Whale,"$5,334,196 ","1,721","$17,463,630 ",9-Dec,A24
101,Lifemark,"$5,180,537 ","1,531","$5,180,537 ",9-Sep,Fathom Events
102,Jaws,"$5,100,765 ","1,246","$5,809,280 ",2-Sep,Universal Pictures
,2022 Re-release,,,,,
103,The Cursed,"$4,588,389 ","1,695","$4,588,389 ",18-Feb,LD Entertainment
104,Nightmare Alley,"$4,459,805 ","2,145","$11,338,107 ",17-Dec,Searchlight Pictures
105,Vengeance,"$4,330,720 ","1,003","$4,330,720 ",29-Jul,Focus Features
106,Ponniyin Selvan: Part I,"$4,282,000 ",500,"$4,282,000 ",30-Sep,Sarigama Cinemas
107,Moonage Daydream,"$4,210,870 ",733,"$4,218,925 ",16-Sep,Neon
108,Triangle of Sadness,"$4,117,418 ",610,"$4,608,096 ",7-Oct,Neon
109,Belle,"$4,018,313 ","1,338","$4,018,313 ",14-Jan,GKIDS
110,Family Camp,"$3,973,263 ","1,057","$3,973,263 ",13-May,Roadside Attractions
111,Cyrano,"$3,873,124 ",797,"$3,873,124 ",25-Feb,United Artists Releasing
112,Laal Singh Chaddha,"$3,401,324 ",517,"$3,401,324 ",11-Aug,Paramount Pictures
113,The Outfit,"$3,344,040 ","1,328","$3,344,040 ",18-Mar,Focus Features
114,Clerks III,"$3,118,952 ",5,"$4,663,106 ",16-Sep,Fathom Events
115,The Worst Person in the World,"$3,034,775 ",554,"$3,034,775 ",4-Feb,Neon
116,K.G.F: Chapter 2,"$2,874,000 ",-,"$2,874,000 ",15-Apr,Viva Pictures
117,Breaking,"$2,806,359 ",909,"$2,806,359 ",26-Aug,Bleecker Street Media
118,A Journal for Jordan,"$2,639,255 ","2,500","$6,545,174 ",25-Dec,Sony Pictures Releasing
119,Honk for Jesus. Save Your Soul.,"$2,561,270 ","1,882","$2,561,270 ",2-Sep,Focus Features
120,Mack & Rita,"$2,540,965 ","1,930","$2,540,965 ",12-Aug,Gravitas Premiere
121,Studio 666,"$2,513,963 ","2,306","$2,513,963 ",25-Feb,Open Road Films (II)
122,Crimes of the Future,"$2,452,882 ",773,"$2,452,882 ",3-Jun,Neon
123,Belfast,"$2,364,945 ","1,255","$9,250,870 ",12-Nov,Focus Features
124,Gigi & Nate,"$2,280,814 ","1,220","$2,280,814 ",2-Sep,Roadside Attractions
125,The Good House,"$2,219,760 ","1,061","$2,219,760 ",30-Sep,Roadside Attractions
126,Parallel Mothers,"$2,200,702 ",684,"$2,297,501 ",24-Dec,Sony Pictures Classics
127,Emily the Criminal,"$2,170,275 ",483,"$2,156,296 ",12-Aug,Roadside Attractions
128,Umma,"$2,121,025 ",805,"$2,121,025 ",18-Mar,Stage 6 Films
129,The Wolf and the Lion,"$2,072,173 ","1,005","$2,072,173 ",4-Feb,Blue Fox Entertainment
130,E.T. the Extra-Terrestrial,"$2,030,725 ",793,"$2,234,590 ",12-Aug,Universal Pictures
,2022 Re-release,,,,,
131,Drive My Car,"$2,019,670 ",213,"$2,352,240 ",24-Nov,Janus Films
132,Jeepers Creepers: Reborn,"$2,013,935 ",996,"$2,033,057 ",19-Sep,Fathom Events
133,Watcher,"$1,961,207 ",764,"$1,961,207 ",3-Jun,IFC Films
134,Mr. Malcolm's List,"$1,885,718 ","1,384","$1,885,718 ",1-Jul,Bleecker Street Media
135,Armageddon Time,"$1,860,050 ","1,006","$1,872,625 ",28-Oct,Focus Features
136,Radhe Shyam,"$1,860,000 ",800,"$1,860,000 ",11-Mar,-
137,Vikram,"$1,770,000 ",465,"$1,770,000 ",3-Jun,Prime Media Pictures
138,The King's Daughter,"$1,758,961 ","2,170","$1,758,963 ",21-Jan,Gravitas Ventures
139,2022 Oscar Nominated Short Films: Live Action/2022 Oscar Nominated Short Films: Animation/2022 Oscar Nominated Short Films: Documentary,"$1,645,735 ",355,"$1,801,646 ",25-Feb,ShortsTV
,2022 Oscar Nominated Short Films,,,,,
140,Infinite Storm,"$1,600,543 ","1,525","$1,600,543 ",25-Mar,Bleecker Street Media
141,Vikram Vedha,"$1,589,362 ",558,"$1,589,362 ",30-Sep,Reliance Entertainment
142,The Duke,"$1,526,970 ",353,"$1,526,970 ",22-Apr,Sony Pictures Classics
143,Running the Bases,"$1,511,980 ","1,080","$1,511,980 ",16-Sep,UP2U Films
144,¿Y cómo es él?,"$1,500,636 ",325,"$1,500,636 ",22-Apr,Lionsgate
145,The Kashmir Files,"$1,485,000 ",230,"$1,485,000 ",18-Mar,Zee Studios
146,2000 Mules,"$1,465,513 ",415,"$1,465,513 ",20-May,D'Souza Media
147,It's a Wonderful Life,"$1,439,250 ",960,"$1,439,643 ",18-Dec,Fathom Events
,75th Anniversary,,,,,
148,The Godfather,"$1,414,662 ",596,"$1,414,662 ",25-Feb,Paramount Pictures
,2022 Re-release,,,,,
149,Spoiler Alert,"$1,384,003 ",783,"$1,384,003 ",2-Dec,Focus Features
150,Medieval,"$1,374,325 ","1,311","$1,374,325 ",9-Sep,The Avenue Entertainment
151,Rogue One: A Star Wars Story,"$1,362,667 ",255,"$1,362,667 ",26-Aug,Walt Disney Studios Motion Pictures
,2022 Re-release,,,,,
152,Decision to Leave,"$1,353,860 ",169,"$2,179,864 ",14-Oct,MUBI
153,Howl's Moving Castle,"$1,212,525 ",868,"$1,212,525 ",23-Sep,Fathom Events
,2022 Re-release,,,,,
154,F3: Fun and Frustration,"$1,195,000 ",400,"$1,195,000 ",27-May,-
155,Dune: Part One,"$1,151,687 ","4,125","$108,327,830 ",22-Oct,Warner Bros.
156,Aftersun,"$1,119,759 ",97,"$1,658,790 ",21-Oct,A24
157,After Ever Happy,"$1,072,750 ","1,144","$1,072,750 ",7-Sep,Fathom Events
158,Fire of Love,"$1,064,079 ",191,"$1,120,412 ",6-Jul,Neon
159,"Hallelujah: Leonard Cohen, a Journey, a Song","$1,062,353 ",168,"$1,062,603 ",1-Jul,Sony Pictures Releasing
160,The Contractor,"$1,035,265 ",489,"$1,035,265 ",1-Apr,STX Entertainment
161,Jug Jugg Jeeyo,"$1,033,000 ",318,"$1,033,000 ",24-Jun,-
162,'83,"$1,030,739 ",486,"$4,055,660 ",23-Dec,Reliance Entertainment
163,Coldplay Music of The Spheres Live Broadcast from Buenos Aires,"$1,015,000 ",833,"$1,015,000 ",28-Oct,Trafalgar Releasing
164,The Beatles: Get Back - The Rooftop Concert,"$976,712 ",179,"$976,712 ",30-Jan,IMAX
165,Venom: Let There Be Carnage,"$941,330 ","4,225","$213,550,366 ",1-Oct,Sony Pictures Releasing
166,Man of God,"$920,561 ",830,"$920,561 ",21-Mar,Fathom Events
167,Empire of Light,"$916,603 ",436,"$1,177,577 ",9-Dec,Searchlight Pictures
168,Johnny Cash: The Redemption of an American Icon,"$840,580 ","1,087","$840,580 ",5-Dec,Fathom Events
169,The Tiger Rising,"$835,162 ",872,"$835,162 ",21-Jan,Variance Films
170,Hansan: Rising Dragon,"$834,704 ",32,"$865,888 ",29-Jul,Well Go USA Entertainment
171,Acharya,"$832,000 ",396,"$832,000 ",29-Apr,Prime Media Pictures
172,Petite Maman,"$829,065 ",224,"$829,065 ",22-Apr,Neon
173,Evangelion: 3.0+1.0 Thrice Upon a Time,"$810,744 ",745,"$810,744 ",6-Dec,Fathom Events
174,The Roundup,"$801,281 ",22,"$812,859 ",19-May,Capelight Pictures
175,Star Trek II: The Wrath of Khan,"$794,943 ",967,"$794,943 ",4-Sep,Fathom Events
,2022 Re-release,,,,,
176,"The Metropolitan Opera HD Live: Kevin Puts: The Hours, Libretto by Greg Pierce","$791,374 ",826,"$791,374 ",10-Dec,Fathom Events
177,The Phantom of the Open,"$747,675 ",501,"$748,695 ",3-Jun,Sony Pictures Classics
178,Saint Michael Meet the Angel,"$643,828 ",811,"$643,828 ",29-Sep,Fathom Events
179,Ante Sundharaniki,"$621,000 ",350,"$620,000 ",10-Jun,-
180,Unsilenced,"$613,621 ",186,"$613,621 ",21-Jan,Zhen Pictures
181,HIT: The 2nd Case,"$600,000 ",280,"$600,000 ",2-Dec,Tolly Movies
182,Official Competition,"$593,790 ",173,"$593,790 ",17-Jun,IFC Films
183,Gangubai Kathiawadi,"$592,000 ",-,"$592,000 ",4-Mar,Paramount Pictures International
184,When I'm Young,"$588,028 ",315,"$588,028 ",23-Sep,Pantelion Films
185,The Mean One,"$585,025 ",162,"$612,260 ",8-Dec,Atlas Distribution Company
186,"Confess, Fletch","$538,842 ",516,"$538,842 ",16-Sep,Paramount Pictures
187,Call Jane,"$512,770 ","1,068","$512,770 ",28-Oct,Roadside Attractions
188,The Quintessential Quintuplets Movie,"$502,000 ",910,"$502,000 ",2-Dec,Crunchyroll
189,God's Country,"$493,679 ",785,"$493,679 ",16-Sep,IFC Films
190,Deep in the Heart: A Texas Wildlife Story,"$480,240 ",69,"$480,240 ",3-Jun,Fin & Fur Films
191,The Railway Children Return,"$466,391 ",923,"$466,391 ",23-Sep,Blue Fox Entertainment
192,Vivo,"$454,807 ",705,"$454,807 ",25-Apr,Fathom Events
193,Selena,"$444,681 ",427,"$444,681 ",7-Apr,Iconic Events Releasing
,2022 Re-release,,,,,
194,Eiffel,"$436,023 ",308,"$444,814 ",29-Apr,Blue Fox Entertainment
195,Brian and Charles,"$430,635 ",279,"$430,635 ",17-Jun,Focus Features
196,King Richard,"$408,056 ","3,302","$15,129,285 ",19-Nov,Warner Bros.
197,Superspreader,"$399,370 ",235,"$399,370 ",30-Sep,Iconic Events Releasing
198,The Inspection,"$385,627 ",144,"$390,429 ",18-Nov,A24
199,Alice,"$372,529 ",169,"$373,043 ",18-Mar,Roadside Attractions
200,Emergency Declaration,"$372,123 ",42,"$412,196 ",12-Aug,Well Go USA Entertainment
Rank,,,,,,
Latest Updates: News | Daily | Weekend | All Time | International | Showdowns,,,,,,
Glossary | User Guide | License IMDb Data | Help,,,,,,
BoxOfficeMojo.com by IMDbPro - an IMDb company.,,,,,,
"© IMDb.com, Inc. or its affiliates. All rights reserved. Box Office Mojo and IMDb are trademarks or registered trademarks of IMDb.com, Inc. or its affiliates. Conditions of Use and Privacy Policy under which this service is provided to you.",,,,,,
