,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2024,,,,,,
2024,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
1,Inside Out 2,"$652,980,194 ","4,440","$652,980,194 ",14-Jun,Walt Disney Studios Motion Pictures
2,Deadpool & Wolverine,"$636,745,858 ","4,330","$636,745,858 ",26-Jul,Walt Disney Studios Motion Pictures
3,Wicked,"$432,943,285 ","3,888","$474,983,975 ",22-Nov,Universal Pictures
4,Moana 2,"$404,017,489 ","4,200","$460,405,297 ",27-Nov,Walt Disney Studios Motion Pictures
5,Despicable Me 4,"$361,004,205 ","4,449","$361,004,205 ",3-Jul,Universal Pictures
6,Beetlejuice Beetlejuice,"$294,100,435 ","4,575","$294,100,435 ",6-Sep,Warner Bros.
7,Dune: Part Two,"$282,144,358 ","4,074","$282,144,358 ",1-Mar,Warner Bros.
8,Twisters,"$267,762,265 ","4,170","$267,762,265 ",19-Jul,Universal Pictures
9,Godzilla X Kong: The New Empire,"$196,350,016 ","3,948","$196,350,016 ",29-Mar,Warner Bros.
10,Kung Fu Panda 4,"$193,590,620 ","4,067","$193,590,620 ",8-Mar,Universal Pictures
11,Bad Boys: Ride or Die,"$193,573,217 ","3,885","$193,573,217 ",7-Jun,Sony Pictures Releasing
12,Kingdom of the Planet of the Apes,"$171,130,165 ","4,075","$171,130,165 ",10-May,20th Century Studios
13,Gladiator II,"$164,554,921 ","3,580","$172,438,016 ",22-Nov,Paramount Pictures
14,Sonic the Hedgehog 3,"$151,558,894 ","3,769","$236,115,100 ",20-Dec,Paramount Pictures
15,It Ends with Us,"$148,518,266 ","3,839","$148,518,266 ",9-Aug,Sony Pictures Releasing
16,The Wild Robot,"$143,190,445 ","3,997","$143,901,945 ",27-Sep,Universal Pictures
17,Venom: The Last Dance,"$139,733,580 ","4,131","$139,755,882 ",25-Oct,Sony Pictures Releasing
18,A Quiet Place: Day One,"$138,930,553 ","3,708","$139,051,884 ",28-Jun,Paramount Pictures
19,Mufasa: The Lion King,"$128,143,945 ","4,100","$254,567,693 ",20-Dec,Walt Disney Studios Motion Pictures
20,Ghostbusters: Frozen Empire,"$113,376,590 ","4,345","$113,376,590 ",22-Mar,Sony Pictures Releasing
21,IF,"$111,149,917 ","4,068","$111,375,918 ",17-May,Paramount Pictures
22,Alien: Romulus,"$105,313,091 ","3,915","$105,313,091 ",16-Aug,20th Century Studios
23,Bob Marley: One Love,"$96,893,170 ","3,597","$96,981,216 ",14-Feb,Paramount Pictures
24,Red One,"$96,805,881 ","4,032","$97,000,759 ",15-Nov,Amazon MGM Studios
25,The Fall Guy,"$92,900,355 ","4,008","$92,900,355 ",3-May,Universal Pictures
26,The Garfield Movie,"$91,956,547 ","4,108","$91,956,547 ",24-May,Sony Pictures Releasing
27,Wonka,"$85,272,410 ","4,213","$218,402,312 ",15-Dec,Warner Bros.
28,Longlegs,"$74,346,140 ","2,850","$74,346,140 ",12-Jul,Neon
29,Migration,"$73,526,925 ","3,839","$127,630,880 ",22-Dec,Universal Pictures
30,Mean Girls,"$72,404,248 ","3,826","$72,581,770 ",12-Jan,Paramount Pictures
31,Smile 2,"$68,967,012 ","3,624","$69,012,586 ",18-Oct,Paramount Pictures
32,Civil War,"$68,603,430 ","3,929","$68,756,072 ",12-Apr,A24
33,Furiosa: A Mad Max Saga,"$67,475,791 ","3,864","$67,475,791 ",24-May,Warner Bros.
34,The Beekeeper,"$66,220,535 ","3,337","$66,220,535 ",12-Jan,Metro-Goldwyn-Mayer (MGM)
35,Anyone But You,"$63,482,283 ","3,055","$88,319,668 ",22-Dec,Columbia Pictures
36,Transformers One,"$59,054,170 ","3,978","$59,098,421 ",20-Sep,Paramount Pictures
37,Joker: Folie à Deux,"$58,300,287 ","4,102","$58,300,287 ",4-Oct,Warner Bros.
38,Terrifier 3,"$53,799,754 ","2,762","$53,981,071 ",11-Oct,Cineverse
39,Challengers,"$50,119,408 ","3,477","$50,119,408 ",26-Apr,Amazon MGM Studios
40,Nosferatu,"$48,120,015 ","3,132","$95,608,235 ",25-Dec,Focus Features
41,Aquaman and the Lost Kingdom,"$48,011,513 ","3,787","$124,481,226 ",22-Dec,Warner Bros.
42,Argylle,"$45,207,275 ","3,647","$45,207,275 ",2-Feb,Universal Pictures
43,Madame Web,"$43,817,106 ","4,013","$43,817,106 ",14-Feb,Columbia Pictures
44,Trap,"$42,777,281 ","3,181","$42,777,281 ",2-Aug,Warner Bros.
45,The Best Christmas Pageant Ever,"$39,802,723 ","3,020","$40,048,808 ",8-Nov,Lionsgate
46,Speak No Evil,"$36,931,420 ","3,375","$36,931,420 ",13-Sep,Universal Pictures
47,The Strangers: Chapter 1,"$35,202,562 ","2,856","$35,202,562 ",17-May,Lionsgate
