rank,movie,num_theaters,tot_gross,release_date,distrib
9,Ant-Man and the Wasp,4206,216648740,2018-07-06,Walt Disney Studios Motion Pictures
10,Solo: A Star Wars Story,4381,213767512,2018-05-25,Walt Disney Studios Motion Pictures
11,Venom,4250,213515506,2018-10-05,Sony Pictures Releasing
12,A Star Is Born,3904,215288866,2018-10-05,Warner Bros.
13,Aquaman,4184,335061807,2018-12-21,Warner Bros.
14,Bohemian Rhapsody,4000,216428042,2018-11-02,20th Century Fox
15,A Quiet Place,3808,188024361,2018-04-06,Paramount Pictures
16,Ralph Breaks the Internet,4017,201091711,2018-11-21,Walt Disney Studios Motion Pictures
17,Crazy Rich Asians,3865,174532921,2018-08-15,Warner Bros.
18,Hotel Transylvania 3: Summer Vacation,4267,167510016,2018-07-13,Sony Pictures Releasing
19,Halloween,3990,159342015,2018-10-19,Universal Pictures
20,Fantastic Beasts: The Crimes of Grindelwald,4163,159555901,2018-11-16,Warner Bros.
21,The Meg,4118,145443742,2018-08-10,Warner Bros.
22,Ocean's Eight,4145,140218711,2018-06-08,Warner Bros.
23,Ready Player One,4234,137690172,2018-03-29,Warner Bros.
24,The Greatest Showman,3342,174340174,2018-12-20,20th Century Fox
25,Mamma Mia! Here We Go Again,3514,120634935,2018-07-20,Universal Pictures
26,The Nun,3876,117450119,2018-09-07,Warner Bros.
27,Peter Rabbit,3725,115253424,2018-02-09,Sony Pictures Releasing
28,Creed II,3752,115715889,2018-11-21,Metro-Goldwyn-Mayer (MGM)
29,Spider-Man: Into the Spider-Verse,3813,190241310,2018-12-14,Sony Pictures Releasing
30,Mary Poppins Returns,4090,171958438,2018-12-19,Walt Disney Studios Motion Pictures
31,Star Wars: Episode VIII - The Last Jedi,4232,620181382,2018-12-15,Walt Disney Studios Motion Pictures
32,The Equalizer 2,3388,102084362,2018-07-20,Sony Pictures Releasing
33,Rampage,4115,101028233,2018-04-13,Warner Bros.
34,A Wrinkle in Time,3980,100478608,2018-03-09,Walt Disney Studios Motion Pictures
35,Fifty Shades Freed,3768,100407760,2018-02-09,Universal Pictures
36,Christopher Robin,3602,99215042,2018-08-03,Walt Disney Studios Motion Pictures
37,I Can Only Imagine,2894,83482352,2018-03-16,Roadside Attractions
38,Smallfoot,4131,83240103,2018-09-28,Warner Bros.
39,The Post,2851,81903458,2018-12-22,20th Century Fox
40,Night School,3019,77339130,2018-09-28,Universal Pictures
41,Bumblebee,3597,127195589,2018-12-21,Paramount Pictures
42,The First Purge,3038,69488745,2018-07-04,Universal Pictures
43,Game Night,3502,69179066,2018-02-23,Warner Bros.
44,Book Club,3169,68566296,2018-05-18,Paramount Pictures
45,The House with a Clock in Its Walls,3592,68549695,2018-09-21,Universal Pictures
46,Skyscraper,3822,68420120,2018-07-13,Universal Pictures
47,Insidious: The Last Key,3150,67745330,2018-01-05,Universal Pictures
48,Instant Family,3426,67363237,2018-11-16,Paramount Pictures
49,The Mule,3329,103804407,2018-12-14,Warner Bros.
50,Blockers,3418,60311495,2018-04-06,Universal Pictures
51,Pacific Rim: Uprising,3708,59874525,2018-03-23,Universal Pictures
52,Tomb Raider,3854,58250803,2018-03-16,Warner Bros.
53,Maze Runner: The Death Cure,3793,58032443,2018-01-26,20th Century Fox
54,Tag,3382,54730625,2018-06-15,Warner Bros.
55,The Nutcracker and the Four Realms,3766,54858851,2018-11-02,Walt Disney Studios Motion Pictures
56,A Simple Favor,3102,53548586,2018-09-14,Lionsgate
57,Life of the Party,3656,53059911,2018-05-11,Warner Bros.
58,The Predator,4070,51024708,2018-09-14,20th Century Fox
59,Overboard,2006,50316123,2018-05-04,Pantelion Films
60,Sicario: Day of the Soldado,3055,50072235,2018-06-29,Sony Pictures Releasing
61,I Feel Pretty,3440,48795601,2018-04-20,STX Entertainment
62,BlacKkKlansman,1914,49275340,2018-08-10,Focus Features
63,The Shape of Water,2341,63859435,2018-12-01,Fox Searchlight Pictures
64,Red Sparrow,3064,46874505,2018-03-02,20th Century Fox
65,Breaking In,2537,46840590,2018-05-11,Universal Pictures
66,Goosebumps 2: Haunted Halloween,3723,46700633,2018-10-12,Sony Pictures Releasing
67,12 Strong,3018,45819713,2018-01-19,Warner Bros.
68,Den of Thieves,2432,44947622,2018-01-19,STX Entertainment
69,First Man,3640,44936545,2018-10-12,Universal Pictures
70,Hereditary,2998,44069456,2018-06-08,A24
71,Acrimony,2006,43549096,2018-03-30,Lionsgate
72,Sherlock Gnomes,3662,43242871,2018-03-23,Paramount Pictures
73,Uncle Drew,2742,42469946,2018-06-29,Lionsgate
74,Widows,2803,42402632,2018-11-16,20th Century Fox
75,Pitch Perfect 3,3468,104897530,2018-12-22,Universal Pictures
76,Truth or Dare,3068,41411015,2018-04-13,Universal Pictures
77,Paddington 2,3702,40891591,2018-01-12,Warner Bros.
78,"Love, Simon",2434,40826341,2018-03-16,20th Century Fox
79,Darkest Hour,1733,56468410,2018-11-22,Focus Features
80,The Commuter,2892,36343858,2018-01-12,Lionsgate
81,The 15:17 to Paris,3042,36276286,2018-02-09,Warner Bros.
82,Mile 22,3520,36108758,2018-08-17,STX Entertainment
83,Alpha,2881,35857181,2018-08-17,Studio 8
84,Peppermint,2980,35418723,2018-09-07,STX Entertainment
85,Death Wish,2882,34017028,2018-03-02,Metro-Goldwyn-Mayer (MGM)
86,The Spy Who Dumped Me,3111,33562069,2018-08-03,Lionsgate
87,Annihilation,2112,32732301,2018-02-23,Paramount Pictures
88,Green Book,2648,85080171,2018-11-16,Universal Pictures
89,Isle of Dogs,1947,32015231,2018-03-23,Fox Searchlight Pictures
90,Nobody's Fool,2468,31713110,2018-11-02,Paramount Pictures
91,Adrift,3015,31445012,2018-06-01,STX Entertainment
92,Ferdinand,3630,84410380,2018-12-15,20th Century Fox
93,Robin Hood,2827,30824628,2018-11-21,Lionsgate
94,Super Troopers 2,2125,30617396,2018-04-20,20th Century Fox
95,Slender Man,2358,30569484,2018-08-10,Screen Gems
96,"Three Billboards Outside Ebbing, Missouri",1726,54513740,2018-11-10,Fox Searchlight Pictures
97,Coco,3987,210460015,2018-11-22,Walt Disney Studios Motion Pictures
98,Teen Titans GO! To the Movies,3188,29790236,2018-07-27,Warner Bros.
99,Hostiles,2934,29819114,2018-12-22,Entertainment Studios Motion Pictures
100,The Hate U Give,2375,29719483,2018-10-05,20th Century Fox
101,"I, Tonya",1450,30014539,2018-12-08,Neon
102,Searching,2009,26020957,2018-08-24,Screen Gems
103,Winchester,2480,25091816,2018-02-02,Lionsgate
104,The Strangers: Prey at Night,2464,24586708,2018-03-09,Aviron Pictures
105,White Boy Rick,2504,24011188,2018-09-14,Studio 8
106,Second Act,2607,39282227,2018-12-21,STX Entertainment
107,Molly's Game,1708,28780744,2018-12-25,STX Entertainment
108,Won't You Be My Neighbor?,893,22835787,2018-06-08,Focus Features
109,Overlord,2859,21704844,2018-11-09,Paramount Pictures
110,Holmes & Watson,2780,30573626,2018-12-25,Sony Pictures Releasing
111,Proud Mary,2125,20877013,2018-01-12,Screen Gems
112,The Happytime Murders,3256,20706452,2018-08-24,STX Entertainment
113,Phantom Thread,1186,21198205,2018-12-25,Focus Features
114,SuperFly,2220,20545116,2018-06-13,Sony Pictures Releasing
115,Vice,2534,47836282,2018-12-25,Annapurna Pictures
116,Show Dogs,3212,17857020,2018-05-18,Global Road Entertainment
117,Bad Times at the El Royale,2808,17839115,2018-10-12,20th Century Fox
118,Operation Finale,1818,17612099,2018-08-29,Metro-Goldwyn-Mayer (MGM)
119,"Paul, Apostle of Christ",1473,17560475,2018-03-23,Affirm Films
120,Lady Bird,1557,48958273,2018-11-03,A24
121,Sorry to Bother You,1050,17493096,2018-07-06,Annapurna Pictures
122,Chappaquiddick,1645,17395520,2018-04-06,Entertainment Studios Motion Pictures
123,Forever My Girl,1427,16376066,2018-01-19,Roadside Attractions
124,The Favourite,1554,34366783,2018-11-23,Fox Searchlight Pictures
125,Hunter Killer,2728,15767460,2018-10-26,Lionsgate
126,Mortal Engines,3103,15951040,2018-12-14,Universal Pictures
127,The Girl in the Spider's Web,2929,14841338,2018-11-09,Sony Pictures Releasing
128,The Possession of Hannah Grace,2298,14837422,2018-11-30,Screen Gems
129,RBG,432,14017361,2018-05-04,Magnolia Pictures
130,Eighth Grade,1084,13539709,2018-07-13,A24
131,Call Me by Your Name,914,18095701,2018-11-24,Sony Pictures Classics
132,The Darkest Minds,3127,12695691,2018-08-03,20th Century Fox
133,All the Money in the World,2123,25113707,2018-12-25,TriStar Pictures
134,Three Identical Strangers,433,12320845,2018-06-29,Neon
135,Upgrade,1458,11977130,2018-06-01,BH Tilt
136,Padmaavat,354,11846060,2018-01-25,Viva Pictures
137,Free Solo,483,17541090,2018-09-28,National Geographic Entertainment
138,The Old Man & the Gun,1042,11277120,2018-09-28,Fox Searchlight Pictures
139,Hell Fest,2297,11107431,2018-09-28,Lionsgate
140,Wonder,3519,132422809,2018-11-17,Lionsgate
141,The Miracle Season,1707,10230620,2018-04-06,LD Entertainment
142,Mary Queen of Scots,1052,16468499,2018-12-07,Focus Features
143,Midnight Sun,2173,9561064,2018-03-23,Global Road Entertainment
144,Tully,1356,9369755,2018-05-04,Focus Features
145,Traffik,1046,9186156,2018-04-20,Lionsgate
146,Unfriended: Dark Web,1547,8866745,2018-07-20,BH Tilt
147,Welcome to Marwen,1911,10763520,2018-12-21,Universal Pictures
148,Early Man,2494,8267544,2018-02-16,Lionsgate
149,The Wife,541,9601092,2018-08-17,Sony Pictures Classics
150,The Death of Stalin,548,8047856,2018-03-09,IFC Films
151,They Shall Not Grow Old,1335,17956913,2018-12-17,Warner Bros.
152,Sanju,359,7909317,2018-06-29,FIP
153,Unsane,2023,7732899,2018-03-23,Bleecker Street Media
154,Beautiful Boy,776,7649973,2018-10-12,Amazon Studios
155,Can You Ever Forgive Me?,555,8803865,2018-10-19,Fox Searchlight Pictures
156,Mid90s,1206,7362439,2018-10-19,A24
157,Downsizing,2668,24449754,2018-12-22,Paramount Pictures
158,Dog Days,2442,6809080,2018-08-08,LD Entertainment
159,Boy Erased,672,6788692,2018-11-02,Focus Features
160,Hotel Artemis,2407,6708147,2018-06-08,Global Road Entertainment
161,A-X-L,1710,6501381,2018-08-24,Global Road Entertainment
162,Fahrenheit 11/9,1719,6352306,2018-09-21,Briarcliff Entertainment
163,Unbroken: Path to Redemption,1620,6216897,2018-09-14,Pure Flix Entertainment
164,The Hurricane Heist,2402,6115825,2018-03-09,Entertainment Studios Motion Pictures
165,Every Day,1669,6102076,2018-02-23,Orion Pictures
166,Leave No Trace,361,6046104,2018-06-29,Bleecker Street Media
167,Once Upon a Deadpool,1566,6100309,2018-12-12,20th Century Fox
NA,2018 Re-release,NA,NA,NA,NA
168,Death of a Nation,1005,5885881,2018-08-03,Pure Flix / Quality Flix
169,Pandas,35,7574012,2018-04-06,Warner Bros.
170,My Hero Academia: Two Heroes,535,5754556,2018-09-25,FUNimation Entertainment
171,God's Not Dead: A Light in Darkness,1693,5728940,2018-03-30,Pure Flix Entertainment
172,Kin,2141,5718096,2018-08-31,Lionsgate
173,Colette,593,5137622,2018-09-21,Bleecker Street Media
174,Action Point,2032,5059608,2018-06-01,Paramount Pictures
175,Beirut,755,5019226,2018-04-11,Bleecker Street Media
176,Gringo,2404,4969853,2018-03-09,STX Entertainment
177,Samson,1249,4719928,2018-02-16,Pure Flix Entertainment
178,Father Figures,2902,17501244,2018-12-22,Warner Bros.
179,Johnny English Strikes Again,552,4412170,2018-10-26,Universal Pictures
180,Gotti,503,4343227,2018-06-15,Vertical Entertainment
181,Blindspotting,523,4333394,2018-07-20,Lionsgate
182,Burn the Stage: The Movie,645,4201819,2018-11-15,Trafalgar Releasing
183,Ya veremos,369,4165949,2018-08-31,Pantelion Films
184,Life Itself,2609,4102648,2018-09-21,Amazon Studios
185,Sgt. Stubby: An American Hero,1633,4015935,2018-04-13,Fun Academy Media Group
186,Thor: Ragnarok,4080,315058289,2018-11-03,Walt Disney Studios Motion Pictures
187,Gosnell: The Trial of America's Biggest Serial Killer,673,3679893,2018-10-12,GVN Releasing
188,Indivisible,830,3511417,2018-10-26,Pure Flix Entertainment
189,The Oscar Nominated Short Films 2018: Live Action,272,3508777,2018-02-09,Shorts International
190,Disobedience,247,3498782,2018-04-27,Bleecker Street Media
191,Justice League,4051,229024295,2018-11-17,Warner Bros.
192,First Reformed,334,3448256,2018-05-18,A24
193,"Juliet, Naked",467,3444895,2018-08-17,Roadside Attractions
194,Bad Samaritan,2007,3435047,2018-05-04,Electric Entertainment
195,7 Days in Entebbe,838,3326885,2018-03-16,Focus Features
196,The Disaster Artist,1010,21120616,2018-12-01,A24
197,2001: A Space Odyssey,13,3236321,2018-05-18,Warner Bros.
NA,2018 Re-release,NA,NA,NA,NA
198,2,314,4152000,2018-11-30,-
199,The Leisure Seeker,353,3226443,2018-12-15,Sony Pictures Classics
200,The Sisters Brothers,1141,3143056,2018-09-21,Annapurna Pictures
1,Avengers: Endgame,4662,858373000,2019-04-26,Walt Disney Studios Motion Pictures
2,The Lion King,4802,543638043,2019-07-19,Walt Disney Studios Motion Pictures
3,Toy Story 4,4575,434038008,2019-06-21,Walt Disney Studios Motion Pictures
4,Frozen II,4440,477373578,2019-11-22,Walt Disney Studios Motion Pictures
5,Captain Marvel,4310,426829839,2019-03-08,Walt Disney Studios Motion Pictures
6,Star Wars: Episode IX - The Rise of Skywalker,4406,515202542,2019-12-20,Walt Disney Studios Motion Pictures
7,Spider-Man: Far from Home,4634,390532085,2019-07-02,Sony Pictures Releasing
8,Aladdin,4476,355559216,2019-05-24,Walt Disney Studios Motion Pictures
9,Joker,4374,335451311,2019-10-04,Warner Bros.
10,It: Chapter Two,4570,211593228,2019-09-06,Warner Bros.
11,Jumanji: The Next Level,4227,320314960,2019-12-13,Sony Pictures Releasing
12,Us,3743,175084580,2019-03-22,Universal Pictures
13,Fast & Furious Presents: Hobbs & Shaw,4344,173956935,2019-08-02,Universal Pictures
14,John Wick: Chapter 3 - Parabellum,3850,171015687,2019-05-17,Lionsgate
15,How to Train Your Dragon: The Hidden World,4286,160799505,2019-02-22,Universal Pictures
16,The Secret Life of Pets 2,4564,158980250,2019-06-07,Universal Pictures
17,Pokémon: Detective Pikachu,4248,144105346,2019-05-10,Warner Bros.
18,Once Upon a Time... in Hollywood,3659,142502728,2019-07-26,Sony Pictures Releasing
19,Shazam!,4306,140371656,2019-04-05,Warner Bros.
20,Aquaman,4184,335061807,2019-12-21,Warner Bros.
21,Knives Out,3461,165363234,2019-11-27,Lionsgate
22,Dumbo,4259,114766307,2019-03-29,Walt Disney Studios Motion Pictures
23,Maleficent: Mistress of Evil,3820,113929605,2019-10-18,Walt Disney Studios Motion Pictures
24,Glass,3844,111048468,2019-01-18,Universal Pictures
25,Godzilla: King of the Monsters,4108,110500138,2019-05-31,Warner Bros.
26,The Upside,3568,108252517,2019-01-11,STX Entertainment
27,Ford v Ferrari,3746,117624357,2019-11-15,20th Century Fox
28,The Lego Movie 2: The Second Part,4303,105806508,2019-02-08,Warner Bros.
29,Hustlers,3525,104963598,2019-09-13,STX Entertainment
30,The Addams Family,4107,100044905,2019-10-11,United Artists Releasing
31,Downton Abbey,3548,96853865,2019-09-20,Focus Features
32,Rocketman,3610,96368160,2019-05-31,Paramount Pictures
33,Alita: Battle Angel,3802,85838210,2019-02-14,20th Century Fox
34,Good Boys,3458,83140306,2019-08-16,Universal Pictures
35,Spider-Man: Into the Spider-Verse,3813,190241310,2019-12-14,Sony Pictures Releasing
36,Men in Black: International,4224,80001807,2019-06-14,Sony Pictures Releasing
37,Annabelle Comes Home,3613,74152591,2019-06-26,Warner Bros.
38,Yesterday,2755,73286650,2019-06-28,Universal Pictures
39,A Madea Family Funeral,2442,73257045,2019-03-01,Lionsgate
40,Zombieland: Double Tap,3468,73123082,2019-10-18,Sony Pictures Releasing
41,Angel Has Fallen,3336,69030436,2019-08-23,Lionsgate
42,Scary Stories to Tell in the Dark,3135,68947075,2019-08-09,Lionsgate
43,Mary Poppins Returns,4090,171958438,2019-12-19,Walt Disney Studios Motion Pictures
44,X-Men: Dark Phoenix,3721,65845974,2019-06-07,20th Century Fox
45,Terminator: Dark Fate,4086,62253077,2019-11-01,Paramount Pictures
46,Abominable,4248,60716390,2019-09-27,Universal Pictures
47,Dora and the Lost City of Gold,3735,60477943,2019-08-09,Paramount Pictures
48,Escape Room,2717,57005601,2019-01-04,Sony Pictures Releasing
49,A Beautiful Day in the Neighborhood,3491,61704055,2019-11-22,Sony Pictures Releasing
50,Midway,3242,56846802,2019-11-08,Lionsgate
51,Bumblebee,3597,127195589,2019-12-21,Paramount Pictures
52,The Curse of La Llorona,3372,54733739,2019-04-19,Warner Bros.
53,Pet Sematary,3585,54724696,2019-04-05,Paramount Pictures
54,What Men Want,2912,54611903,2019-02-08,Paramount Pictures
55,Green Book,2648,85080171,2019-11-16,Universal Pictures
56,Ad Astra,3460,50188370,2019-09-20,20th Century Fox
57,Isn't It Romantic,3444,48791187,2019-02-13,Warner Bros.
58,Gemini Man,3642,48546770,2019-10-11,Paramount Pictures
59,Ma,2816,45896028,2019-05-31,Universal Pictures
60,Five Feet Apart,2866,45729221,2019-03-15,Lionsgate
61,Wonder Park,3838,45216793,2019-03-15,Paramount Pictures
62,Rambo: Last Blood,3618,44819352,2019-09-20,Lionsgate
63,Playing with Fire,3185,44451847,2019-11-08,Paramount Pictures
64,Harriet,2186,43082155,2019-11-01,Focus Features
65,A Dog's Way Home,3090,42004346,2019-01-11,Sony Pictures Releasing
66,The Angry Birds Movie 2,3869,41667116,2019-08-13,Sony Pictures Releasing
67,Little,2667,40860481,2019-04-12,Universal Pictures
68,Queen & Slim,1715,43808310,2019-11-27,Universal Pictures
69,Breakthrough,2913,40713082,2019-04-17,20th Century Fox
70,The Mule,3329,103804407,2019-12-14,Warner Bros.
71,Crawl,3170,39014193,2019-07-12,Paramount Pictures
72,Little Women,3308,108101214,2019-12-25,Sony Pictures Releasing
73,The Intruder,2231,35419122,2019-05-03,Screen Gems
74,The Hustle,3077,35417038,2019-05-10,United Artists Releasing
75,Last Christmas,3454,35150750,2019-11-08,Universal Pictures
76,Overcomer,2293,34746945,2019-08-23,Affirm Films
77,Cold Pursuit,2630,32138862,2019-02-08,Lionsgate
78,Doctor Sleep,3855,31581712,2019-11-08,Warner Bros.
79,Dragon Ball Super: Broly,1267,30712119,2019-01-16,FUNimation Entertainment
80,Long Shot,3230,30316271,2019-05-03,Lionsgate
81,Spies in Disguise,3502,66757013,2019-12-25,20th Century Fox
82,Child's Play,3007,29208403,2019-06-21,United Artists Releasing
83,Ready or Not,2998,28714231,2019-08-21,Fox Searchlight Pictures
84,Happy Death Day 2U,3212,28148130,2019-02-13,Universal Pictures
85,Vice,2534,47836282,2019-12-25,Annapurna Pictures
86,21 Bridges,2665,28539757,2019-11-22,STX Entertainment
87,Midsommar,2707,27426361,2019-07-03,A24
88,Bohemian Rhapsody,4000,216428042,2019-11-02,20th Century Fox
89,The Art of Racing in the Rain,2765,26395642,2019-08-09,20th Century Fox
90,Countdown,2675,25621766,2019-10-25,STX Entertainment
91,Uncut Gems,2686,50023780,2019-12-13,A24
92,Judy,1627,24313888,2019-09-27,Roadside Attractions
93,Ralph Breaks the Internet,4017,201091711,2019-11-21,Walt Disney Studios Motion Pictures
94,Fighting with My Family,2855,22958886,2019-02-14,Metro-Goldwyn-Mayer (MGM)
95,On the Basis of Sex,1957,24622687,2019-12-25,Focus Features
96,A Dog's Journey,3279,22782371,2019-05-17,Universal Pictures
97,Booksmart,2518,22680962,2019-05-24,United Artists Releasing
98,Parasite,2001,53369749,2019-10-11,Neon
99,Stuber,3050,22370452,2019-07-12,20th Century Fox
100,47 Meters Down: Uncaged,2883,22260900,2019-08-16,Entertainment Studios Motion Pictures
101,Black and Blue,2062,22055313,2019-10-25,Screen Gems
102,Hellboy,3303,21903748,2019-04-12,Lionsgate
103,Shaft,2952,21360215,2019-06-14,Warner Bros.
104,Jojo Rabbit,1173,33370906,2019-10-18,Fox Searchlight Pictures
105,The Peanut Butter Falcon,1490,20457158,2019-08-09,Roadside Attractions
106,UglyDolls,3652,20150241,2019-05-03,STX Entertainment
107,Cats,3380,27166770,2019-12-20,Universal Pictures
108,Unplanned,1516,19005109,2019-03-29,Pure Flix Entertainment
109,The Favourite,1554,34366783,2019-11-23,Fox Searchlight Pictures
110,Bombshell,1721,31762808,2019-12-13,Lionsgate
111,Richard Jewell,2502,22345542,2019-12-13,Warner Bros.
112,Charlie's Angels,3452,17803077,2019-11-15,Sony Pictures Releasing
113,The Farewell,891,17695781,2019-07-12,A24
114,Brightburn,2607,17300439,2019-05-24,Screen Gems
115,The Good Liar,2454,17156058,2019-11-15,Warner Bros.
116,The Kid Who Would Be King,3528,16790790,2019-01-25,20th Century Fox
117,Missing Link,3437,16649539,2019-04-12,United Artists Releasing
118,Second Act,2607,39282227,2019-12-21,STX Entertainment
119,Late Night,2220,15499454,2019-06-07,Amazon Studios
120,Miss Bala,2203,15006824,2019-02-01,Sony Pictures Releasing
121,The Prodigy,2530,14856291,2019-02-08,Orion Pictures
122,A Star Is Born,3904,215288866,2019-10-05,Warner Bros.
123,Poms,2750,13631124,2019-05-10,STX Entertainment
124,If Beale Street Could Talk,1018,14915773,2019-12-14,Annapurna Pictures
125,They Shall Not Grow Old,1335,17956913,2019-12-17,Warner Bros.
126,The Kitchen,2745,12180032,2019-08-09,Warner Bros.
127,After,2138,12138565,2019-04-12,Aviron Pictures
128,Blinded by the Light,2307,11901145,2019-08-16,Warner Bros.
129,The Lighthouse,978,10867104,2019-10-18,A24
130,Dark Waters,2112,11136084,2019-11-22,Focus Features
131,Greta,2417,10532219,2019-03-01,Focus Features
132,The Best of Enemies,1705,10205616,2019-04-05,STX Entertainment
133,Black Christmas,2625,10429730,2019-12-13,Universal Pictures
134,Hotel Mumbai,930,9651611,2019-03-22,Bleecker Street Media
135,Holmes & Watson,2780,30573626,2019-12-25,Sony Pictures Releasing
136,Motherless Brooklyn,1342,9277736,2019-11-01,Warner Bros.
137,No Manches Frida 2,472,9270920,2019-03-15,Pantelion Films
138,"Where'd You Go, Bernadette",2404,9198356,2019-08-16,United Artists Releasing
139,Apollo 11,588,9039891,2019-03-01,Neon
140,Serenity,2561,8547045,2019-01-25,Aviron Pictures
141,Anna,2114,7743794,2019-06-21,Lionsgate
142,Penguins,1815,7699452,2019-04-17,Walt Disney Studios Motion Pictures
143,Brittany Runs a Marathon,1033,7189808,2019-08-23,Amazon Studios
144,Mary Queen of Scots,1052,16468499,2019-12-07,Focus Features
145,The Dead Don't Die,690,6563605,2019-06-14,Focus Features
146,Jexi,2332,6546159,2019-10-11,Lionsgate
147,Run the Race,1075,6424420,2019-02-22,Roadside Attractions
148,Free Solo,483,17541090,2019-09-28,National Geographic Entertainment
149,The Current War,1082,5979540,2019-10-25,101 Studios
150,Captive State,2549,5958315,2019-03-15,Focus Features
151,The Wandering Earth,129,5971413,2019-02-05,CMC Pictures
152,Arctic Dogs,2844,5801249,2019-11-01,Entertainment Studios Motion Pictures
153,Gloria Bell,1127,5611123,2019-03-08,A24
154,Gully Boy,270,5566534,2019-02-14,Viva Pictures
155,Stan & Ollie,754,5470235,2019-12-28,Sony Pictures Classics
156,The Goldfinch,2542,5332621,2019-09-13,Warner Bros.
157,Don't Let Go,922,5215062,2019-08-30,OTL Releasing
158,The Mustang,527,5043620,2019-03-15,Focus Features
159,The Sun Is Also a Star,2073,4950029,2019-05-17,Warner Bros.
160,Bring the Soul: The Movie,873,4809800,2019-08-07,Trafalgar Releasing
161,Pavarotti,288,4600249,2019-06-07,CBS Films
162,Tolkien,1501,4535154,2019-05-10,Fox Searchlight Pictures
163,The Last Black Man in San Francisco,207,4515719,2019-06-07,A24
164,War,305,4654000,2019-10-02,Yash Raj Films
165,Cold War,270,4580048,2019-12-21,Amazon Studios
NA,2018 Re-release,NA,NA,NA,NA
166,Compulsive Liar,89,4697364,2019-07-12,Entertainment One
167,Brian Banks,1240,4376819,2019-08-09,Bleecker Street Media
168,The Biggest Little Farm,285,4366949,2019-05-10,Neon
169,The Grinch,4141,271740675,2019-11-09,Universal Pictures
170,Amazing Grace,263,4450456,2019-12-07,Neon
171,Linda Ronstadt: The Sound of My Voice,247,4252657,2019-09-06,Greenwich Entertainment
172,Uri: The Surgical Strike,132,4186168,2019-01-11,Pack Your Bag Films
173,Replicas,2329,4046429,2019-01-11,Entertainment Studios Motion Pictures
174,Pain and Glory,266,4567338,2019-10-04,Sony Pictures Classics
175,Ne Zha,135,3695533,2019-08-29,Well Go USA Entertainment
176,Mission Mangal,263,3659413,2019-08-15,FIP
177,The Oscar Nominated Short Films 2019: Documentary,415,3531094,2019-02-08,Shorts International
178,BTS World Tour 'Love Yourself' in Seoul,997,3509917,2019-01-26,Fathom Events
179,The Beach Bum,1100,3502600,2019-03-29,Neon
180,Echo in the Canyon,147,3355324,2019-05-24,Greenwich Entertainment
181,Creed II,3752,115715889,2019-11-21,Metro-Goldwyn-Mayer (MGM)
182,Jay and Silent Bob Reboot,788,4589490,2019-10-15,Saban Films
183,Maiden,180,3168978,2019-06-28,Sony Pictures Classics
184,Simmba,301,5102129,2019-12-28,Reliance Big Pictures
185,Bharat,311,2971549,2019-06-05,Viva Pictures
186,Honey Boy,460,3012615,2019-11-08,Amazon Studios
187,Friends 25th: The One With The Anniversary,1586,2884827,2019-09-23,Fathom Events
188,Saaho,381,2872057,2019-08-29,Yash Raj Films
189,Fantastic Beasts: The Crimes of Grindelwald,4163,159555901,2019-11-16,Warner Bros.
190,Kalank,320,2729336,2019-04-17,FIP
191,Tod@s caen,371,2670925,2019-08-30,Pantelion Films
192,Everybody Knows,283,2660165,2019-02-08,Focus Features
193,Instant Family,3426,67363237,2019-11-16,Paramount Pictures
194,The Art of Self-Defense,550,2410914,2019-07-12,Bleecker Street Media
195,Arctic,268,2410795,2019-02-01,Bleecker Street Media
NA,2019 Re-release,NA,NA,NA,NA
196,Welcome to Marwen,1911,10763520,2019-12-21,Universal Pictures
197,"My People, My Country",83,2356683,2019-10-01,CMC Pictures
198,Promare,701,2529324,2019-09-17,GKIDS
199,Super 30,317,2269878,2019-07-12,Reliance Big Pictures
200,Faustina: Love and Mercy,810,2243180,2019-10-28,Fathom Events
1,Bad Boys for Life,3775,206305244,2020-01-17,Sony Pictures Releasing
2,1917,3987,159227644,2020-12-25,Universal Pictures
3,Sonic the Hedgehog,4198,148974665,2020-02-14,Paramount Pictures
4,Jumanji: The Next Level,4227,320314960,2020-12-13,Sony Pictures Releasing
5,Star Wars: Episode IX - The Rise of Skywalker,4406,515202542,2020-12-20,Walt Disney Studios Motion Pictures
6,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,4236,84158461,2020-02-07,Warner Bros.
7,Dolittle,4155,77047065,2020-01-17,Universal Pictures
8,Little Women,3308,108101214,2020-12-25,Sony Pictures Releasing
9,The Invisible Man,3636,70410000,2020-02-28,Universal Pictures
10,The Call of the Wild,3914,62342368,2020-02-21,20th Century Studios
11,Onward,4310,61555145,2020-03-06,Walt Disney Studios Motion Pictures
12,Tenet,2930,58504105,2020-09-03,Warner Bros.
13,Knives Out,3461,165363234,2020-11-27,Lionsgate
14,Frozen II,4440,477373578,2020-11-22,Walt Disney Studios Motion Pictures
15,Spies in Disguise,3502,66757013,2020-12-25,20th Century Fox
16,The Gentlemen,2675,36471795,2020-01-24,STX Entertainment
17,Just Mercy,2457,36001502,2020-12-25,Warner Bros.
18,The Croods: A New Age,2211,58568815,2020-11-25,Universal Pictures
19,Parasite,2001,53369749,2020-10-11,Neon
20,Fantasy Island,2784,27309289,2020-02-14,Sony Pictures Releasing
21,Uncut Gems,2686,50023780,2020-12-13,A24
