,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2021,,,,,,
2021,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
1,Spider-Man: No Way Home,"$572,984,769 ","4,336","$804,793,477 ",17-Dec,Sony Pictures Releasing
2,Shang-Chi and the Legend of the Ten Rings,"$224,543,292 ","4,300","$224,543,292 ",3-Sep,Walt Disney Studios Motion Pictures
3,Venom: Let There Be Carnage,"$212,609,036 ","4,225","$213,550,366 ",1-Oct,Sony Pictures Releasing
4,Black Widow,"$183,651,655 ","4,275","$183,651,655 ",9-Jul,Walt Disney Studios Motion Pictures
5,F9: The Fast Saga,"$173,005,945 ","4,203","$173,005,945 ",25-Jun,Universal Pictures
6,Eternals,"$164,616,321 ","4,090","$164,870,234 ",5-Nov,Walt Disney Studios Motion Pictures
7,No Time to Die,"$160,772,007 ","4,407","$160,891,007 ",8-Oct,Metro-Goldwyn-Mayer (MGM)
8,A Quiet Place Part II,"$160,072,261 ","3,744","$160,072,261 ",28-May,Paramount Pictures
9,Ghostbusters: Afterlife,"$122,378,960 ","4,315","$129,360,575 ",19-Nov,Sony Pictures Releasing
10,Free Guy,"$121,626,598 ","4,165","$121,626,598 ",13-Aug,20th Century Studios
11,Jungle Cruise,"$116,987,516 ","4,310","$116,987,516 ",30-Jul,Walt Disney Studios Motion Pictures
12,Godzilla vs. Kong,"$99,597,705 ","3,084","$100,916,094 ",31-Mar,Warner Bros.
13,Dune: Part One,"$93,404,911 ","4,125","$108,327,830 ",22-Oct,Warner Bros.
14,Halloween Kills,"$92,002,155 ","3,727","$92,002,155 ",15-Oct,Universal Pictures
15,Encanto,"$90,628,329 ","3,980","$96,093,622 ",24-Nov,Walt Disney Studios Motion Pictures
16,Cruella,"$86,103,234 ","3,922","$86,103,234 ",28-May,Walt Disney Studios Motion Pictures
17,Sing 2,"$74,883,155 ","3,892","$162,790,990 ",22-Dec,Universal Pictures
18,Space Jam: A New Legacy,"$67,559,184 ","4,002","$70,592,228 ",16-Jul,Warner Bros.
19,The Conjuring: The Devil Made Me Do It,"$65,579,078 ","3,280","$65,631,050 ",4-Jun,Warner Bros.
20,Candyman,"$61,186,570 ","3,569","$61,186,570 ",27-Aug,Universal Pictures
21,The Boss Baby 2: Family Business,"$57,300,280 ","3,688","$57,300,280 ",2-Jul,Universal Pictures
22,The Addams Family 2,"$56,489,153 ","4,207","$56,489,153 ",1-Oct,United Artists Releasing
23,The Suicide Squad,"$55,812,663 ","4,019","$55,817,425 ",6-Aug,Warner Bros.
24,Raya and the Last Dragon,"$54,723,032 ","2,375","$54,723,032 ",5-Mar,Walt Disney Studios Motion Pictures
25,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"$49,505,008 ","2,087","$49,505,008 ",23-Apr,FUNimation Entertainment
26,Clifford the Big Red Dog,"$48,947,356 ","3,700","$48,947,356 ",10-Nov,Paramount Pictures
27,House of Gucci,"$48,417,498 ","3,477","$53,809,574 ",24-Nov,United Artists Releasing
28,Old,"$48,242,510 ","3,379","$48,276,510 ",23-Jul,Universal Pictures
29,Tom & Jerry,"$46,318,441 ","2,563","$46,536,687 ",26-Feb,Warner Bros.
30,The Forever Purge,"$44,539,245 ","3,058","$44,539,245 ",2-Jul,Universal Pictures
31,Peter Rabbit 2: The Runaway,"$40,501,717 ","3,346","$40,501,717 ",11-Jun,Sony Pictures Releasing
32,PAW Patrol: The Movie,"$40,127,371 ","3,189","$40,127,371 ",20-Aug,Paramount Pictures
33,Hitman's Wife's Bodyguard,"$38,014,727 ","3,361","$38,014,727 ",16-Jun,Lionsgate
34,Mortal Kombat,"$37,479,648 ","3,114","$42,326,031 ",23-Apr,Warner Bros.
35,Don't Breathe 2,"$32,712,950 ","3,005","$32,712,950 ",13-Aug,Screen Gems
