,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2026,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2026,,,,,,,,
"Data as of Apr 24, 18:45 PDT",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
23-Apr,Thursday,113,"$4,808,964 ",-25.60%,-28.10%,36,The Super Mario Galaxy Movie,"$1,592,635 "
22-Apr,Wednesday,112,"$6,462,943 ",-32.20%,-9.30%,36,The Super Mario Galaxy Movie,"$1,875,160 "
21-Apr,Tuesday,111,"$9,537,559 ",51.70%,-15.30%,36,The Super Mario Galaxy Movie,"$3,064,140 "
20-Apr,Monday,110,"$6,288,876 ",-76.40%,-11.50%,37,The Super Mario Galaxy Movie,"$2,016,905 "
19-Apr,Sunday,109,"$26,675,930 ",-31%,-22.30%,40,The Super Mario Galaxy Movie,"$12,323,480 "
18-Apr,Saturday,108,"$38,634,037 ",64.30%,-27.20%,40,The Super Mario Galaxy Movie,"$16,593,480 "
17-Apr,Friday,107,"$23,509,321 ",251.30%,-30.20%,41,The Super Mario Galaxy Movie,"$7,580,290 "
16-Apr,Thursday,106,"$6,692,770 ",-6.10%,-52.80%,36,The Super Mario Galaxy Movie,"$2,602,055 "
15-Apr,Wednesday,105,"$7,128,613 ",-36.70%,-54.30%,36,The Super Mario Galaxy Movie,"$2,739,590 "
14-Apr,Tuesday,104,"$11,266,291 ",58.50%,-53.50%,37,The Super Mario Galaxy Movie,"$4,792,830 "
13-Apr,Monday,103,"$7,106,525 ",-79.30%,-71.50%,36,The Super Mario Galaxy Movie,"$2,911,805 "
12-Apr,Sunday,102,"$34,320,870 ",-35.30%,-30%,37,The Super Mario Galaxy Movie,"$20,634,405 "
11-Apr,Saturday,101,"$53,060,434 ",57.40%,-28.50%,37,The Super Mario Galaxy Movie,"$30,211,725 "
10-Apr,Friday,100,"$33,702,914 ",137.70%,-52.80%,37,The Super Mario Galaxy Movie,"$17,237,515 "
9-Apr,Thursday,99,"$14,176,655 ",-9.20%,-56.70%,43,The Super Mario Galaxy Movie,"$7,935,870 "
8-Apr,Wednesday,98,"$15,610,035 ",-35.60%,-62.60%,44,The Super Mario Galaxy Movie,"$8,740,795 "
