,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2015,,,,,,
2015,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
1,Jurassic World,"$652,270,625 ","4,291","$652,270,625 ",12-Jun,Universal Pictures
2,Star Wars: Episode VII - The Force Awakens,"$651,967,269 ","4,134","$936,662,225 ",18-Dec,Walt Disney Studios Motion Pictures
3,Avengers: Age of Ultron,"$459,005,868 ","4,276","$459,005,868 ",1-May,Walt Disney Studios Motion Pictures
4,Inside Out,"$356,461,711 ","4,158","$356,461,711 ",19-Jun,Walt Disney Studios Motion Pictures
5,Furious 7,"$353,007,020 ","4,022","$353,007,020 ",3-Apr,Universal Pictures
6,American Sniper,"$348,797,073 ","3,885","$350,126,372 ",25-Dec,Warner Bros.
7,Minions,"$336,045,770 ","4,311","$336,045,770 ",10-Jul,Universal Pictures
8,The Hunger Games: Mockingjay - Part 2,"$269,569,121 ","4,175","$281,723,902 ",20-Nov,Lionsgate
9,The Martian,"$225,345,353 ","3,854","$228,433,663 ",2-Oct,20th Century Fox
10,Cinderella,"$201,151,353 ","3,848","$201,151,353 ",13-Mar,Walt Disney Studios Motion Pictures
11,Spectre,"$197,102,585 ","3,929","$200,074,609 ",6-Nov,Sony Pictures Releasing
12,Mission: Impossible - Rogue Nation,"$195,042,377 ","3,988","$195,042,377 ",31-Jul,Paramount Pictures
13,Pitch Perfect 2,"$183,785,415 ","3,660","$184,296,230 ",15-May,Universal Pictures
14,Ant-Man,"$180,202,163 ","3,868","$180,202,163 ",17-Jul,Walt Disney Studios Motion Pictures
15,Home,"$177,397,510 ","3,801","$177,397,510 ",27-Mar,20th Century Fox
16,Hotel Transylvania 2,"$168,471,018 ","3,768","$169,700,110 ",25-Sep,Sony Pictures Releasing
17,Fifty Shades of Grey,"$166,167,230 ","3,655","$166,167,230 ",13-Feb,Universal Pictures
18,The SpongeBob Movie: Sponge Out of Water,"$162,994,032 ","3,680","$162,994,032 ",6-Feb,Paramount Pictures
19,Straight Outta Compton,"$161,197,785 ","3,142","$161,197,785 ",14-Aug,Universal Pictures
20,San Andreas,"$155,190,832 ","3,812","$155,190,832 ",29-May,Warner Bros.
21,Mad Max: Fury Road,"$153,636,354 ","3,722","$153,636,354 ",15-May,Warner Bros.
22,The Divergent Series: Insurgent,"$130,179,072 ","3,875","$130,179,072 ",20-Mar,Lionsgate
23,Kingsman: The Secret Service,"$128,261,724 ","3,282","$128,261,724 ",13-Feb,20th Century Fox
24,The Peanuts Movie,"$128,235,584 ","3,902","$130,178,411 ",6-Nov,20th Century Fox
25,Spy,"$110,825,712 ","3,715","$110,825,712 ",5-Jun,20th Century Fox
26,The Good Dinosaur,"$110,716,470 ","3,749","$123,087,120 ",25-Nov,Walt Disney Studios Motion Pictures
27,Trainwreck,"$110,212,700 ","3,171","$110,212,700 ",17-Jul,Universal Pictures
28,Creed,"$99,385,165 ","3,502","$109,767,581 ",25-Nov,Warner Bros.
29,Tomorrowland,"$93,436,322 ","3,972","$93,436,322 ",22-May,Walt Disney Studios Motion Pictures
30,Get Hard,"$90,411,453 ","3,212","$90,411,453 ",27-Mar,Warner Bros.
31,Terminator Genisys,"$89,760,956 ","3,783","$89,760,956 ",1-Jul,Paramount Pictures
32,Taken 3,"$89,256,424 ","3,594","$89,256,424 ",9-Jan,20th Century Fox
33,Maze Runner: The Scorch Trials,"$81,630,702 ","3,792","$81,697,192 ",18-Sep,20th Century Fox
34,Ted 2,"$81,476,385 ","3,448","$81,476,385 ",26-Jun,Universal Pictures
35,Goosebumps,"$79,132,868 ","3,618","$80,080,379 ",16-Oct,Sony Pictures Releasing
36,Pixels,"$78,747,585 ","3,723","$78,747,585 ",24-Jul,Sony Pictures Releasing
37,Paddington,"$76,271,832 ","3,355","$76,271,832 ",16-Jan,Dimension Films
38,The Intern,"$75,574,886 ","3,320","$75,764,672 ",25-Sep,Warner Bros.
39,The Imitation Game,"$71,189,164 ","2,402","$91,125,683 ",28-Nov,The Weinstein Company
40,Paul Blart: Mall Cop 2,"$71,038,190 ","3,633","$71,038,190 ",17-Apr,Sony Pictures Releasing
