,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2015,,,,,,
2015,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
41,Bridge of Spies,"$70,447,776 ","2,873","$72,313,754 ",16-Oct,Walt Disney Studios Motion Pictures
42,War Room,"$67,790,117 ","1,945","$67,790,117 ",28-Aug,TriStar Pictures
43,Magic Mike XXL,"$66,013,057 ","3,376","$66,013,057 ",1-Jul,Warner Bros.
44,The Hobbit: The Battle of the Five Armies,"$65,570,462 ","3,875","$255,119,788 ",17-Dec,Warner Bros.
45,The Visit,"$65,206,105 ","3,148","$65,206,105 ",11-Sep,Universal Pictures
46,Daddy's Home,"$64,684,278 ","3,483","$150,357,137 ",25-Dec,Paramount Pictures
47,The Wedding Ringer,"$64,460,211 ","3,003","$64,460,211 ",16-Jan,Screen Gems
48,Into the Woods,"$63,940,268 ","2,833","$128,002,372 ",25-Dec,Walt Disney Studios Motion Pictures
49,Black Mass,"$62,575,678 ","3,188","$62,575,678 ",18-Sep,Warner Bros.
50,Vacation,"$58,884,188 ","3,430","$58,884,188 ",29-Jul,Warner Bros.
51,The Perfect Guy,"$57,027,435 ","2,230","$57,027,435 ",11-Sep,Screen Gems
52,Fantastic Four,"$56,117,548 ","4,004","$56,117,548 ",7-Aug,20th Century Fox
53,Alvin and the Chipmunks: The Road Chip,"$55,575,427 ","3,705","$85,886,987 ",18-Dec,20th Century Fox
54,Focus,"$53,862,963 ","3,323","$53,862,963 ",27-Feb,Warner Bros.
55,Unbroken,"$53,109,285 ","3,301","$115,637,895 ",25-Dec,Universal Pictures
56,Southpaw,"$52,421,953 ","2,772","$52,421,953 ",24-Jul,The Weinstein Company
57,Insidious: Chapter 3,"$52,218,558 ","3,014","$52,218,558 ",5-Jun,Focus Features
58,Selma,"$50,872,921 ","2,235","$52,076,908 ",25-Dec,Paramount Pictures
59,Sisters,"$49,123,380 ","2,978","$87,044,645 ",18-Dec,Universal Pictures
60,Poltergeist,"$47,425,125 ","3,242","$47,425,125 ",22-May,20th Century Fox
61,Jupiter Ascending,"$47,387,723 ","3,181","$47,387,723 ",6-Feb,Warner Bros.
62,Sicario,"$46,770,373 ","2,620","$46,889,293 ",18-Sep,Lionsgate
63,The Man from U.N.C.L.E.,"$45,445,109 ","3,673","$45,445,109 ",14-Aug,Warner Bros.
64,"McFarland, USA","$44,482,410 ","2,792","$44,482,410 ",20-Feb,Walt Disney Studios Motion Pictures
65,Night at the Museum: Secret of the Tomb,"$44,392,039 ","3,914","$113,746,621 ",19-Dec,20th Century Fox
66,The Gift,"$43,787,265 ","2,503","$43,787,265 ",7-Aug,STX Entertainment
67,Everest,"$43,482,270 ","3,009","$43,482,270 ",18-Sep,Universal Pictures
68,The Night Before,"$42,884,826 ","2,960","$43,047,372 ",20-Nov,Sony Pictures Releasing
69,Max,"$42,656,255 ","2,870","$42,656,255 ",26-Jun,Warner Bros.
70,The Age of Adaline,"$42,629,776 ","3,070","$42,629,776 ",24-Apr,Lionsgate
71,Krampus,"$41,465,710 ","2,919","$42,725,475 ",4-Dec,Universal Pictures
72,The Longest Ride,"$37,446,117 ","3,371","$37,446,117 ",10-Apr,20th Century Fox
73,The Boy Next Door,"$35,423,380 ","2,615","$35,423,380 ",23-Jan,Universal Pictures
74,Pan,"$35,057,457 ","3,515","$35,088,320 ",9-Oct,Warner Bros.
75,Hot Pursuit,"$34,580,201 ","3,037","$34,580,201 ",8-May,Warner Bros.
76,The DUFF,"$34,030,343 ","2,622","$34,030,343 ",20-Feb,Lionsgate
77,Woman in Gold,"$33,307,793 ","2,011","$33,307,793 ",1-Apr,The Weinstein Company
78,The Second Best Exotic Marigold Hotel,"$33,078,266 ","2,022","$33,078,266 ",6-Mar,Fox Searchlight Pictures
79,Unfriended,"$32,482,090 ","2,775","$32,482,090 ",17-Apr,Universal Pictures
80,Entourage,"$32,363,404 ","3,108","$32,363,404 ",3-Jun,Warner Bros.
81,Paper Towns,"$32,000,304 ","3,031","$32,000,304 ",24-Jul,20th Century Fox
82,Chappie,"$31,569,268 ","3,201","$31,569,268 ",6-Mar,Sony Pictures Releasing
83,Crimson Peak,"$31,090,320 ","2,991","$31,090,320 ",16-Oct,Universal Pictures
84,A Walk in the Woods,"$29,474,282 ","2,158","$29,504,281 ",2-Sep,Broad Green Pictures
85,Annie,"$28,959,342 ","3,197","$85,911,262 ",19-Dec,Sony Pictures Releasing
86,Joy,"$28,310,094 ","2,924","$56,451,232 ",25-Dec,20th Century Fox
87,Sinister 2,"$27,740,955 ","2,799","$27,740,955 ",21-Aug,Focus Features
88,The Last Witch Hunter,"$27,367,660 ","3,082","$27,367,660 ",23-Oct,Lionsgate
89,No Escape,"$27,288,872 ","3,415","$27,288,872 ",26-Aug,The Weinstein Company
90,Ricki and the Flash,"$26,822,144 ","2,064","$26,822,144 ",7-Aug,TriStar Pictures
91,The Woman in Black 2: Angel of Death,"$26,501,323 ","2,602","$26,501,323 ",2-Jan,Relativity Media
92,Run All Night,"$26,461,644 ","3,171","$26,461,644 ",13-Mar,Warner Bros.
93,Love the Coopers,"$26,054,993 ","2,603","$26,302,731 ",13-Nov,Lionsgate
94,Spotlight,"$25,923,879 ","1,227","$45,055,776 ",6-Nov,Open Road Films (II)
95,The Lazarus Effect,"$25,801,570 ","2,666","$25,801,570 ",27-Feb,Relativity Media
96,Ex Machina,"$25,437,558 ","2,004","$25,442,958 ",10-Apr,A24
97,The Big Short,"$23,995,178 ","2,529","$70,259,870 ",11-Dec,Paramount Pictures
98,The Hunger Games: Mockingjay - Part 1,"$23,852,971 ","4,151","$337,135,885 ",21-Nov,Lionsgate
99,In the Heart of the Sea,"$23,063,385 ","3,103","$25,020,758 ",11-Dec,Warner Bros.
100,The Gallows,"$22,764,410 ","2,720","$22,764,410 ",10-Jul,Warner Bros.
101,Hitman: Agent 47,"$22,467,450 ","3,273","$22,467,450 ",21-Aug,20th Century Fox
102,Project Almanac,"$22,348,241 ","2,900","$22,348,241 ",30-Jan,Paramount Pictures
103,Black or White,"$21,571,189 ","1,823","$21,571,189 ",30-Jan,Relativity Media
104,Aloha,"$21,067,116 ","2,815","$21,067,116 ",29-May,Sony Pictures Releasing
105,Secret in Their Eyes,"$20,070,622 ","2,392","$20,180,155 ",20-Nov,STX Entertainment
106,Brooklyn,"$19,563,995 ",962,"$38,322,743 ",4-Nov,Fox Searchlight Pictures
107,Shaun the Sheep Movie,"$19,375,982 ","2,360","$19,375,982 ",5-Aug,Lionsgate
108,Still Alice,"$18,763,541 ","1,318","$18,754,371 ",16-Jan,Sony Pictures Classics
109,Paranormal Activity: The Ghost Dimension,"$18,300,124 ","1,656","$18,300,124 ",23-Oct,Paramount Pictures
110,Wild,"$18,137,709 ","1,361","$37,880,356 ",3-Dec,Fox Searchlight Pictures
111,Birdman or (The Unexpected Virtue of Ignorance),"$18,067,553 ","1,213","$42,340,598 ",17-Oct,Fox Searchlight Pictures
112,Big Hero 6,"$17,951,174 ","3,773","$222,527,828 ",7-Nov,Walt Disney Studios Motion Pictures
113,Steve Jobs,"$17,766,658 ","2,493","$17,766,658 ",9-Oct,Universal Pictures
114,Mr. Holmes,"$17,737,646 ",898,"$17,737,646 ",17-Jul,Roadside Attractions
115,Dope,"$17,506,470 ","2,002","$17,506,470 ",19-Jun,Open Road Films (II)
116,Concussion,"$17,420,369 ","2,841","$34,542,474 ",25-Dec,Sony Pictures Releasing
117,Seventh Son,"$17,223,265 ","2,875","$17,223,265 ",6-Feb,Universal Pictures
118,Monkey Kingdom,"$16,432,322 ","2,012","$16,432,322 ",17-Apr,Walt Disney Studios Motion Pictures
119,The Transporter Refueled,"$16,029,670 ","3,434","$16,029,670 ",4-Sep,EuropaCorp
120,Point Break,"$15,584,535 ","2,910","$28,782,481 ",25-Dec,Warner Bros.
121,The Gambler,"$14,800,136 ","2,494","$33,680,992 ",25-Dec,Paramount Pictures
122,It Follows,"$14,674,076 ","1,655","$14,674,076 ",13-Mar,RADiUS-TWC
123,American Ultra,"$14,440,985 ","2,778","$14,440,985 ",21-Aug,Lionsgate
124,Woodlawn,"$14,374,957 ","1,553","$14,394,097 ",16-Oct,Pure Flix Entertainment
125,Burnt,"$13,594,751 ","3,003","$13,651,946 ",30-Oct,The Weinstein Company
126,The Hateful Eight,"$13,339,210 ","2,938","$54,117,416 ",25-Dec,The Weinstein Company
127,Do You Believe?,"$12,985,600 ","1,356","$12,985,600 ",20-Mar,Pure Flix Entertainment
128,The Theory of Everything,"$12,659,737 ","1,220","$35,893,537 ",7-Nov,Focus Features
129,Love & Mercy,"$12,551,031 ",791,"$12,551,031 ",5-Jun,Roadside Attractions
130,Strange Magic,"$12,429,583 ","3,020","$12,429,583 ",23-Jan,Walt Disney Studios Motion Pictures
131,Hot Tub Time Machine 2,"$12,314,651 ","2,901","$12,314,651 ",20-Feb,Paramount Pictures
132,Self/less,"$12,279,691 ","2,353","$12,279,691 ",10-Jul,Focus Features
133,Far from the Madding Crowd,"$12,236,500 ",902,"$12,236,500 ",1-May,Fox Searchlight Pictures
134,The 33,"$12,049,242 ","2,452","$12,227,722 ",13-Nov,Warner Bros.
135,The Gunman,"$10,664,749 ","2,816","$10,664,749 ",20-Mar,Open Road Films (II)
136,Unfinished Business,"$10,219,501 ","2,777","$10,219,501 ",6-Mar,20th Century Fox
137,The Walk,"$10,137,502 ","2,509","$10,137,502 ",30-Sep,TriStar Pictures
138,Penguins of Madagascar,"$9,822,689 ","3,775","$83,850,911 ",26-Nov,20th Century Fox
139,Exodus: Gods and Kings,"$9,287,173 ","3,503","$65,014,513 ",12-Dec,20th Century Fox
140,Huevos: Little Rooster's Egg-cellent Adventure,"$9,080,818 ",616,"$9,080,818 ",4-Sep,Lionsgate
141,Interstellar,"$8,632,122 ","3,561","$188,020,017 ",5-Nov,Paramount Pictures
142,Amy,"$8,399,911 ",435,"$8,413,144 ",3-Jul,A24
143,Big Eyes,"$8,154,353 ","1,408","$14,482,031 ",25-Dec,The Weinstein Company
144,Dragon Ball Z: Resurrection 'F',"$8,008,363 ",913,"$8,008,363 ",4-Aug,FUNimation Entertainment
145,Blackhat,"$8,005,980 ","2,568","$8,005,980 ",16-Jan,Universal Pictures
146,Bajrangi Bhaijaan,"$7,914,436 ",257,"$8,178,001 ",17-Jul,Eros Worldwide
147,Mortdecai,"$7,696,134 ","2,648","$7,696,134 ",23-Jan,Lionsgate
148,While We're Young,"$7,587,485 ",762,"$7,587,485 ",27-Mar,A24
149,Whiplash,"$7,460,167 ",567,"$13,092,000 ",10-Oct,Sony Pictures Classics
150,I'll See You in My Dreams,"$7,449,681 ",290,"$7,449,681 ",15-May,Bleecker Street Media
151,The Green Inferno,"$7,192,291 ","1,543","$7,192,291 ",25-Sep,BH Tilt
152,Our Brand Is Crisis,"$7,002,261 ","2,202","$7,002,261 ",30-Oct,Warner Bros.
153,Inherent Vice,"$6,994,056 ",653,"$8,110,975 ",12-Dec,Warner Bros.
154,Grandma,"$6,923,276 ","1,061","$6,980,524 ",21-Aug,Sony Pictures Classics
155,Trumbo,"$6,842,949 ",660,"$7,857,741 ",6-Nov,Bleecker Street Media
156,Me and Earl and the Dying Girl,"$6,758,416 ",870,"$6,758,416 ",12-Jun,Fox Searchlight Pictures
157,Little Boy,"$6,485,961 ","1,045","$6,485,961 ",24-Apr,Open Road Films (II)
158,The Loft,"$6,002,684 ","1,841","$6,002,684 ",30-Jan,Open Road Films (II)
159,Victor Frankenstein,"$5,775,076 ","2,797","$5,775,076 ",25-Nov,20th Century Fox
160,A Most Violent Year,"$5,652,055 ",818,"$5,749,134 ",31-Dec,A24
161,Danny Collins,"$5,637,066 ",739,"$5,637,066 ",20-Mar,Bleecker Street Media
162,Foxcatcher,"$5,319,163 ",759,"$12,096,300 ",14-Nov,Sony Pictures Classics
163,Bajirao Mastani,"$5,070,014 ",304,"$6,557,047 ",18-Dec,Eros Worldwide
164,Room,"$4,860,753 ",862,"$14,677,654 ",16-Oct,A24
165,90 Minutes in Heaven,"$4,842,699 ",899,"$4,842,699 ",11-Sep,The Samuel Goldwyn Company
166,True Story,"$4,719,695 ",856,"$4,719,695 ",17-Apr,Fox Searchlight Pictures
167,Suffragette,"$4,657,235 ",517,"$4,702,420 ",23-Oct,Focus Features
168,Top Five,"$4,609,863 ","1,426","$25,317,471 ",12-Dec,Paramount Pictures
169,Baahubali: The Beginning,"$4,518,000 ",236,"$6,738,000 ",9-Jul,Blue Sky Cinema
170,The Danish Girl,"$4,506,440 ",794,"$11,114,018 ",27-Nov,Focus Features
171,Hubble 3D,"$4,449,681 ",151,"$52,522,904 ",19-Mar,Warner Bros.
172,Dilwale,"$4,394,522 ",268,"$4,871,263 ",17-Dec,UTV Motion Pictures
173,Prem Ratan Dhan Payo,"$4,364,639 ",287,"$4,364,639 ",12-Nov,FIP
174,The Water Diviner,"$4,196,641 ",385,"$4,196,641 ",24-Apr,Warner Bros.
175,Irrational Man,"$4,030,360 ",925,"$4,030,360 ",17-Jul,Sony Pictures Classics
176,Carol,"$3,801,134 ",790,"$12,711,491 ",20-Nov,The Weinstein Company
177,Scouts Guide to the Zombie Apocalypse,"$3,703,046 ","1,509","$3,703,046 ",30-Oct,Paramount Pictures
178,A la mala,"$3,629,842 ",384,"$3,629,842 ",27-Feb,Lionsgate
179,Spare Parts,"$3,618,912 ",440,"$3,618,912 ",16-Jan,Lionsgate
180,We Are Your Friends,"$3,591,417 ","2,333","$3,591,417 ",28-Aug,Warner Bros.
181,What We Do in the Shadows,"$3,469,224 ",154,"$3,469,224 ",13-Feb,Paladin
182,Learning to Drive,"$3,447,633 ",339,"$3,447,633 ",21-Aug,Broad Green Pictures
183,Mr. Turner,"$3,296,974 ",120,"$3,958,500 ",19-Dec,Sony Pictures Classics
184,Phoenix,"$3,184,472 ",197,"$3,184,472 ",24-Jul,IFC Films
185,Dil Dhadakne Do,"$3,066,100 ",238,"$3,066,100 ",5-Jun,Eros Worldwide
186,Ladrones,"$3,063,505 ",375,"$3,063,505 ",9-Oct,Lionsgate
187,Tanu Weds Manu Returns,"$3,043,479 ",136,"$3,043,479 ",22-May,Eros Worldwide
188,Rock the Kasbah,"$3,020,664 ","2,012","$3,020,664 ",23-Oct,Open Road Films (II)
189,The End of the Tour,"$3,002,884 ",355,"$3,002,884 ",31-Jul,A24
190,Wild Tales,"$2,962,621 ",122,"$3,106,530 ",20-Feb,Sony Pictures Classics
191,Horrible Bosses 2,"$2,699,932 ","3,400","$54,445,357 ",26-Nov,Warner Bros.
192,He Named Me Malala,"$2,668,936 ",477,"$2,668,936 ",2-Oct,Fox Searchlight Pictures
193,Captive,"$2,583,301 ",807,"$2,583,301 ",18-Sep,Paramount Pictures
194,Chi-Raq,"$2,570,882 ",305,"$2,653,032 ",4-Dec,Roadside Attractions
195,The Interview,"$2,552,397 ",581,"$6,105,175 ",25-Dec,Sony Pictures Releasing
196,Truth,"$2,515,179 ","1,122","$2,541,854 ",16-Oct,Sony Pictures Classics
197,Mistress America,"$2,500,431 ",512,"$2,500,431 ",14-Aug,Fox Searchlight Pictures
198,Pawn Sacrifice,"$2,436,633 ",781,"$2,436,633 ",16-Sep,Bleecker Street Media
199,The Oscar Nominated Short Films 2015: Live Action,"$2,412,593 ",280,"$2,412,593 ",30-Jan,Shorts International
200,Meru,"$2,334,228 ",176,"$2,334,228 ",14-Aug,Music Box Films
Rank,,,,,,
Latest Updates: News | Daily | Weekend | All Time | International | Showdowns,,,,,,
Glossary | User Guide | License IMDb Data | Help,,,,,,
BoxOfficeMojo.com by IMDbPro - an IMDb company.,,,,,,
"© IMDb.com, Inc. or its affiliates. All rights reserved. Box Office Mojo and IMDb are trademarks or registered trademarks of IMDb.com, Inc. or its affiliates. Conditions of Use and Privacy Policy under which this service is provided to you.",,,,,,
