movie,num_days,first_date,mn_num_releases,md_num_releases
Indiana Jones and the Dial of Destiny,8,2023-06-30,26,26
Inferno,4,2016-10-28,63,63
Inside Out 2,18,2024-06-14,35,36
Insidious: The Last Key,1,2018-01-05,45,45
Insidious: The Red Door,1,2023-07-07,31,31
Is Genesis History?,1,2017-02-23,49,49
Isn't It Romantic,1,2019-02-13,63,63
It,15,2017-09-08,60,60
It Ends with Us,5,2024-08-09,36,36
It: Chapter Two,9,2019-09-06,56,57
Jack Reacher: Never Go Back,4,2016-10-24,70,70
Jackass Forever,7,2022-02-04,33,33
Jason Bourne,7,2016-07-29,49,48
Jigsaw,5,2017-10-27,59,59
John Wick: Chapter 3 - Parabellum,7,2019-05-17,53,53
John Wick: Chapter 4,7,2023-03-24,34,34
Joker,22,2019-10-04,56,56
Joker: Folie à Deux,5,2024-10-04,45,47
Judas and the Black Messiah,1,2021-02-12,23,23
Jumanji: The Next Level,7,2019-12-13,55,54
Jumanji: Welcome to the Jungle,23,2018-01-01,48,46
Jungle Cruise,11,2021-07-30,34,35
Jurassic World: Dominion,11,2022-06-10,35,35
Jurassic World: Fallen Kingdom,13,2018-06-22,51,50
Jurassic World: Rebirth,9,2025-07-02,28,28
Justice League,5,2017-11-17,59,60
KPop Demon Hunters,2,2025-08-23,43,43
Killers of the Flower Moon,3,2023-10-23,39,39
Kingdom of the Planet of the Apes,8,2024-05-10,37,36
Kingsman: The Golden Circle,8,2017-09-22,61,61
Knock at the Cabin,2,2023-02-03,37,37
Kong: Skull Island,7,2017-03-10,52,52
Kung Fu Panda 3,14,2016-01-29,47,48
Kung Fu Panda 4,6,2024-03-08,38,39
Let Him Go,7,2020-11-06,30,30
Lightyear,1,2022-06-17,36,36
Lilo & Stitch,20,2025-05-23,29,29
Logan,7,2017-03-03,59,59
M3GAN,1,2023-01-06,29,29
Magic Mike's Last Dance,5,2023-02-10,35,35
Maleficent: Mistress of Evil,6,2019-10-18,62,62
Mamma Mia! Here We Go Again,5,2018-07-20,51,51
Marry Me,1,2022-02-14,36,36
Mary Poppins Returns,2,2018-12-19,62,62
Maze Runner: The Death Cure,8,2018-01-26,49,50
Mean Girls,13,2024-01-12,45,45
Men in Black: International,3,2019-06-14,49,49
Mickey 17,10,2025-03-07,49,50
Midway,7,2019-11-08,56,56
Minions: The Rise of Gru,7,2022-07-01,29,29
Miss Peregrine's Home for Peculiar Children,5,2016-09-30,66,65
Mission: Impossible - Dead Reckoning Part One,8,2023-07-12,32,32
Mission: Impossible - Fallout,14,2018-07-27,49,48
Moana,19,2016-11-23,52,52
Moana 2,13,2024-11-27,36,32
Monster Hunter,1,2020-12-18,27,27
Morbius,7,2022-04-01,34,34
Mortal Kombat,3,2021-04-24,24,23
Mufasa: The Lion King,20,2024-12-25,40,39
My Hero Academia: Heroes Rising,1,2020-02-26,56,56
Night School,6,2018-09-28,68,68
Night Swim,1,2024-01-05,46,46
No Hard Feelings,1,2023-06-23,24,24
No Time to Die,13,2021-10-08,29,29
Nobody,9,2021-03-26,27,28
Nope,7,2022-07-22,31,31
Novocaine,4,2025-03-14,48,48
Now You See Me: Now You Don't,7,2025-11-14,48,48
Ocean's Eight,7,2018-06-08,56,56
Office Christmas Party,4,2016-12-09,50,50
Old,7,2021-07-23,38,38
One Battle After Another,11,2025-09-26,37,37
One Piece Film: Red,1,2022-11-04,35,35
One of Them Days,5,2025-01-17,40,40
Onward,13,2020-03-06,49,54
PAW Patrol: The Mighty Movie,2,2023-09-30,38,38
Pacific Rim: Uprising,5,2018-03-23,55,54
Pathaan,1,2023-01-25,33,33
Peter Rabbit,1,2018-02-11,54,54
Pirates of the Caribbean: Dead Men Tell No Tales,7,2017-05-26,47,45
Pokémon: Detective Pikachu,1,2019-05-10,56,56
Predator: Badlands,7,2025-11-07,45,45
Ralph Breaks the Internet,17,2018-11-21,56,55
Rampage,5,2018-04-13,56,57
Raya and the Last Dragon,21,2021-03-05,28,28
Ready Player One,8,2018-03-29,57,57
Reagan,1,2024-09-05,43,43
Red One,7,2024-11-15,42,41
Regretting You,6,2025-11-01,48,48
Relic,21,2020-07-03,8,7
Renaissance: A Film by Beyoncé,2,2023-12-01,32,32
Resistance,7,2020-04-17,2,2
Ride Along 2,3,2016-01-15,43,43
Rings,1,2017-02-03,49,49
Rogue One: A Star Wars Story,23,2016-12-16,50,50
Sausage Party,1,2016-08-12,54,54
Saw X,5,2023-09-29,38,38
Scary Stories to Tell in the Dark,1,2019-08-09,55,55
Scream,7,2022-01-14,25,25
Scream VI,8,2023-03-10,39,38
Shang-Chi and the Legend of the Ten Rings,28,2021-09-03,31,31
Shazam!,14,2019-04-05,65,65
Shazam! Fury of the Gods,6,2023-03-17,36,36
Sinners,15,2025-04-18,41,42
Smallfoot,1,2018-09-30,67,67
Smile,15,2022-09-30,42,41
Smile 2,7,2024-10-18,48,47
Snow White,10,2025-03-21,45,45
Solo: A Star Wars Story,14,2018-05-25,60,57
Sonic the Hedgehog,9,2020-02-14,53,53
Sonic the Hedgehog 2,9,2022-04-08,28,28
Sonic the Hedgehog 3,9,2024-12-20,41,37
Sound of Freedom,4,2023-07-04,30,31
Space Jam: A New Legacy,1,2021-07-16,30,30
