,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2023,,,,,,
2023,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
148,Left Behind: Rise of the Antichrist,"$3,649,422 ","1,407","$3,649,422 ",26-Jan,Fathom Events
149,The Journey: A Music Special from Andrea Bocelli,"$3,574,915 ","1,074","$3,574,915 ",2-Apr,Fathom Events
150,Chevalier,"$3,541,159 ","1,281","$3,541,159 ",21-Apr,Walt Disney Studios Motion Pictures
151,Mafia Mamma,"$3,496,761 ","2,002","$3,496,761 ",14-Apr,Bleecker Street Media
152,The Wandering Earth II,"$3,444,487 ",172,"$5,023,132 ",22-Jan,Well Go USA Entertainment
153,A Thousand and One,"$3,400,020 ",926,"$3,400,020 ",31-Mar,Focus Features
154,Violent Night,"$3,278,955 ","3,723","$50,057,405 ",2-Dec,Universal Pictures
155,What Happens Later,"$3,273,895 ","1,492","$3,273,895 ",3-Nov,Bleecker Street Media
156,2023 Oscar Nominated Short Films: Live Action,"$3,025,631 ",357,"$3,025,631 ",17-Feb,ShortsTV
157,Living,"$2,984,305 ",644,"$3,038,113 ",23-Dec,Sony Pictures Classics
158,Jurassic Park,"$2,970,355 ","1,224","$2,970,355 ",25-Aug,Universal Pictures
,2023 Re-release (30th Anniversary),,,,,
159,The Menu,"$2,779,574 ","3,228","$38,501,125 ",18-Nov,Searchlight Pictures
160,Tu Jhoothi Main Makkaar,"$2,503,604 ",400,"$2,503,604 ",8-Mar,Yash Raj Films USA Inc.
161,Come Out in Jesus Name,"$2,500,574 ","1,047","$2,500,574 ",13-Mar,Fathom Events
162,The Miracle Club,"$2,377,438 ",677,"$2,402,780 ",14-Jul,Sony Pictures Releasing
163,A Good Person,"$2,210,465 ",687,"$2,210,465 ",24-Mar,United Artists Releasing
164,Spirited Away: Live on Stage,"$2,157,825 ","1,046","$1,455,081 ",23-Apr,-
165,Moving On,"$2,136,832 ",794,"$2,136,832 ",17-Mar,Roadside Attractions
166,Skinamarink,"$2,052,272 ",809,"$2,052,272 ",13-Jan,IFC Films
167,Die Hard,"$2,048,453 ","1,355","$2,048,453 ",8-Dec,20th Century Studios
,2023 Re-release,,,,,
168,Jules,"$1,924,922 ",780,"$1,924,922 ",11-Aug,Bleecker Street Media
169,Somewhere in Queens,"$1,802,442 ",602,"$1,802,442 ",21-Apr,Roadside Attractions
170,The Marsh King's Daughter,"$1,792,905 ","1,055","$1,792,905 ",3-Nov,Lionsgate
171,Oldboy,"$1,750,719 ",250,"$1,750,719 ",16-Aug,Neon
,2023 Re-release,,,,,
172,Winnie-the-Pooh: Blood and Honey,"$1,750,639 ","1,652","$2,082,898 ",15-Feb,Fathom Events
173,Fear,"$1,735,359 ",974,"$2,090,261 ",27-Jan,Hidden Empire Film Group (HEFG)
174,Lost in the Stars,"$1,721,446 ",-,"$1,721,446 ",7-Jul,CMC Pictures
175,Creation of the Gods I: Kingdom of Storms,"$1,686,246 ",115,"$1,706,355 ",22-Sep,Well Go USA Entertainment
176,American Fiction,"$1,655,483 ","1,902","$21,098,470 ",15-Dec,Metro-Goldwyn-Mayer (MGM)
177,The Retirement Plan,"$1,607,344 ","1,175","$1,607,344 ",15-Sep,Falling Forward Films
178,Polite Society,"$1,595,585 ",927,"$1,595,585 ",28-Apr,Focus Features
179,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$1,588,491 ","1,473","$1,588,491 ",20-Jan,Crunchyroll
180,The Banshees of Inisherin,"$1,555,301 ","1,205","$10,582,266 ",21-Oct,Searchlight Pictures
181,The Quiet Girl,"$1,500,014 ",244,"$1,500,014 ",24-Feb,Neon
182,BlackBerry,"$1,476,598 ",449,"$1,476,597 ",12-May,IFC Films
183,Dicks: The Musical,"$1,453,012 ",635,"$1,453,012 ",6-Oct,A24
184,Eileen,"$1,425,273 ",558,"$1,435,007 ",1-Dec,Neon
185,Maybe I Do,"$1,293,722 ",465,"$1,293,722 ",27-Jan,Vertical Entertainment
186,The First Slam Dunk,"$1,291,869 ",581,"$1,291,869 ",28-Jul,GKIDS
187,Billie Eilish: Live at the O2 (Extended Cut),"$1,290,000 ",600,"$1,290,000 ",27-Jan,Trafalgar Releasing
188,The Big Lebowski,"$1,266,945 ","1,235","$18,718,818 ",6-Mar,Gramercy Pictures (I)
189,Back to the Future,"$1,240,710 ","1,550","$212,326,307 ",3-Jul,Universal Pictures
190,Tár,"$1,193,875 ","1,090","$6,773,650 ",7-Oct,Focus Features
191,The Lost King,"$1,189,307 ",753,"$1,188,032 ",24-Mar,IFC Films
192,The Lord of the Rings: The Return of the King,"$1,176,085 ","1,107","$1,176,085 ",13-Apr,Fathom Events
,2023 Re-release (20th Anniversary),,,,,
193,Camp Hideout,"$1,125,010 ",848,"$1,125,010 ",15-Sep,Roadside Attractions
194,Strange World,"$1,120,039 ","4,174","$37,968,963 ",23-Nov,Walt Disney Studios Motion Pictures
195,Close,"$1,100,113 ",233,"$1,100,113 ",27-Jan,A24
196,Emily,"$1,097,067 ",579,"$1,097,067 ",17-Feb,Bleecker Street Media
197,Knights of the Zodiac,"$1,090,155 ",588,"$1,090,155 ",12-May,-
198,Broker,"$1,001,892 ",271,"$1,046,899 ",23-Dec,Neon
199,Showing Up,"$972,074 ",115,"$754,483 ",7-Apr,A24
200,Inside,"$918,415 ",357,"$918,415 ",17-Mar,Focus Features
Rank,,,,,,
Latest Updates: News | Daily | Weekend | All Time | International | Showdowns,,,,,,
Glossary | User Guide | License IMDb Data | Help,,,,,,
BoxOfficeMojo.com by IMDbPro - an IMDb company.,,,,,,
"© IMDb.com, Inc. or its affiliates. All rights reserved. Box Office Mojo and IMDb are trademarks or registered trademarks of IMDb.com, Inc. or its affiliates. Conditions of Use and Privacy Policy under which this service is provided to you.",,,,,,
