,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2023,,,,,,
2023,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
1,Barbie,"$636,225,983 ","4,337","$636,238,421 ",21-Jul,Warner Bros.
2,The Super Mario Bros. Movie,"$574,934,330 ","4,371","$574,934,330 ",5-Apr,Universal Pictures
3,Spider-Man: Across the Spider-Verse,"$381,311,319 ","4,332","$381,311,319 ",2-Jun,Columbia Pictures
4,Guardians of the Galaxy Vol. 3,"$358,995,815 ","4,450","$358,995,815 ",5-May,Walt Disney Studios Motion Pictures
5,Oppenheimer,"$326,101,370 ","3,761","$330,078,895 ",21-Jul,Universal Pictures
6,The Little Mermaid,"$298,172,056 ","4,320","$298,172,056 ",26-May,Walt Disney Studios Motion Pictures
7,Avatar: The Way of Water,"$283,067,859 ","4,340","$684,075,767 ",16-Dec,20th Century Studios
8,Ant-Man and the Wasp: Quantumania,"$214,504,909 ","4,345","$214,504,909 ",17-Feb,Walt Disney Studios Motion Pictures
9,John Wick: Chapter 4,"$187,131,806 ","3,855","$187,131,806 ",24-Mar,Lionsgate
10,Sound of Freedom,"$184,177,725 ","3,411","$184,178,046 ",4-Jul,Angel
11,Taylor Swift: The Eras Tour,"$179,817,571 ","3,855","$180,756,269 ",13-Oct,AMC Theatres
12,Indiana Jones and the Dial of Destiny,"$174,480,468 ","4,600","$174,480,468 ",30-Jun,Walt Disney Studios Motion Pictures
13,Mission: Impossible - Dead Reckoning Part One,"$172,135,383 ","4,327","$172,640,980 ",12-Jul,Paramount Pictures
14,The Hunger Games: The Ballad of Songbirds & Snakes,"$159,719,625 ","3,776","$166,350,594 ",17-Nov,Lionsgate
15,Transformers: Rise of the Beasts,"$157,066,392 ","3,680","$157,341,749 ",9-Jun,Paramount Pictures
16,Creed III,"$156,248,615 ","4,007","$156,248,615 ",3-Mar,United Artists Releasing
17,Elemental,"$154,426,697 ","4,035","$154,426,697 ",16-Jun,Walt Disney Studios Motion Pictures
18,Fast X,"$146,126,015 ","4,088","$146,126,015 ",19-May,Universal Pictures
19,Five Nights at Freddy's,"$137,275,620 ","3,789","$137,275,620 ",27-Oct,Universal Pictures
20,Wonka,"$133,129,902 ","4,213","$218,402,312 ",15-Dec,Warner Bros.
21,Puss in Boots: The Last Wish,"$130,425,380 ","4,121","$186,090,535 ",21-Dec,Universal Pictures
22,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$118,613,586 ","3,950","$118,700,272 ",2-Aug,Paramount Pictures
23,Scream VI,"$108,161,389 ","3,676","$108,391,107 ",10-Mar,Paramount Pictures
24,The Flash,"$108,133,313 ","4,256","$108,133,313 ",16-Jun,Warner Bros.
25,Trolls Band Together,"$96,370,205 ","3,893","$103,270,155 ",17-Nov,Universal Pictures
26,M3GAN,"$95,159,005 ","3,628","$95,159,005 ",6-Jan,Universal Pictures
27,Dungeons & Dragons: Honor Among Thieves,"$93,277,026 ","3,856","$93,549,650 ",31-Mar,Paramount Pictures
28,The Equalizer 3,"$92,373,751 ","3,965","$92,373,751 ",1-Sep,Columbia Pictures
29,The Nun II,"$86,267,073 ","3,743","$86,267,073 ",8-Sep,Warner Bros.
30,The Marvels,"$84,479,155 ","4,030","$84,500,223 ",10-Nov,Walt Disney Studios Motion Pictures
31,Meg 2: The Trench,"$82,600,317 ","3,604","$82,600,317 ",4-Aug,Warner Bros.
32,Insidious: The Red Door,"$82,156,962 ","3,188","$82,156,962 ",7-Jul,Screen Gems
33,Aquaman and the Lost Kingdom,"$76,469,713 ","3,787","$124,481,226 ",22-Dec,Warner Bros.
34,Blue Beetle,"$72,488,072 ","3,871","$72,488,072 ",18-Aug,Warner Bros.
35,Haunted Mansion,"$67,653,287 ","3,740","$67,653,287 ",28-Jul,Walt Disney Studios Motion Pictures
36,Killers of the Flower Moon,"$67,292,161 ","3,786","$68,035,488 ",20-Oct,Paramount Pictures
37,Evil Dead Rise,"$67,233,054 ","3,417","$67,233,054 ",21-Apr,Warner Bros.
38,The Exorcist: Believer,"$65,537,395 ","3,684","$65,537,395 ",6-Oct,Universal Pictures
39,PAW Patrol: The Mighty Movie,"$65,231,360 ","4,027","$65,343,309 ",29-Sep,Paramount Pictures
40,Cocaine Bear,"$64,670,240 ","3,571","$64,670,240 ",24-Feb,Universal Pictures
41,A Man Called Otto,"$64,228,358 ","3,957","$64,267,657 ",30-Dec,Columbia Pictures
42,Wish,"$60,609,147 ","3,900","$63,973,821 ",22-Nov,Walt Disney Studios Motion Pictures
43,Napoleon,"$60,512,228 ","3,500","$61,524,375 ",22-Nov,Columbia Pictures
44,Shazam! Fury of the Gods,"$57,638,006 ","4,071","$57,638,006 ",17-Mar,Warner Bros.
45,Migration,"$54,103,955 ","3,839","$127,630,880 ",22-Dec,Universal Pictures
46,Saw X,"$53,607,898 ","3,262","$53,607,898 ",29-Sep,Lionsgate
47,Air,"$52,460,106 ","3,507","$52,460,106 ",5-Apr,Amazon MGM Studios
48,Jesus Revolution,"$52,102,987 ","2,575","$52,102,987 ",24-Feb,Lionsgate
49,No Hard Feelings,"$50,452,282 ","3,208","$50,452,282 ",23-Jun,Sony Pictures Releasing
50,Talk to Me,"$48,299,436 ","2,379","$48,299,436 ",28-Jul,A24
51,Godzilla Minus One,"$45,580,412 ","2,622","$57,144,669 ",1-Dec,Toho International
52,Gran Turismo,"$44,428,554 ","3,856","$44,428,554 ",25-Aug,Sony Pictures Releasing
53,The Color Purple,"$44,047,642 ","3,218","$60,619,191 ",25-Dec,Warner Bros.
54,The Boogeyman,"$43,244,282 ","3,205","$43,244,282 ",2-Jun,20th Century Studios
55,A Haunting in Venice,"$42,471,412 ","3,305","$42,471,412 ",15-Sep,20th Century Studios
56,The Creator,"$40,774,679 ","3,680","$40,774,679 ",29-Sep,20th Century Studios
57,80 for Brady,"$39,330,588 ","3,939","$39,448,525 ",3-Feb,Paramount Pictures
58,The Boy and the Heron,"$35,846,555 ","2,325","$46,832,867 ",8-Dec,GKIDS
59,Knock at the Cabin,"$35,397,980 ","3,657","$35,397,980 ",3-Feb,Universal Pictures
60,Renaissance: A Film by Beyoncé,"$33,223,373 ","2,542","$33,889,684 ",1-Dec,AMC Theatres
61,Missing,"$32,502,025 ","3,025","$32,502,025 ",20-Jan,Sony Pictures Releasing
62,Plane,"$32,111,181 ","3,060","$32,111,181 ",13-Jan,Lionsgate
63,65,"$32,062,904 ","3,405","$32,062,904 ",10-Mar,Sony Pictures Releasing
64,Thanksgiving,"$31,800,773 ","3,204","$31,908,884 ",17-Nov,TriStar Pictures
65,My Big Fat Greek Wedding 3,"$28,496,030 ","3,678","$28,496,030 ",8-Sep,Focus Features
66,Asteroid City,"$28,153,025 ","1,901","$28,153,025 ",16-Jun,Focus Features
67,Magic Mike's Last Dance,"$26,005,156 ","3,034","$26,005,156 ",10-Feb,Warner Bros.
68,Anyone But You,"$24,837,385 ","3,055","$88,319,668 ",22-Dec,Columbia Pictures
69,Strays,"$23,988,885 ","3,232","$23,988,885 ",18-Aug,Universal Pictures
70,The Boys in the Boat,"$21,998,472 ","2,687","$52,641,306 ",25-Dec,Amazon MGM Studios
71,Priscilla,"$20,900,492 ","2,361","$20,960,939 ",27-Oct,A24
72,"Are You There God? It's Me, Margaret.","$20,372,406 ","3,343","$20,372,406 ",28-Apr,Lionsgate
73,The Pope's Exorcist,"$20,009,380 ","3,178","$20,009,380 ",14-Apr,Screen Gems
74,The Holdovers,"$18,208,655 ","1,601","$20,355,375 ",27-Oct,Focus Features
75,The Blackening,"$17,707,207 ","1,775","$17,707,207 ",16-Jun,Lionsgate
76,Book Club: The Next Chapter,"$17,581,565 ","3,513","$17,581,565 ",12-May,Focus Features
77,Pathaan,"$17,487,476 ",697,"$17,487,476 ",25-Jan,Yash Raj Films USA Inc.
78,Black Panther: Wakanda Forever,"$17,329,414 ","4,396","$453,829,060 ",11-Nov,Walt Disney Studios Motion Pictures
79,Renfield,"$17,297,895 ","3,378","$17,297,895 ",14-Apr,Universal Pictures
80,The Blind,"$17,265,487 ","1,715","$17,265,487 ",28-Sep,Fathom Events
81,The Covenant,"$16,938,039 ","2,631","$16,938,039 ",21-Apr,Metro-Goldwyn-Mayer (MGM)
82,The Expendables 4,"$16,710,153 ","3,518","$16,710,153 ",22-Sep,Lionsgate
83,Champions,"$16,397,335 ","3,039","$16,397,335 ",10-Mar,Focus Features
84,The Iron Claw,"$15,964,922 ","2,794","$35,070,296 ",22-Dec,A24
85,Ruby Gillman: Teenage Kraken,"$15,753,600 ","3,408","$15,753,600 ",30-Jun,DreamWorks
86,Jawan,"$15,198,530 ",826,"$15,198,530 ",7-Sep,Yash Raj Films USA Inc.
87,Titanic,"$15,033,795 ","2,464","$15,096,069 ",10-Feb,Paramount Pictures
,25 Year Anniversary,,,,,
88,Animal,"$14,772,820 ",698,"$15,004,482 ",1-Dec,-
89,Dumb Money,"$13,925,356 ","2,837","$13,925,356 ",15-Sep,Sony Pictures Releasing
90,The Last Voyage of the Demeter,"$13,637,180 ","2,715","$13,637,180 ",11-Aug,Universal Pictures
91,Joy Ride,"$12,897,789 ","2,820","$12,897,789 ",7-Jul,Lionsgate
92,His Only Son,"$12,392,740 ","1,930","$12,392,740 ",31-Mar,Angel
93,The Whale,"$12,129,434 ","1,721","$17,463,630 ",9-Dec,A24
94,About My Father,"$12,089,391 ","2,464","$12,089,391 ",26-May,Lionsgate
95,Bottoms,"$12,036,071 ","1,265","$12,036,071 ",25-Aug,Orion Pictures
96,The Shift,"$11,925,234 ","2,450","$12,118,219 ",1-Dec,Angel
97,After Death,"$11,477,621 ","2,730","$11,478,326 ",27-Oct,Angel
98,Saltburn,"$11,256,512 ","1,566","$11,425,829 ",17-Nov,Amazon MGM Studios
99,Past Lives,"$11,031,696 ",906,"$11,331,983 ",2-Jun,A24
100,Suzume,"$10,932,037 ","2,170","$10,932,037 ",14-Apr,Crunchyroll
101,Ferrari,"$10,778,480 ","2,386","$18,550,028 ",25-Dec,Neon
102,The Machine,"$10,458,331 ","2,409","$10,458,331 ",26-May,Sony Pictures Releasing
103,Whitney Houston: I Wanna Dance with Somebody,"$10,451,167 ","3,625","$23,708,080 ",23-Dec,TriStar Pictures
104,Poor Things,"$10,269,036 ","2,300","$34,553,225 ",8-Dec,Searchlight Pictures
105,The Nightmare Before Christmas,"$10,251,956 ","2,185","$10,251,956 ",20-Oct,Walt Disney Studios Motion Pictures
,30th Anniversary Re-Release,,,,,
106,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$10,117,806 ","1,774","$10,117,806 ",3-Mar,Crunchyroll
107,House Party,"$9,002,247 ","1,400","$9,002,247 ",13-Jan,Warner Bros.
108,Radical,"$8,636,299 ",534,"$8,702,731 ",3-Nov,Pantelion Films
109,Salaar,"$8,268,997 ",802,"$8,929,282 ",22-Dec,-
110,Silent Night,"$7,996,185 ","1,873","$8,012,103 ",1-Dec,Lionsgate
111,Beau Is Afraid,"$7,740,323 ","2,125","$8,176,562 ",14-Apr,A24
112,The Hill,"$7,665,865 ","1,703","$7,665,865 ",25-Aug,Briarcliff Entertainment
113,Sisu,"$7,265,622 ","1,006","$7,265,622 ",28-Apr,Lionsgate
114,Star Wars: Episode VI - Return of the Jedi,"$7,259,924 ",475,"$7,259,924 ",28-Apr,-
,2023 Re-release,,,,,
115,Everything Everywhere All at Once,"$7,183,197 ","2,220","$77,191,785 ",25-Mar,A24
116,Dunki,"$7,160,815 ",650,"$7,460,159 ",21-Dec,Yash Raj Films USA Inc.
117,Coraline,"$7,149,366 ","1,469","$7,149,366 ",14-Aug,-
,2023 Re-release (remastered),,,,,
118,Retribution,"$6,937,696 ","1,750","$6,937,696 ",25-Aug,Roadside Attractions
119,Journey to Bethlehem,"$6,816,475 ","2,002","$6,820,796 ",10-Nov,Affirm Films
120,Next Goal Wins,"$6,713,826 ","2,240","$6,713,826 ",17-Nov,Searchlight Pictures
121,Operation Fortune: Ruse de Guerre,"$6,496,125 ","2,168","$6,496,125 ",3-Mar,Lionsgate
122,BTS: Yet to Come in Cinemas,"$6,350,496 ","1,210","$8,481,053 ",1-Feb,Trafalgar Releasing
123,Babylon,"$6,268,558 ","3,351","$15,658,225 ",23-Dec,Paramount Pictures
124,Love Again,"$6,230,837 ","2,703","$6,230,837 ",5-May,Screen Gems
125,Dream Scenario,"$5,615,011 ","1,578","$5,742,193 ",10-Nov,A24
126,The Fabelmans,"$5,541,550 ","1,962","$17,348,945 ",11-Nov,Universal Pictures
127,The Chosen Season 3 Finale,"$5,525,069 ","1,979","$5,525,069 ",2-Feb,Fathom Events
128,Nefarious,"$5,433,685 ",933,"$5,433,685 ",14-Apr,SDG Releasing
129,Big George Foreman,"$5,426,772 ","3,054","$5,426,772 ",28-Apr,Sony Pictures Releasing
130,Waitress: The Musical,"$5,402,148 ","1,214","$5,402,148 ",7-Dec,Bleecker Street Media
131,Tiger 3,"$5,365,263 ",779,"$5,365,263 ",11-Nov,Yash Raj Films USA Inc.
132,Women Talking,"$5,321,627 ",707,"$5,456,531 ",23-Dec,United Artists Releasing
133,Freelance,"$5,314,136 ","2,057","$5,314,136 ",27-Oct,Relativity Media
134,Infinity Pool,"$5,078,400 ","1,835","$5,078,400 ",27-Jan,Neon
135,Hocus Pocus,"$4,929,004 ","1,430","$4,929,004 ",6-Oct,Walt Disney Studios Motion Pictures
,30th Anniversary re-release,,,,,
136,You Hurt My Feelings,"$4,830,788 ",912,"$4,830,788 ",26-May,A24
137,Kandahar,"$4,813,132 ","2,105","$4,813,132 ",26-May,Open Road Films (II)
138,Golda,"$4,801,781 ",883,"$4,801,781 ",25-Aug,Bleecker Street Media
139,It Lives Inside,"$4,675,092 ","2,005","$4,675,092 ",22-Sep,Neon
140,Hypnotic,"$4,500,169 ","2,118","$4,500,169 ",12-May,Ketchup Entertainment
141,Stop Making Sense,"$4,481,445 ",786,"$5,211,310 ",22-Sep,-
,2023 Re-release,,,,,
142,Marlowe,"$4,350,243 ","2,281","$4,350,243 ",15-Feb,Open Road Films (II)
143,The Amazing Maurice,"$4,303,645 ","1,717","$4,303,645 ",3-Feb,Viva Pictures
144,Mummies,"$4,275,970 ",384,"$4,275,970 ",24-Feb,Warner Bros.
145,Theater Camp,"$4,009,945 ",555,"$4,009,945 ",14-Jul,Searchlight Pictures
146,Ponniyin Selvan: Part Two,"$3,813,000 ",-,"$3,813,000 ",28-Apr,-
147,Anatomy of a Fall,"$3,742,039 ",583,"$5,076,369 ",13-Oct,Neon
