,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2018,,,,,,
2018,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
1,Black Panther,"$700,059,566 ","4,084","$700,059,566 ",16-Feb,Walt Disney Studios Motion Pictures
2,Avengers: Infinity War,"$678,815,482 ","4,474","$678,815,482 ",27-Apr,Walt Disney Studios Motion Pictures
3,Incredibles 2,"$608,581,744 ","4,410","$608,581,744 ",15-Jun,Walt Disney Studios Motion Pictures
4,Jurassic World: Fallen Kingdom,"$417,719,760 ","4,485","$417,719,760 ",22-Jun,Universal Pictures
5,Deadpool 2,"$318,491,426 ","4,349","$318,491,426 ",18-May,20th Century Fox
6,The Grinch,"$266,280,410 ","4,141","$271,740,675 ",9-Nov,Universal Pictures
7,Jumanji: Welcome to the Jungle,"$235,512,923 ","3,849","$404,515,480 ",20-Dec,Sony Pictures Releasing
8,Mission: Impossible - Fallout,"$220,159,104 ","4,395","$220,159,104 ",27-Jul,Paramount Pictures
9,Ant-Man and the Wasp,"$216,648,740 ","4,206","$216,648,740 ",6-Jul,Walt Disney Studios Motion Pictures
10,Solo: A Star Wars Story,"$213,767,512 ","4,381","$213,767,512 ",25-May,Walt Disney Studios Motion Pictures
11,Venom,"$213,312,395 ","4,250","$213,515,506 ",5-Oct,Sony Pictures Releasing
12,A Star Is Born,"$201,157,885 ","3,904","$215,288,866 ",5-Oct,Warner Bros.
13,Aquaman,"$199,059,824 ","4,184","$335,061,807 ",21-Dec,Warner Bros.
14,Bohemian Rhapsody,"$189,813,133 ","4,000","$216,428,042 ",2-Nov,20th Century Fox
15,A Quiet Place,"$188,024,361 ","3,808","$188,024,361 ",6-Apr,Paramount Pictures
16,Ralph Breaks the Internet,"$177,616,854 ","4,017","$201,091,711 ",21-Nov,Walt Disney Studios Motion Pictures
17,Crazy Rich Asians,"$174,039,071 ","3,865","$174,532,921 ",15-Aug,Warner Bros.
18,Hotel Transylvania 3: Summer Vacation,"$168,786,400 ","4,267","$167,510,016 ",13-Jul,Sony Pictures Releasing
19,Halloween,"$159,336,510 ","3,990","$159,342,015 ",19-Oct,Universal Pictures
20,Fantastic Beasts: The Crimes of Grindelwald,"$156,781,859 ","4,163","$159,555,901 ",16-Nov,Warner Bros.
21,The Meg,"$145,443,742 ","4,118","$145,443,742 ",10-Aug,Warner Bros.
22,Ocean's Eight,"$140,218,711 ","4,145","$140,218,711 ",8-Jun,Warner Bros.
23,Ready Player One,"$137,690,172 ","4,234","$137,690,172 ",29-Mar,Warner Bros.
24,The Greatest Showman,"$125,303,456 ","3,342","$174,340,174 ",20-Dec,20th Century Fox
25,Mamma Mia! Here We Go Again,"$120,634,935 ","3,514","$120,634,935 ",20-Jul,Universal Pictures
26,The Nun,"$117,450,119 ","3,876","$117,450,119 ",7-Sep,Warner Bros.
