,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2024,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2024,,,,,,,,
"Data as of Apr 24, 17:15 PDT",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
31-Dec,Tuesday,366,"$30,515,353 ",32.20%,-32.30%,40,Sonic the Hedgehog 3,"$7,274,167 "
New Year's Eve,,,,,,,,
30-Dec,Monday,365,"$34,453,652 ",-28.70%,16.30%,40,Sonic the Hedgehog 3,"$7,720,529 "
29-Dec,Sunday,364,"$48,354,185 ",-15.70%,19.10%,41,Mufasa: The Lion King,"$11,326,817 "
28-Dec,Saturday,363,"$57,356,599 ",6.40%,21%,40,Sonic the Hedgehog 3,"$13,501,757 "
27-Dec,Friday,362,"$53,897,293 ",2.60%,3.70%,69,Sonic the Hedgehog 3,"$12,606,485 "
26-Dec,Thursday,361,"$52,508,864 ",-11.60%,673%,39,Mufasa: The Lion King,"$12,007,417 "
25-Dec,Wednesday,360,"$59,387,206 ",149.70%,564.20%,39,Mufasa: The Lion King,"$14,722,175 "
Christmas Day,,,,,,,,
24-Dec,Tuesday,359,"$23,784,024 ",-19.70%,103.90%,33,Sonic the Hedgehog 3,"$7,499,193 "
23-Dec,Monday,358,"$29,632,078 ",-27%,263.10%,37,Sonic the Hedgehog 3,"$10,049,917 "
22-Dec,Sunday,357,"$40,586,725 ",-14.40%,57.40%,36,Sonic the Hedgehog 3,"$15,331,645 "
21-Dec,Saturday,356,"$47,397,213 ",-8.80%,35.80%,36,Sonic the Hedgehog 3,"$19,320,946 "
20-Dec,Friday,355,"$51,960,077 ",664.90%,115.20%,37,Sonic the Hedgehog 3,"$25,449,555 "
19-Dec,Thursday,354,"$6,793,052 ",-24%,-17%,37,Wicked,"$2,464,660 "
18-Dec,Wednesday,353,"$8,940,888 ",-23.30%,-7%,36,Wicked,"$2,758,720 "
17-Dec,Tuesday,352,"$11,661,728 ",42.90%,-14.40%,38,Wicked,"$3,487,530 "
16-Dec,Monday,351,"$8,161,050 ",-68.40%,-16%,40,Wicked,"$2,517,120 "
15-Dec,Sunday,350,"$25,792,996 ",-26.10%,-34.30%,42,Moana 2,"$8,381,276 "
14-Dec,Saturday,349,"$34,895,182 ",44.50%,-34.60%,42,Moana 2,"$12,115,500 "
13-Dec,Friday,348,"$24,142,992 ",195.20%,-25.80%,42,Moana 2,"$6,002,592 "
12-Dec,Thursday,347,"$8,179,497 ",-14.90%,-35.20%,38,Wicked,"$3,020,870 "
11-Dec,Wednesday,346,"$9,613,697 ",-29.50%,-25.80%,36,Wicked,"$3,397,490 "
10-Dec,Tuesday,345,"$13,627,665 ",40.30%,-32.40%,36,Wicked,"$4,663,285 "
9-Dec,Monday,344,"$9,709,938 ",-75.30%,-35.60%,38,Wicked,"$3,349,105 "
8-Dec,Sunday,343,"$39,259,923 ",-26.40%,-41.70%,40,Moana 2,"$16,469,653 "
7-Dec,Saturday,342,"$53,338,223 ",64%,-46.70%,41,Moana 2,"$23,134,944 "
6-Dec,Friday,341,"$32,522,589 ",157.50%,-69.70%,41,Moana 2,"$11,682,456 "
5-Dec,Thursday,340,"$12,630,884 ",-2.50%,-77.70%,31,Wicked,"$4,779,480 "
4-Dec,Wednesday,339,"$12,953,802 ",-35.80%,-85.60%,29,Wicked,"$5,078,535 "
3-Dec,Tuesday,338,"$20,169,359 ",33.80%,-29.70%,29,Moana 2,"$8,084,803 "
2-Dec,Monday,337,"$15,070,230 ",-77.60%,-42.80%,30,Moana 2,"$5,843,309 "
1-Dec,Sunday,336,"$67,389,432 ",-32.70%,25.50%,31,Moana 2,"$34,821,470 "
30-Nov,Saturday,335,"$100,160,252 ",-6.60%,47.80%,32,Moana 2,"$50,604,078 "
29-Nov,Friday,334,"$107,233,151 ",89.70%,37.10%,31,Moana 2,"$54,361,837 "
28-Nov,Thursday,333,"$56,530,650 ",162.50%,66.60%,31,Moana 2,"$27,784,598 "
Thanksgiving,,,,,,,,
27-Nov,Wednesday,332,"$89,891,852 ",213.40%,1903.50%,32,Moana 2,"$57,869,843 "
26-Nov,Tuesday,331,"$28,684,387 ",9%,277.30%,29,Wicked,"$16,638,485 "
25-Nov,Monday,330,"$26,326,802 ",-51%,487.20%,30,Wicked,"$15,778,135 "
24-Nov,Sunday,329,"$53,715,313 ",-20.70%,205.60%,32,Wicked,"$30,805,905 "
23-Nov,Saturday,328,"$67,757,828 ",-13.40%,136.90%,32,Wicked,"$35,492,555 "
22-Nov,Friday,327,"$78,231,267 ",2204.60%,296.20%,33,Wicked,"$46,210,430 "
21-Nov,Thursday,326,"$3,394,612 ",-24.30%,-16.80%,41,Red One,"$1,205,253 "
