,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2015,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2015,,,,,,,,
"Data as of Apr 24, 18:45 PDT",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
31-Dec,Thursday,365,"$46,868,992 ",40.30%,53.80%,47,Star Wars: Episode VII - The Force Awakens,"$22,932,686 "
New Year's Eve,,,,,,,,
30-Dec,Wednesday,364,"$54,777,964 ",-1.40%,5.60%,48,Star Wars: Episode VII - The Force Awakens,"$28,085,057 "
29-Dec,Tuesday,363,"$55,562,793 ",1.50%,9.30%,47,Star Wars: Episode VII - The Force Awakens,"$29,528,583 "
28-Dec,Monday,362,"$54,748,725 ",-28.60%,7.40%,47,Star Wars: Episode VII - The Force Awakens,"$31,362,029 "
27-Dec,Sunday,361,"$76,637,723 ",-24%,-1.20%,47,Star Wars: Episode VII - The Force Awakens,"$43,145,665 "
26-Dec,Saturday,360,"$100,899,732 ",5.30%,12.70%,47,Star Wars: Episode VII - The Force Awakens,"$56,731,532 "
25-Dec,Friday,359,"$95,835,574 ",162.60%,-29.20%,46,Star Wars: Episode VII - The Force Awakens,"$49,325,663 "
Christmas Day,,,,,,,,
24-Dec,Thursday,358,"$36,498,889 ",-29.60%,691.50%,45,Star Wars: Episode VII - The Force Awakens,"$27,395,725 "
23-Dec,Wednesday,357,"$51,875,572 ",2%,800.80%,47,Star Wars: Episode VII - The Force Awakens,"$38,022,183 "
22-Dec,Tuesday,356,"$50,838,630 ",-0.30%,595.60%,47,Star Wars: Episode VII - The Force Awakens,"$37,361,729 "
21-Dec,Monday,355,"$50,973,958 ",-34.30%,786.30%,47,Star Wars: Episode VII - The Force Awakens,"$40,109,742 "
20-Dec,Sunday,354,"$77,558,069 ",-13.30%,326.40%,46,Star Wars: Episode VII - The Force Awakens,"$60,553,189 "
19-Dec,Saturday,353,"$89,504,402 ",-33.90%,204.70%,46,Star Wars: Episode VII - The Force Awakens,"$68,294,204 "
18-Dec,Friday,352,"$135,434,693 ",2837.10%,607.80%,47,Star Wars: Episode VII - The Force Awakens,"$119,119,282 "
17-Dec,Thursday,351,"$4,611,212 ",-19.90%,-22.20%,47,The Hunger Games: Mockingjay - Part 2,"$875,470 "
16-Dec,Wednesday,350,"$5,759,058 ",-21.20%,-6.10%,48,The Hunger Games: Mockingjay - Part 2,"$1,030,120 "
15-Dec,Tuesday,349,"$7,308,788 ",27.10%,-9%,47,In the Heart of the Sea,"$1,362,181 "
14-Dec,Monday,348,"$5,751,011 ",-68.40%,-4.30%,47,In the Heart of the Sea,"$1,053,372 "
13-Dec,Sunday,347,"$18,189,664 ",-38.10%,-19.20%,46,The Good Dinosaur,"$3,160,217 "
12-Dec,Saturday,346,"$29,371,556 ",53.50%,-23.70%,45,The Hunger Games: Mockingjay - Part 2,"$5,021,834 "
11-Dec,Friday,345,"$19,134,232 ",222.80%,-25.80%,46,In the Heart of the Sea,"$3,849,684 "
10-Dec,Thursday,344,"$5,927,446 ",-3.40%,-19.90%,46,The Hunger Games: Mockingjay - Part 2,"$1,284,836 "
9-Dec,Wednesday,343,"$6,135,220 ",-23.60%,-19.40%,47,The Hunger Games: Mockingjay - Part 2,"$1,380,282 "
8-Dec,Tuesday,342,"$8,029,022 ",33.70%,-24.20%,47,The Hunger Games: Mockingjay - Part 2,"$1,790,383 "
7-Dec,Monday,341,"$6,006,901 ",-73.30%,-30.60%,47,The Hunger Games: Mockingjay - Part 2,"$1,365,908 "
6-Dec,Sunday,340,"$22,501,859 ",-41.50%,-37.20%,46,The Hunger Games: Mockingjay - Part 2,"$4,891,690 "
5-Dec,Saturday,339,"$38,475,436 ",49.20%,-40.80%,45,The Hunger Games: Mockingjay - Part 2,"$8,301,010 "
4-Dec,Friday,338,"$25,784,262 ",248.50%,-61.50%,46,Krampus,"$6,021,050 "
3-Dec,Thursday,337,"$7,398,780 ",-2.80%,-76.70%,41,The Hunger Games: Mockingjay - Part 2,"$2,131,846 "
2-Dec,Wednesday,336,"$7,614,692 ",-28.10%,-80.40%,42,The Hunger Games: Mockingjay - Part 2,"$2,186,352 "
1-Dec,Tuesday,335,"$10,591,985 ",22.40%,-47.70%,42,The Hunger Games: Mockingjay - Part 2,"$3,102,455 "
30-Nov,Monday,334,"$8,655,490 ",-75.80%,-43.10%,42,The Hunger Games: Mockingjay - Part 2,"$2,546,218 "
29-Nov,Sunday,333,"$35,807,639 ",-44.90%,-11.20%,42,The Hunger Games: Mockingjay - Part 2,"$10,525,430 "
28-Nov,Saturday,332,"$65,013,471 ",-3%,8.60%,43,The Hunger Games: Mockingjay - Part 2,"$20,215,233 "
27-Nov,Friday,331,"$67,029,295 ",111%,6.10%,41,The Hunger Games: Mockingjay - Part 2,"$21,263,932 "
26-Nov,Thursday,330,"$31,769,160 ",-18.20%,529.20%,45,The Hunger Games: Mockingjay - Part 2,"$10,314,742 "
Thanksgiving,,,,,,,,
25-Nov,Wednesday,329,"$38,841,427 ",91.70%,586.10%,45,The Hunger Games: Mockingjay - Part 2,"$13,663,451 "
24-Nov,Tuesday,328,"$20,265,024 ",33.20%,156.70%,42,The Hunger Games: Mockingjay - Part 2,"$11,356,003 "
23-Nov,Monday,327,"$15,211,520 ",-62.30%,165.50%,42,The Hunger Games: Mockingjay - Part 2,"$8,540,357 "
22-Nov,Sunday,326,"$40,323,359 ",-32.60%,62.70%,46,The Hunger Games: Mockingjay - Part 2,"$23,245,556 "
21-Nov,Saturday,325,"$59,856,543 ",-5.20%,40.70%,46,The Hunger Games: Mockingjay - Part 2,"$33,841,369 "
20-Nov,Friday,324,"$63,155,505 ",1150.90%,139.10%,46,The Hunger Games: Mockingjay - Part 2,"$45,579,056 "
19-Nov,Thursday,323,"$5,048,858 ",-10.80%,-40.90%,44,Spectre,"$2,060,290 "
18-Nov,Wednesday,322,"$5,661,061 ",-28.30%,-74.10%,44,Spectre,"$2,383,058 "
17-Nov,Tuesday,321,"$7,894,851 ",37.80%,-44.30%,44,Spectre,"$3,247,692 "
16-Nov,Monday,320,"$5,729,313 ",-76.90%,-38.80%,43,Spectre,"$2,430,554 "
15-Nov,Sunday,319,"$24,790,346 ",-41.70%,-34.50%,46,Spectre,"$8,492,847 "
14-Nov,Saturday,318,"$42,548,132 ",61.10%,-31.30%,46,Spectre,"$15,072,303 "
13-Nov,Friday,317,"$26,412,480 ",208.90%,-46.10%,46,Spectre,"$10,115,954 "
12-Nov,Thursday,316,"$8,549,125 ",-60.90%,97.50%,44,Spectre,"$4,343,170 "
11-Nov,Wednesday,315,"$21,845,089 ",54.10%,381.10%,42,Spectre,"$7,915,302 "
10-Nov,Tuesday,314,"$14,177,451 ",51.30%,99.30%,42,Spectre,"$7,321,682 "
9-Nov,Monday,313,"$9,368,612 ",-75.30%,82.10%,41,Spectre,"$5,316,879 "
8-Nov,Sunday,312,"$37,873,784 ",-38.90%,110.80%,42,Spectre,"$16,684,763 "
7-Nov,Saturday,311,"$61,943,908 ",26.50%,178.10%,43,Spectre,"$26,283,806 "
6-Nov,Friday,310,"$48,974,670 ",1031.40%,169.20%,43,Spectre,"$27,434,579 "
5-Nov,Thursday,309,"$4,328,608 ",-4.70%,-27.70%,40,The Martian,"$955,115 "
4-Nov,Wednesday,308,"$4,540,306 ",-36.20%,-27%,39,The Martian,"$1,066,793 "
3-Nov,Tuesday,307,"$7,114,114 ",38.30%,-13.90%,39,The Martian,"$1,472,489 "
2-Nov,Monday,306,"$5,144,288 ",-71.40%,-19.40%,38,The Martian,"$1,151,099 "
1-Nov,Sunday,305,"$17,970,207 ",-19.30%,-23.30%,41,The Martian,"$3,675,193 "
31-Oct,Saturday,304,"$22,270,542 ",22.40%,-43.30%,40,The Martian,"$4,564,809 "
Halloween,,,,,,,,
30-Oct,Friday,303,"$18,193,425 ",203.70%,-32.80%,41,The Martian,"$3,475,095 "
29-Oct,Thursday,302,"$5,990,843 ",-3.70%,-13.40%,41,The Martian,"$1,177,093 "
28-Oct,Wednesday,301,"$6,218,849 ",-24.70%,-25.70%,40,The Martian,"$1,251,481 "
27-Oct,Tuesday,300,"$8,259,312 ",29.40%,-14.40%,41,The Martian,"$1,574,997 "
26-Oct,Monday,299,"$6,382,511 ",-72.80%,-15.30%,41,The Martian,"$1,215,127 "
25-Oct,Sunday,298,"$23,429,914 ",-40.40%,-18.40%,44,Goosebumps,"$4,527,637 "
24-Oct,Saturday,297,"$39,304,681 ",45.20%,-13.60%,44,The Martian,"$7,265,327 "
23-Oct,Friday,296,"$27,069,272 ",291.20%,-21.80%,44,The Martian,"$4,353,926 "
22-Oct,Thursday,295,"$6,920,146 ",-17.30%,-1.60%,43,The Martian,"$1,589,880 "
