,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2017,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2017,,,,,,,,
"Data as of Apr 24, 2:47 PDT",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
31-Dec,Sunday,365,"$45,058,610 ",-31.70%,19%,44,Star Wars: Episode VIII - The Last Jedi,"$13,566,649 "
New Year's Eve,,,,,,,,
30-Dec,Saturday,364,"$65,944,668 ",5.80%,1.50%,44,Star Wars: Episode VIII - The Last Jedi,"$19,924,241 "
29-Dec,Friday,363,"$62,341,373 ",8.30%,1.40%,44,Star Wars: Episode VIII - The Last Jedi,"$19,029,250 "
28-Dec,Thursday,362,"$57,554,148 ",-4.40%,74%,45,Star Wars: Episode VIII - The Last Jedi,"$19,490,329 "
27-Dec,Wednesday,361,"$60,173,634 ",-15%,90.30%,45,Star Wars: Episode VIII - The Last Jedi,"$21,846,132 "
26-Dec,Tuesday,360,"$70,791,207 ",-3.60%,148.30%,45,Star Wars: Episode VIII - The Last Jedi,"$27,734,356 "
25-Dec,Monday,359,"$73,401,807 ",-3.20%,39.70%,59,Star Wars: Episode VIII - The Last Jedi,"$27,459,557 "
Christmas Day,,,,,,,,
24-Dec,Sunday,358,"$37,849,494 ",-41.70%,-42.90%,43,Star Wars: Episode VIII - The Last Jedi,"$17,629,999 "
23-Dec,Saturday,357,"$64,951,725 ",5.60%,-22.80%,43,Star Wars: Episode VIII - The Last Jedi,"$29,172,415 "
22-Dec,Friday,356,"$61,502,043 ",85.90%,-47.30%,43,Star Wars: Episode VIII - The Last Jedi,"$24,763,084 "
21-Dec,Thursday,355,"$33,077,231 ",4.60%,577.70%,43,Star Wars: Episode VIII - The Last Jedi,"$17,892,347 "
20-Dec,Wednesday,354,"$31,617,933 ",10.90%,426.10%,43,Star Wars: Episode VIII - The Last Jedi,"$16,889,863 "
19-Dec,Tuesday,353,"$28,507,490 ",4%,248.10%,41,Star Wars: Episode VIII - The Last Jedi,"$20,254,189 "
18-Dec,Monday,352,"$27,424,111 ",-58.60%,394.10%,41,Star Wars: Episode VIII - The Last Jedi,"$21,556,373 "
17-Dec,Sunday,351,"$66,276,341 ",-21.20%,224.70%,47,Star Wars: Episode VIII - The Last Jedi,"$51,331,888 "
16-Dec,Saturday,350,"$84,117,566 ",-28%,175.10%,47,Star Wars: Episode VIII - The Last Jedi,"$63,993,205 "
15-Dec,Friday,349,"$116,792,459 ",2293%,463.90%,47,Star Wars: Episode VIII - The Last Jedi,"$104,684,491 "
14-Dec,Thursday,348,"$4,880,591 ",-18.80%,-31%,52,Coco,"$1,070,423 "
13-Dec,Wednesday,347,"$6,009,678 ",-26.60%,-15.70%,55,Coco,"$1,188,180 "
12-Dec,Tuesday,346,"$8,189,972 ",47.60%,-20.40%,54,Coco,"$1,759,297 "
11-Dec,Monday,345,"$5,550,500 ",-72.80%,-15.90%,54,Coco,"$1,109,991 "
10-Dec,Sunday,344,"$20,411,998 ",-33.30%,-28.40%,55,Coco,"$6,077,052 "
9-Dec,Saturday,343,"$30,582,338 ",47.70%,-27.70%,57,Coco,"$8,174,557 "
8-Dec,Friday,342,"$20,712,423 ",192.90%,-20.10%,58,Coco,"$4,200,706 "
7-Dec,Thursday,341,"$7,070,717 ",-0.90%,-25.10%,60,Coco,"$1,533,550 "
6-Dec,Wednesday,340,"$7,131,940 ",-30.70%,-20.60%,63,Coco,"$1,577,924 "
5-Dec,Tuesday,339,"$10,288,815 ",55.90%,-22.90%,59,Coco,"$2,490,329 "
4-Dec,Monday,338,"$6,598,433 ",-76.80%,-29.50%,61,Coco,"$1,495,179 "
3-Dec,Sunday,337,"$28,496,461 ",-32.60%,-31.90%,58,Coco,"$9,381,292 "
2-Dec,Saturday,336,"$42,297,179 ",63.20%,-37.30%,58,Coco,"$11,867,693 "
1-Dec,Friday,335,"$25,915,312 ",174.40%,-62.60%,58,Coco,"$6,284,319 "
30-Nov,Thursday,334,"$9,443,571 ",5.10%,-72.20%,60,Coco,"$2,039,278 "
