,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2026,,,,,,
2026,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
18,Iron Lung,"$27,935,937 ","3,015","$40,851,941 ",30-Jan,Markiplier
19,Solo Mio,"$25,728,831 ","3,052","$25,728,831 ",6-Feb,Angel
20,Primate,"$25,635,665 ","2,964","$25,635,665 ",9-Jan,Paramount Pictures International
21,28 Years Later: The Bone Temple,"$25,147,583 ","3,506","$25,147,583 ",16-Jan,Sony Pictures Releasing
22,The SpongeBob Movie: Search for SquarePants,"$24,729,016 ","3,570","$71,068,170 ",19-Dec,Paramount Pictures International
23,Mercy,"$24,390,303 ","3,468","$24,390,303 ",23-Jan,Amazon MGM Studios
24,Ready or Not 2: Here I Come,"$22,853,172 ","3,010","$22,853,172 ",20-Mar,Searchlight Pictures
25,Song Sung Blue,"$22,285,795 ","2,705","$39,185,290 ",25-Dec,Focus Features
26,David,"$21,799,988 ","3,118","$80,382,774 ",19-Dec,Angel
27,Undertone,"$19,956,964 ","2,570","$19,956,964 ",13-Mar,A24
28,Lee Cronin's The Mummy,"$19,371,688 ","3,304","$17,821,688 ",17-Apr,Warner Bros.
29,I Can Only Imagine 2,"$18,588,615 ","3,105","$18,588,615 ",20-Feb,Lionsgate
30,Greenland 2: Migration,"$17,770,308 ","2,718","$17,770,308 ",9-Jan,Lionsgate
31,"You, Me & Tuscany","$16,551,980 ","3,157","$16,551,980 ",10-Apr,Universal Pictures
32,Melania,"$16,357,453 ","2,003","$16,357,453 ",30-Jan,Amazon MGM Studios
33,EPiC: Elvis Presley in Concert,"$13,571,883 ","1,965","$13,571,883 ",20-Feb,Neon
34,Hamnet,"$13,310,775 ","1,996","$24,208,900 ",26-Nov,Focus Features
35,Dracula,"$13,053,400 ","2,050","$13,053,400 ",6-Feb,Vertical Entertainment
36,Shelter,"$12,805,541 ","2,726","$12,805,541 ",30-Jan,Black Bear
37,The Bride!,"$12,744,025 ","3,304","$12,744,025 ",6-Mar,IMAX
38,They Will Kill You,"$10,844,180 ","2,778","$10,844,180 ",27-Mar,Warner Bros.
39,No Other Choice,"$9,119,052 ",697,"$10,011,860 ",25-Dec,Neon
40,The Strangers: Chapter 3,"$8,560,986 ","2,565","$8,560,986 ",6-Feb,Lionsgate
41,"Good Luck, Have Fun, Don't Die","$8,431,443 ","1,672","$8,431,443 ",13-Feb,Briarcliff Entertainment
42,How to Make a Killing,"$7,846,776 ","1,726","$7,846,776 ",20-Feb,A24
43,Wicked: For Good,"$7,476,415 ","4,115","$342,915,090 ",17-Nov,Universal Pictures
44,A Great Awakening,"$7,255,713 ","1,289","$7,255,713 ",3-Apr,Roadside Attractions
45,Stray Kids: The dominATE Experience,"$7,232,818 ","1,724","$7,232,818 ",6-Feb,Bleecker Street Media
46,Five Nights at Freddy's 2,"$6,049,975 ","3,579","$127,730,290 ",5-Dec,Universal Pictures
47,The Lord of the Rings: The Fellowship of the Ring,"$5,940,331 ","1,674","$5,940,331 ",16-Jan,-
,2026 Re-release,,,,,
48,Return to Silent Hill,"$5,544,971 ","2,000","$5,544,971 ",23-Jan,Cineverse
49,Is This Thing On?,"$5,489,731 ","1,495","$6,185,385 ",19-Dec,Walt Disney Studios Motion Pictures
50,Twenty One Pilots: More Than We Ever Imagined,"$4,300,000 ",833,"$4,300,000 ",26-Feb,Trafalgar Releasing
51,The Lord of the Rings: The Two Towers,"$4,093,642 ","1,655","$4,093,642 ",17-Jan,-
,2026 Re-release,,,,,
52,Nirvanna: The Band - The Show - The Movie,"$4,044,418 ",384,"$4,044,418 ",13-Feb,Neon
53,The Lord of the Rings: The Return of the King,"$3,971,340 ","1,655","$3,971,340 ",18-Jan,-
,2026 Re-release,,,,,
54,The Moment,"$3,922,708 ","1,119","$3,922,708 ",30-Jan,A24
55,Pillion,"$3,849,426 ",369,"$3,849,426 ",6-Feb,A24
56,2026 Oscar Nominated Short Films,"$3,754,480 ",391,"$3,754,480 ",20-Feb,Roadside Attractions
57,We Bury the Dead,"$3,711,918 ","1,172","$3,711,918 ",2-Jan,Vertical Entertainment
58,Normal,"$3,527,303 ","2,153","$3,527,303 ",17-Apr,Magnolia Pictures
59,Exit 8,"$3,262,344 ",510,"$3,262,344 ",10-Apr,Neon
60,Bendito Corazon,"$2,997,508 ",455,"$2,997,508 ",6-Feb,-
61,The Pout-Pout Fish,"$2,925,502 ","1,854","$2,925,502 ",20-Mar,Viva Pictures
62,The Secret Agent,"$2,684,954 ",312,"$4,282,051 ",26-Nov,Neon
63,Clika,"$2,644,377 ",540,"$2,644,377 ",23-Jan,Columbia Pictures
64,Kiki's Delivery Service,"$2,593,286 ",388,"$2,593,286 ",13-Mar,GKIDS
,2026 Re-release,,,,,
65,Faces of Death,"$2,589,593 ","1,600","$2,589,593 ",10-Apr,IFC Films
66,Psycho Killer,"$2,555,070 ","1,100","$2,555,070 ",20-Feb,20th Century Studios
67,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$2,463,020 ","3,342","$136,950,340 ",12-Sep,Sony Pictures Releasing
68,BTS WORLD TOUR 'ARIRANG' in GOYANG: LIVE VIEWING,"$2,440,000 ","1,189","$2,440,000 ",11-Apr,Trafalgar Releasing
69,The Testament of Ann Lee,"$2,347,549 ",500,"$2,515,020 ",25-Dec,Searchlight Pictures
70,Forbidden Fruits,"$2,322,616 ","1,525","$2,322,616 ",27-Mar,IFC Films
71,Dead Man's Wire,"$2,236,813 ","1,101","$2,236,813 ",9-Jan,Row K Entertainment
72,2026 Oscar Nominated Short Films: Animation,"$2,087,582 ",349,"$2,087,582 ",20-Feb,Roadside Attractions
73,I Was a Stranger,"$2,008,686 ","1,400","$2,008,686 ",9-Jan,Angel
74,Charlie the Wonderdog,"$2,003,436 ","1,230","$2,003,436 ",16-Jan,Viva Pictures
75,BTS WORLD TOUR 'ARIRANG' in JAPAN: LIVE VIEWING,"$1,800,000 ","1,189","$1,800,000 ",18-Apr,Trafalgar Releasing
76,Sirat,"$1,711,698 ",174,"$1,711,698 ",6-Feb,Neon
,2026 Re-release,,,,,
77,Busboys,"$1,650,000 ",800,"$1,650,000 ",17-Apr,Busboys Holdings
78,Blades of the Guardians,"$1,606,672 ",184,"$1,606,672 ",17-Feb,Well Go USA Entertainment
79,Dhurandhar,"$1,557,159 ",400,"$19,702,994 ",5-Dec,Moviegoers Entertainment
80,Cold Storage,"$1,529,234 ","1,041","$1,529,234 ",13-Feb,The Samuel Goldwyn Company
81,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$1,476,000 ","1,372","$1,476,000 ",13-Mar,Fandango
,2026 Re-release,,,,,
82,Sentimental Value,"$1,422,123 ",334,"$5,338,580 ",7-Nov,Neon
83,A Private Life,"$1,414,649 ",420,"$1,421,315 ",16-Jan,Sony Pictures Classics
84,The King’s Warden,"$1,401,838 ",121,"$3,574,531 ",12-Feb,Independent Films
85,One Battle After Another,"$1,388,871 ","3,634","$72,918,884 ",26-Sep,Warner Bros.
86,Protector,"$1,288,850 ","1,007","$1,290,170 ",6-Mar,Magenta Light Studios
87,Beast,"$1,285,721 ","1,160","$1,285,721 ",10-Apr,Lionsgate
88,Uma Musume: Pretty Derby - Beginning of a New Era,"$1,275,499 ",600,"$1,275,499 ",27-Feb,Gaga
89,The AI Doc: Or How I Became an Apocaloptimist,"$1,271,825 ",786,"$1,271,825 ",27-Mar,Focus Features
90,Back to the Past,"$1,251,589 ",124,"$1,949,379 ",30-Jan,Well Go USA Entertainment
91,Whistle,"$1,250,972 ","1,200","$1,250,972 ",6-Feb,IFC Films
92,Rabb Da Radio 3,"$1,154,404 ",-,"$1,517,145 ",3-Apr,-
93,Time Hoppers: The Silk Road,"$1,114,850 ",-,"$1,114,850 ",7-Feb,-
94,Pegasus 3,"$1,070,092 ",315,"$1,374,946 ",27-Feb,CMC Pictures
95,The Christophers,"$1,060,989 ",368,"$1,060,989 ",10-Apr,Neon
96,Kokuho,"$1,041,544 ",261,"$1,119,136 ",14-Nov,GKIDS
97,Midwinter Break,"$1,002,905 ",808,"$1,002,905 ",20-Feb,Focus Features
98,The Choral,"$977,821 ",506,"$1,020,176 ",25-Dec,Sony Pictures Classics
99,Arco,"$955,645 ",302,"$1,000,913 ",23-Jan,Neon
,2026 Re-release,,,,,
100,Bhooth Bangla,"$950,000 ",500,"$950,000 ",16-Apr,-
101,Slanted,"$906,216 ",588,"$906,216 ",13-Mar,Bleecker Street Media
102,Father Mother Sister Brother,"$843,229 ",253,"$964,544 ",24-Dec,MUBI
103,The Voice of Hind Rajab,"$835,382 ",125,"$955,679 ",17-Dec,WILLA
104,He Calls Me Daughter,"$802,849 ",819,"$802,849 ",17-Mar,-
105,The Mummy Returns,"$785,110 ","1,430","$785,110 ",27-Mar,Universal Pictures
,25th Anniversary,,,,,
106,Mother Mary,"$783,423 ","1,103","$783,423 ",17-Apr,A24
107,Dolly,"$725,979 ",810,"$725,979 ",6-Mar,IFC Films
108,Madagascar,"$708,665 ","1,083","$708,665 ",16-Jan,Universal Pictures
,2026 Re-release,,,,,
109,Over Your Dead Body,"$700,000 ","1,550","$700,000 ",24-Apr,IFC Films
110,Enhypen: Walk the Line Summer Edition - In Cinemas,"$695,992 ",-,"$1,149,451 ",5-Mar,Trafalgar Releasing
111,All You Need Is Kill,"$695,290 ",768,"$695,290 ",16-Jan,GKIDS
112,Stand by Me,"$692,117 ",624,"$692,117 ",27-Mar,Sony Pictures Releasing
,40th Anniversary,,,,,
113,Bunny!!,"$669,093 ",-,"$669,093 ",26-Mar,-
114,Fight Club,"$655,789 ",700,"$655,789 ",22-Apr,20th Century Studios
,2026 Re-release,,,,,
115,The Plague,"$641,537 ",590,"$685,153 ",24-Dec,IFC Films
116,Standout: The Ben Kjar Story,"$632,010 ",92,"$632,006 ",23-Jan,-
117,Scarlet,"$629,038 ",530,"$629,038 ",12-Dec,Sony Pictures Releasing
118,Hunting Matthew Nichols,"$600,000 ",-,"$710,532 ",10-Apr,-
119,Fantasy Life,"$584,567 ",215,"$584,567 ",27-Mar,Greenwich Entertainment
120,Fuze,"$566,126 ","1,164","$566,126 ",24-Apr,Roadside Attractions
121,Dacoit: A Love Story,"$552,108 ",-,"$904,531 ",10-Apr,-
122,Palestine 36,"$518,619 ",75,"$518,619 ",20-Mar,Watermelon Pictures
123,Eternity,"$515,102 ","2,386","$16,210,244 ",26-Nov,A24
124,All That's Left of You,"$514,374 ",52,"$514,374 ",9-Jan,Watermelon Pictures
125,Youngblood,"$511,351 ",440,"$511,351 ",6-Mar,Well Go USA Entertainment
126,The Mortuary Assistant,"$454,776 ",208,"$454,776 ",13-Feb,Seismic Releasing
127,I Swear,"$450,000 ",645,"$450,000 ",24-Apr,Sony Pictures Classics
128,Resurrection,"$419,970 ",86,"$627,175 ",12-Dec,Janus Films
129,The Revenant,"$418,895 ",900,"$609,500 ",27-Feb,Walt Disney Studios Motion Pictures
,10th Anniversary,,,,,
130,The Trouble with Terkel,"$415,518 ",153,"$415,518 ",13-Feb,Indican Pictures
,2026 Re-release,,,,,
131,Hard Boiled,"$392,742 ",620,"$392,742 ",25-Jan,GKIDS
,2026 Re-release,,,,,
132,BTS: Yet to Come in Cinemas,"$387,783 ","1,210","$8,481,053 ",1-Feb,Trafalgar Releasing
133,Night Patrol,"$372,115 ",800,"$372,115 ",16-Jan,IFC Films
134,Lorne,"$363,435 ",415,"$356,435 ",17-Apr,Focus Features
135,H Is for Hawk,"$342,236 ",476,"$342,239 ",23-Jan,Roadside Attractions
136,Bonolota Express,"$322,951 ",48,"$322,949 ",3-Apr,Swapna Scarecrow
137,Aadu 3,"$306,973 ",-,"$306,973 ",19-Mar,Phars Film
138,Bershama,"$303,345 ",-,"$388,104 ",20-Mar,-
139,Vaazha II: Biopic of a Billion Bros,"$301,888 ",-,"$301,888 ",3-Apr,-
140,The Killer,"$301,638 ",600,"$301,638 ",5-Apr,GKIDS
,2026 Re-release,,,,,
141,Hamlet,"$300,088 ",325,"$300,088 ",10-Apr,Vertical Entertainment
142,Tow,"$289,792 ",180,"$289,792 ",20-Mar,Roadside Attractions
143,Marc by Sofia,"$283,345 ",128,"$283,345 ",20-Mar,A24
144,The Chronology of Water,"$272,070 ",37,"$302,825 ",5-Dec,-
145,A Poet,"$270,786 ",38,"$270,786 ",30-Jan,1-2 Special
146,Mile End Kicks,"$264,488 ",386,"$264,488 ",17-Apr,Sumerian Films
147,Tommy,"$260,759 ",121,"$260,759 ",17-Mar,Columbia Pictures
,50th Anniversary,,,,,
148,The President's Cake,"$256,542 ",188,"$256,542 ",6-Feb,Sony Pictures Classics
149,Raakaasa,"$246,076 ",-,"$246,076 ",3-Apr,-
150,Mr. Nobody Against Putin,"$244,728 ",53,"$244,728 ",21-Jan,Kino Lorber
151,A Better Tomorrow,"$240,938 ",618,"$240,938 ",1-Mar,GKIDS
,2026 Re-release,,,,,
152,Nuremberg,"$228,203 ","1,830","$14,524,692 ",7-Nov,Sony Pictures Classics
153,Magellan,"$227,566 ",23,"$231,318 ",9-Jan,Janus Films
154,Aag Lagay Basti Mein,"$220,367 ",-,"$454,890 ",20-Mar,-
155,Aida: The Movie,"$217,000 ",27,"$217,000 ",30-Jan,Outsider Pictures
156,Buffalo Kids,"$214,534 ",750,"$214,534 ",6-Feb,Viva Pictures
157,This Is Not a Test,"$213,951 ",450,"$213,951 ",20-Feb,IFC Films
158,Whisper of the Heart,"$211,319 ",208,"$211,319 ",17-Apr,-
,2026 Re-release,,,,,
159,Ustaad Bhagat Singh,"$210,450 ",-,"$725,536 ",19-Mar,Prathyangira Cinemas
160,Alpha,"$205,482 ",218,"$205,482 ",27-Mar,Neon
161,Infinite Icon: A Visual Memoir,"$200,000 ",677,"$401,664 ",30-Jan,CJ 4DPlex
162,Miroirs No. 3,"$197,687 ",49,"$197,687 ",20-Mar,1-2 Special
163,Rosemead,"$195,842 ",46,"$287,988 ",5-Dec,Vertical Entertainment
164,The Stranger,"$182,120 ",33,"$182,120 ",3-Apr,Music Box Films
165,Natchez,"$180,014 ",16,"$192,287 ",7-Nov,Oscilloscope
166,Bridesmaids,"$179,180 ",860,"$179,180 ",10-Apr,-
,2026 Re-release,,,,,
167,LIK: Love Insurance Kompany,"$163,874 ",-,"$163,874 ",10-Apr,-
168,"Steal This Story, Please!","$160,624 ",16,"$160,624 ",10-Apr,-
169,The Love That Remains,"$144,473 ",25,"$144,473 ",30-Jan,Janus Films
170,My Father's Shadow,"$142,625 ",20,"$142,625 ",13-Feb,MUBI
171,It Was Just an Accident,"$142,571 ",119,"$1,773,664 ",15-Oct,Neon
172,Biker,"$139,801 ",-,"$139,801 ",2-Apr,-
173,Blue Moon,"$139,291 ",689,"$2,170,688 ",17-Oct,Sony Pictures Classics
174,Dreams,"$133,797 ",188,"$133,797 ",27-Feb,Greenwich Entertainment
175,Days and Nights in the Forest,"$130,992 ",6,"$138,237 ",27-Feb,Janus Films
176,A Magnificent Life,"$127,691 ",334,"$128,268 ",27-Mar,Sony Pictures Classics
177,Predator: Badlands,"$125,081 ","3,725","$91,083,631 ",7-Nov,20th Century Studios
178,Lupin the IIIrd: The Movie - The Immortal Bloodline,"$121,507 ",500,"$121,507 ",2-Jan,GKIDS
179,Jerry Maguire,"$117,047 ",-,"$117,047 ",12-Apr,Sony Pictures Classics
,30th Anniversary,,,,,
180,Jujutsu Kaisen: Execution,"$116,624 ","1,935","$16,583,133 ",5-Dec,GKIDS
181,"Our Hero, Balthazar","$115,232 ",6,"$115,231 ",27-Mar,Picturehouse
182,Hypnosismic -Division Rap Battle- Interactive Movie,"$114,569 ",15,"$114,569 ",27-Feb,GKIDS
183,ChaO,"$112,217 ",270,"$112,217 ",10-Apr,GKIDS
184,Two Prosecutors,"$106,343 ",27,"$106,343 ",20-Mar,Janus Films
185,Fruits Basket: Prelude,"$103,428 ",270,"$103,428 ",16-Feb,Crunchyroll
186,Pompei: Below the Clouds,"$99,662 ",14,"$99,662 ",6-Mar,MUBI
187,Sound of Falling,"$88,547 ",22,"$88,547 ",16-Jan,MUBI
188,Zombie Land Saga: Yumeginga Paradise,"$87,333 ",274,"$87,333 ",19-Jan,Sony Pictures Releasing
189,Dead Lover,"$83,946 ",45,"$83,946 ",20-Mar,Cartuna
190,Hypnosismic -Division Rap Battle- Rule the Stage -Battle of Pride 2023,"$83,276 ",15,"$83,276 ",27-Feb,GKIDS
191,Ella McCay,"$82,418 ","2,500","$4,033,242 ",12-Dec,20th Century Studios
192,Billy Preston: That's the Way God Planned It,"$77,771 ",10,"$77,771 ",20-Feb,Abramorama
193,Jimmy O. Yang: Finally Home,"$76,997 ",69,"$76,997 ",27-Mar,Variance Films
194,Holding Liat,"$73,843 ",5,"$73,843 ",9-Jan,The Film Collaborative
195,Fireflies at El Mozote,"$73,570 ",39,"$69,865 ",17-Apr,Magenta Light Studios
196,The Librarians,"$70,960 ",14,"$331,118 ",3-Oct,-
197,Crunchyroll Anime Nights March 2026 Sneak Peek Edition,"$67,529 ",281,"$67,529 ",16-Mar,Sony Pictures Releasing
198,Cave of Forgotten Dreams,"$59,876 ",110,"$118,976 ",17-Apr,IFC Films
,2026 Re-release,,,,,
199,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$53,308 ",279,"$53,308 ",20-Apr,Sony Pictures Releasing
,Re-Release 2026 Anime Nights Program,,,,,
200,Islands,"$53,192 ",44,"$53,192 ",30-Jan,Greenwich Entertainment
Rank,,,,,,
Latest Updates: News | Daily | Weekend | All Time | International | Showdowns,,,,,,
Glossary | User Guide | License IMDb Data | Help,,,,,,
BoxOfficeMojo.com by IMDbPro - an IMDb company.,,,,,,
"© IMDb.com, Inc. or its affiliates. All rights reserved. Box Office Mojo and IMDb are trademarks or registered trademarks of IMDb.com, Inc. or its affiliates. Conditions of Use and Privacy Policy under which this service is provided to you.",,,,,,
