,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,
DailyWeekendWeeklyMonthlyQuarterly,,,,,,
Yearly,,,,,,
SeasonsHolidays,,,,,,
Domestic Box Office For 2026,,,,,,
2026,,,,,,
,,,,,,
Calendar grosses,,,,,,
Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor
1,The Super Mario Galaxy Movie,"$369,853,150 ","4,284","$59,113,455 ",1-Apr,Universal Pictures
2,Project Hail Mary,"$295,491,522 ","4,077","$186,527,010 ",20-Mar,Amazon MGM Studios
3,Hoppers,"$162,626,679 ","4,000","$143,824,515 ",6-Mar,Walt Disney Studios Motion Pictures
4,Avatar: Fire and Ash,"$153,986,141 ","3,835","$404,340,010 ",19-Dec,20th Century Studios
5,Scream 7,"$121,872,468 ","3,540","$119,633,377 ",27-Feb,Paramount Pictures International
6,GOAT,"$103,246,992 ","3,863","$103,246,992 ",13-Feb,Sony Pictures Releasing
7,Zootopia 2,"$90,227,005 ","4,000","$428,130,160 ",26-Nov,Walt Disney Studios Motion Pictures
8,Wuthering Heights,"$84,001,072 ","3,682","$84,001,072 ",13-Feb,Warner Bros.
9,The Housemaid,"$70,173,827 ","3,123","$126,432,462 ",19-Dec,Lionsgate
10,Send Help,"$64,734,795 ","3,475","$64,734,795 ",30-Jan,Walt Disney Studios Motion Pictures
11,Marty Supreme,"$57,061,509 ","2,887","$96,040,064 ",19-Dec,A24
12,Reminders of Him,"$48,388,605 ","3,441","$43,151,840 ",13-Mar,Universal Pictures
13,The Drama,"$42,971,819 ","3,151","$42,155,517 ",3-Apr,A24
14,Michael,"$39,500,000 ","3,955","$52,100,000 ",24-Apr,Lionsgate
15,Crime 101,"$36,588,336 ","3,161","$36,588,336 ",13-Feb,Amazon MGM Studios
16,Anaconda,"$33,322,690 ","3,509","$65,098,148 ",25-Dec,Sony Pictures Releasing
17,Dhurandhar: The Revenge,"$28,100,759 ",987,"$28,100,759 ",19-Mar,Moviegoers Entertainment
